"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","2749","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","14030","0.0-1.0","11268","{""Q0"":""5eb1c4b83d87452fe3a40ff5""}","","","","",""
"","","","","","survey-multi-choice","2","17295","0.0-2.0","3260","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","25256","0.0-3.0","7944","","","[{""page_index"":0,""viewing_time"":5755},{""page_index"":1,""viewing_time"":2187}]","","",""
"","","","","","instructions","4","26686","0.0-4.0","1428","","","[{""page_index"":0,""viewing_time"":1427}]","","",""
"","","","","","instructions","5","30646","0.0-5.0","3957","","","[{""page_index"":0,""viewing_time"":839},{""page_index"":1,""viewing_time"":1830},{""page_index"":2,""viewing_time"":1286}]","","",""
"","","","","","survey-text","6","42546","0.0-6.0","11869","{""Q0"":""Honest""}","","","Skeptical","",""
"","","","","","html-slider-response","7","49329","0.0-7.0","6776","6","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Honest</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","63784","0.0-8.0","14438","{""Q0"":""knowledgeable ""}","","","Ignorant","",""
"","","","","","html-slider-response","9","66656","0.0-9.0","2866","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>knowledgeable </strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","10","107714","0.0-10.0","41046","{""Q0"":""agnostic""}","","","Religious","",""
"","","","","","html-slider-response","11","110981","0.0-11.0","3258","5","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>agnostic</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","12","122337","0.0-12.0","11346","{""Q0"":""unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","13","126023","0.0-13.0","3679","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","14","131033","0.0-14.0","4998","{""Q0"":""hindering""}","","","Helpful","",""
"","","","","","html-slider-response","15","133727","0.0-15.0","2687","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>hindering</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","16","139631","0.0-16.0","5892","{""Q0"":""Cooperative""}","","","Combative","",""
"","","","","","html-slider-response","17","142178","0.0-17.0","2543","7","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cooperative</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","18","158066","0.0-18.0","15874","{""Q0"":""Ancient""}","","","Youthful","",""
"","","","","","html-slider-response","19","162383","0.0-19.0","4311","7","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ancient</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","20","167242","0.0-20.0","4849","{""Q0"":""stoic""}","","","Emotional","",""
"","","","","","html-slider-response","21","171548","0.0-21.0","4294","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stoic</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","22","179396","0.0-22.0","7837","{""Q0"":""observant""}","","","Unobservant","",""
"","","","","","html-slider-response","23","181817","0.0-23.0","2416","6","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","24","203917","0.0-24.0","22087","{""Q0"":""aggressive""}","","","Submissive","",""
"","","","","","html-slider-response","25","218350","0.0-25.0","14428","7","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>aggressive</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","225123","0.0-26.0","6760","{""Q0"":""Pessimistic""}","","","Optimistic","",""
"","","","","","html-slider-response","27","227175","0.0-27.0","2046","7","","","Optimistic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Pessimistic</strong> is a good fit for the opposite side of the <strong>Optimistic</strong> scale?</p></div>","4"
"","","","","","survey-text","28","244689","0.0-28.0","17502","{""Q0"":""Sporadic""}","","","Consistent","",""
"","","","","","html-slider-response","29","247927","0.0-29.0","3225","7","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sporadic</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","30","252859","0.0-30.0","4917","{""Q0"":""Immature""}","","","Mature","",""
