"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1130","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","8098","0.0-1.0","6963","{""Q0"":""5ec8e2397ff48e3c154fb173""}","","","","",""
"","","","","","survey-multi-choice","2","9739","0.0-2.0","1640","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","16464","0.0-3.0","6723","","","[{""page_index"":0,""viewing_time"":4288},{""page_index"":1,""viewing_time"":2435}]","","",""
"","","","","","instructions","4","18974","0.0-4.0","2509","","","[{""page_index"":0,""viewing_time"":2509}]","","",""
"","","","","","instructions","5","23063","0.0-5.0","4089","","","[{""page_index"":0,""viewing_time"":627},{""page_index"":1,""viewing_time"":2081},{""page_index"":2,""viewing_time"":1382}]","","",""
"","","","","","survey-text","6","38252","0.0-6.0","15184","{""Q0"":""Orderly""}","","","Disorderly","",""
"","","","","","html-slider-response","7","43391","0.0-7.0","5138","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Orderly</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","8","74084","0.0-8.0","30692","{""Q0"":""unbiased""}","","","Prejudiced","",""
"","","","","","html-slider-response","9","76561","0.0-9.0","2477","5","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unbiased</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","10","85189","0.0-10.0","8626","{""Q0"":""foolish""}","","","Wise","",""
"","","","","","html-slider-response","11","87863","0.0-11.0","2673","6","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","12","93944","0.0-12.0","6079","{""Q0"":""cowardly""}","","","Courageous","",""
"","","","","","html-slider-response","13","95859","0.0-13.0","1914","6","","","Courageous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>cowardly</strong> is a good fit for the opposite side of the <strong>Courageous</strong> scale?</p></div>","4"
"","","","","","survey-text","14","120702","0.0-14.0","24842","{""Q0"":""atheistic""}","","","Religious","",""
"","","","","","html-slider-response","15","123680","0.0-15.0","2977","5","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>atheistic</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","16","129808","0.0-16.0","6127","{""Q0"":""rigid""}","","","Flexible","",""
"","","","","","html-slider-response","17","131358","0.0-17.0","1548","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>rigid</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","18","137744","0.0-18.0","6385","{""Q0"":""reckless""}","","","Careful","",""
"","","","","","html-slider-response","19","139941","0.0-19.0","2196","6","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>reckless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
