"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1364","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","7736","0.0-1.0","6367","{""Q0"":""60fe3f46a25aa9a681c1cfd1""}","","","","",""
"","","","","","survey-multi-choice","2","10105","0.0-2.0","2368","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","17772","0.0-3.0","7663","","","[{""page_index"":0,""viewing_time"":4695},{""page_index"":1,""viewing_time"":2967}]","","",""
"","","","","","instructions","4","19538","0.0-4.0","1765","","","[{""page_index"":0,""viewing_time"":1764}]","","",""
"","","","","","instructions","5","24720","0.0-5.0","5181","","","[{""page_index"":0,""viewing_time"":865},{""page_index"":1,""viewing_time"":2583},{""page_index"":2,""viewing_time"":1733}]","","",""
"","","","","","survey-text","6","38038","0.0-6.0","13312","{""Q0"":""undetermined""}","","","Determined","",""
"","","","","","html-slider-response","7","43455","0.0-7.0","5413","7","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>undetermined</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","8","50355","0.0-8.0","6896","{""Q0"":""insecere""}","","","Sincere","",""
"","","","","","html-slider-response","9","52938","0.0-9.0","2581","7","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>insecere</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","10","74905","0.0-10.0","21963","{""Q0"":""foolish""}","","","Clever","",""
"","","","","","html-slider-response","11","77071","0.0-11.0","2164","7","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>foolish</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","12","88463","0.0-12.0","11388","{""Q0"":""late""}","","","Punctual","",""
"","","","","","html-slider-response","13","91189","0.0-13.0","2724","7","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>late</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","14","96587","0.0-14.0","5395","{""Q0"":""unhappy""}","","","Happy","",""
"","","","","","html-slider-response","15","99856","0.0-15.0","3267","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhappy</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","16","114605","0.0-16.0","14746","{""Q0"":""apathetic""}","","","Empathetic","",""
"","","","","","html-slider-response","17","116955","0.0-17.0","2348","7","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>apathetic</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","18","123205","0.0-18.0","6246","{""Q0"":""nice""}","","","Mean","",""
"","","","","","html-slider-response","19","125522","0.0-19.0","2315","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","20","135189","0.0-20.0","9663","{""Q0"":""untelligent""}","","","Intellectual","",""
"","","","","","html-slider-response","21","137939","0.0-21.0","2748","6","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untelligent</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","22","153223","0.0-22.0","15281","{""Q0"":""repelling""}","","","Charismatic","",""
"","","","","","html-slider-response","23","156106","0.0-23.0","2881","6","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>repelling</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","24","161107","0.0-24.0","4997","{""Q0"":""typical""}","","","Atypical","",""
"","","","","","html-slider-response","25","163172","0.0-25.0","2063","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","26","168390","0.0-26.0","5214","{""Q0"":""relaxed""}","","","Anxious","",""
"","","","","","html-slider-response","27","170840","0.0-27.0","2448","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>relaxed</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","28","184023","0.0-28.0","13181","{""Q0"":""confident""}","","","Defensive","",""
"","","","","","html-slider-response","29","186323","0.0-29.0","2298","6","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>confident</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","30","191090","0.0-30.0","4764","{""Q0"":""incompetant""}","","","Competent","",""
"","","","","","html-slider-response","31","193123","0.0-31.0","2030","7","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>incompetant</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","32","205557","0.0-32.0","12430","{""Q0"":""modern""}","","","Traditional","",""
"","","","","","html-slider-response","33","207507","0.0-33.0","1948","7","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>modern</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","34","214474","0.0-34.0","6963","{""Q0"":""inflexible ""}","","","Flexible","",""
