"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1047","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","9259","0.0-1.0","8209","{""Q0"":""611134d4e32003c61fb64f78""}","","","","",""
"","","","","","survey-multi-choice","2","11373","0.0-2.0","2111","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","23549","0.0-3.0","12174","","","[{""page_index"":0,""viewing_time"":9017},{""page_index"":1,""viewing_time"":3157}]","","",""
"","","","","","instructions","4","25194","0.0-4.0","1644","","","[{""page_index"":0,""viewing_time"":1644}]","","",""
"","","","","","instructions","5","30955","0.0-5.0","5758","","","[{""page_index"":0,""viewing_time"":1256},{""page_index"":1,""viewing_time"":2884},{""page_index"":2,""viewing_time"":1618}]","","",""
"","","","","","survey-text","6","53003","0.0-6.0","22041","{""Q0"":""Uplifting""}","","","Condescending","",""
"","","","","","html-slider-response","7","57299","0.0-7.0","4294","6","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uplifting</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","8","64297","0.0-8.0","6995","{""Q0"":""Masculine""}","","","Feminine","",""
"","","","","","html-slider-response","9","67855","0.0-9.0","3556","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","10","75820","0.0-10.0","7962","{""Q0"":""Afraid""}","","","Courageous","",""
"","","","","","html-slider-response","11","79850","0.0-11.0","4027","6","","","Courageous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Afraid</strong> is a good fit for the opposite side of the <strong>Courageous</strong> scale?</p></div>","4"
"","","","","","survey-text","12","95904","0.0-12.0","16049","{""Q0"":""Excited""}","","","Anxious","",""
"","","","","","html-slider-response","13","98419","0.0-13.0","2514","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Excited</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","14","119338","0.0-14.0","20916","{""Q0"":""Overexaggerating""}","","","Reasonable","",""
"","","","","","html-slider-response","15","121683","0.0-15.0","2344","6","","","Reasonable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Overexaggerating</strong> is a good fit for the opposite side of the <strong>Reasonable</strong> scale?</p></div>","4"
"","","","","","survey-text","16","165182","0.0-16.0","43495","{""Q0"":""Type A""}","","","Flexible","",""
