"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1327","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","10189","0.0-1.0","8858","{""Q0"":""6102f9d1e72c6ae05d6efa85""}","","","","",""
"","","","","","survey-multi-choice","2","12485","0.0-2.0","2295","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","17832","0.0-3.0","5342","","","[{""page_index"":0,""viewing_time"":3861},{""page_index"":1,""viewing_time"":1481}]","","",""
"","","","","","instructions","4","19183","0.0-4.0","1351","","","[{""page_index"":0,""viewing_time"":1351}]","","",""
"","","","","","instructions","5","23566","0.0-5.0","4382","","","[{""page_index"":0,""viewing_time"":882},{""page_index"":1,""viewing_time"":2135},{""page_index"":2,""viewing_time"":1365}]","","",""
"","","","","","survey-text","6","35554","0.0-6.0","11979","{""Q0"":""confident""}","","","Self-critical","",""
"","","","","","html-slider-response","7","40517","0.0-7.0","4959","4","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>confident</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","44434","0.0-8.0","3914","{""Q0"":""aged""}","","","Youthful","",""
"","","","","","html-slider-response","9","46716","0.0-9.0","2281","6","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>aged</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","10","51001","0.0-10.0","4281","{""Q0"":""typical""}","","","Atypical","",""
"","","","","","html-slider-response","11","54398","0.0-11.0","3396","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","12","62067","0.0-12.0","7667","{""Q0"":""irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","13","64300","0.0-13.0","2232","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","14","75267","0.0-14.0","10965","{""Q0"":""unnatural""}","","","Natural","",""
"","","","","","html-slider-response","15","77732","0.0-15.0","2463","6","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unnatural</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","16","82417","0.0-16.0","4683","{""Q0"":""observant""}","","","Unobservant","",""
"","","","","","html-slider-response","17","84566","0.0-17.0","2147","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","18","89350","0.0-18.0","4781","{""Q0"":""dominant""}","","","Submissive","",""
"","","","","","html-slider-response","19","92349","0.0-19.0","2998","7","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dominant</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","20","97600","0.0-20.0","5248","{""Q0"":""lazy""}","","","Persistent","",""
"","","","","","html-slider-response","21","100066","0.0-21.0","2464","3","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","22","106667","0.0-22.0","6598","{""Q0"":""lenient""}","","","Strict","",""
"","","","","","html-slider-response","23","109432","0.0-23.0","2764","6","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lenient</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","24","113234","0.0-24.0","3800","{""Q0"":""bored""}","","","Enthusiastic","",""
"","","","","","html-slider-response","25","115031","0.0-25.0","1797","5","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>bored</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","26","144432","0.0-26.0","29400","{""Q0"":""obediant""}","","","Rebellious","",""
"","","","","","html-slider-response","27","146314","0.0-27.0","1880","5","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>obediant</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","28","152226","0.0-28.0","5910","{""Q0"":""apathetic""}","","","Empathetic","",""
"","","","","","html-slider-response","29","154765","0.0-29.0","2538","4","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>apathetic</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
