"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","783","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","5278","0.0-1.0","4485","{""Q0"":""5f48dab70aa4ce3aa1914003""}","","","","",""
"","","","","","survey-multi-choice","2","7321","0.0-2.0","2040","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","14724","0.0-3.0","7398","","","[{""page_index"":0,""viewing_time"":5537},{""page_index"":1,""viewing_time"":1861}]","","",""
"","","","","","instructions","4","16280","0.0-4.0","1554","","","[{""page_index"":0,""viewing_time"":1554}]","","",""
"","","","","","instructions","5","20275","0.0-5.0","3994","","","[{""page_index"":0,""viewing_time"":810},{""page_index"":1,""viewing_time"":1886},{""page_index"":2,""viewing_time"":1297}]","","",""
"","","","","","survey-text","6","47593","0.0-6.0","27302","{""Q0"":""unmanipulative ""}","","","Manipulative","",""
"","","","","","html-slider-response","7","52982","0.0-7.0","5386","7","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unmanipulative </strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","8","58744","0.0-8.0","5757","{""Q0"":""nonhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","9","61460","0.0-9.0","2714","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nonhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","10","67391","0.0-10.0","5926","{""Q0"":""progressive""}","","","Traditional","",""
"","","","","","html-slider-response","11","69380","0.0-11.0","1987","5","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>progressive</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","12","75115","0.0-12.0","5729","{""Q0"":""inconsistent""}","","","Consistent","",""
"","","","","","html-slider-response","13","77473","0.0-13.0","2356","7","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inconsistent</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","14","82109","0.0-14.0","4632","{""Q0"":""uncareful""}","","","Careful","",""
"","","","","","html-slider-response","15","85573","0.0-15.0","3462","7","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncareful</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","16","90250","0.0-16.0","4673","{""Q0"":""self-accepting""}","","","Self-critical","",""
"","","","","","html-slider-response","17","94323","0.0-17.0","4070","6","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>self-accepting</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","18","98475","0.0-18.0","4148","{""Q0"":""uncharismatic""}","","","Charismatic","",""
"","","","","","html-slider-response","19","101245","0.0-19.0","2768","7","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncharismatic</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","20","105549","0.0-20.0","4299","{""Q0"":""inflexible""}","","","Flexible","",""
"","","","","","html-slider-response","21","107404","0.0-21.0","1853","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inflexible</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","22","111461","0.0-22.0","4051","{""Q0"":""unagreeable""}","","","Agreeable","",""
"","","","","","html-slider-response","23","113561","0.0-23.0","2098","7","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unagreeable</strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","24","118814","0.0-24.0","5250","{""Q0"":""unthoughtful""}","","","Thoughtful","",""
"","","","","","html-slider-response","25","121270","0.0-25.0","2453","7","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unthoughtful</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","26","124948","0.0-26.0","3674","{""Q0"":""masculine""}","","","Feminine","",""
"","","","","","html-slider-response","27","127880","0.0-27.0","2929","5","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","28","131977","0.0-28.0","4093","{""Q0"":""unaffectionate""}","","","Affectionate","",""
"","","","","","html-slider-response","29","133959","0.0-29.0","1980","7","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unaffectionate</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","30","137562","0.0-30.0","3599","{""Q0"":""unserious""}","","","Serious","",""
"","","","","","html-slider-response","31","139306","0.0-31.0","1742","7","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unserious</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","32","146914","0.0-32.0","7604","{""Q0"":""calm""}","","","Angry","",""
"","","","","","html-slider-response","33","149601","0.0-33.0","2685","5","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","34","156207","0.0-34.0","6601","{""Q0"":""orderly""}","","","Disorderly","",""
"","","","","","html-slider-response","35","158374","0.0-35.0","2165","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>orderly</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","36","162721","0.0-36.0","4342","{""Q0"":""impractical""}","","","Practical","",""
"","","","","","html-slider-response","37","165429","0.0-37.0","2706","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","38","171904","0.0-38.0","6471","{""Q0"":""kind""}","","","Abusive","",""
"","","","","","html-slider-response","39","176341","0.0-39.0","4434","4","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>kind</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","40","181685","0.0-40.0","5340","{""Q0"":""unconscientious""}","","","Conscientious","",""
"","","","","","html-slider-response","41","183837","0.0-41.0","2150","7","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unconscientious</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","42","187183","0.0-42.0","3342","{""Q0"":""calm""}","","","Anxious","",""
"","","","","","html-slider-response","43","189451","0.0-43.0","2266","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","44","193903","0.0-44.0","4446","{""Q0"":""untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","45","196058","0.0-45.0","2153","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","46","201063","0.0-46.0","5000","{""Q0"":""dependent""}","","","Independent","",""
"","","","","","html-slider-response","47","202786","0.0-47.0","1721","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","48","206896","0.0-48.0","4106","{""Q0"":""inarticulate""}","","","Articulate","",""
"","","","","","html-slider-response","49","208896","0.0-49.0","1997","7","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inarticulate</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","50","212680","0.0-50.0","3780","{""Q0"":""unambitious""}","","","Ambitious","",""
"","","","","","html-slider-response","51","214794","0.0-51.0","2111","7","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unambitious</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","52","219033","0.0-52.0","4235","{""Q0"":""uptight""}","","","Easygoing","",""
"","","","","","html-slider-response","53","221991","0.0-53.0","2956","6","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uptight</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","54","226327","0.0-54.0","4332","{""Q0"":""pessimistic""}","","","Optimistic","",""
"","","","","","html-slider-response","55","229078","0.0-55.0","2749","7","","","Optimistic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>pessimistic</strong> is a good fit for the opposite side of the <strong>Optimistic</strong> scale?</p></div>","4"
"","","","","","survey-text","56","233103","0.0-56.0","4020","{""Q0"":""ugly""}","","","Beautiful","",""
"","","","","","html-slider-response","57","234769","0.0-57.0","1664","4","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ugly</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","58","239015","0.0-58.0","4238","{""Q0"":""inconfident""}","","","Confident","",""
"","","","","","html-slider-response","59","240977","0.0-59.0","1960","7","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inconfident</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","60","245002","0.0-60.0","4020","{""Q0"":""uncurious""}","","","Curious","",""
"","","","","","html-slider-response","61","246495","0.0-61.0","1491","7","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncurious</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","62","265303","0.0-62.0","18804","{""Q0"":""unperistent ""}","","","Persistent","",""
"","","","","","html-slider-response","63","267866","0.0-63.0","2561","7","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unperistent </strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","64","272277","0.0-64.0","4407","{""Q0"":""nonenergetic""}","","","Energetic","",""
"","","","","","html-slider-response","65","274203","0.0-65.0","1924","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nonenergetic</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","66","280673","0.0-66.0","6466","{""Q0"":""lenient""}","","","Strict","",""
"","","","","","html-slider-response","67","283328","0.0-67.0","2652","6","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lenient</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","68","287244","0.0-68.0","3912","{""Q0"":""nonreligious""}","","","Religious","",""
"","","","","","html-slider-response","69","289861","0.0-69.0","2614","7","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nonreligious</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","70","296097","0.0-70.0","6230","{""Q0"":""unprejudiced""}","","","Prejudiced","",""
"","","","","","html-slider-response","71","298015","0.0-71.0","1916","7","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unprejudiced</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","72","302017","0.0-72.0","3997","{""Q0"":""unwise""}","","","Wise","",""
"","","","","","html-slider-response","73","303755","0.0-73.0","1736","7","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unwise</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","74","308012","0.0-74.0","4251","{""Q0"":""unempathetic""}","","","Empathetic","",""
