"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","672","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","8710","0.0-1.0","8025","{""Q0"":""60919c8f1b024991374cfb2d""}","","","","",""
"","","","","","survey-multi-choice","2","11156","0.0-2.0","2442","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","17144","0.0-3.0","5976","","","[{""page_index"":0,""viewing_time"":3376},{""page_index"":1,""viewing_time"":2599}]","","",""
"","","","","","instructions","4","18099","0.0-4.0","953","","","[{""page_index"":0,""viewing_time"":953}]","","",""
"","","","","","instructions","5","24015","0.0-5.0","5914","","","[{""page_index"":0,""viewing_time"":2098},{""page_index"":1,""viewing_time"":2054},{""page_index"":2,""viewing_time"":1761}]","","",""
"","","","","","survey-text","6","31459","0.0-6.0","7325","{""Q0"":""Cold""}","","","Empathetic","",""
"","","","","","html-slider-response","7","38208","0.0-7.0","6697","5","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cold</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","8","45818","0.0-8.0","7603","{""Q0"":""Conformist""}","","","Rebellious","",""
"","","","","","html-slider-response","9","49919","0.0-9.0","4097","7","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Conformist</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","57228","0.0-10.0","7304","{""Q0"":""Accepting""}","","","Critical","",""
"","","","","","html-slider-response","11","62172","0.0-11.0","4940","6","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Accepting</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","12","66474","0.0-12.0","4296","{""Q0"":""Kind""}","","","Mean","",""
"","","","","","html-slider-response","13","69043","0.0-13.0","2566","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Kind</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","14","74436","0.0-14.0","5388","{""Q0"":""Passive""}","","","Aggressive","",""
"","","","","","html-slider-response","15","79720","0.0-15.0","5280","6","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","16","105246","0.0-16.0","25521","{""Q0"":""Provocative ""}","","","Prudish","",""
"","","","","","html-slider-response","17","109904","0.0-17.0","4655","5","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Provocative </strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","18","127330","0.0-18.0","17420","{""Q0"":""Irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","19","130515","0.0-19.0","3182","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","20","139623","0.0-20.0","9104","{""Q0"":""Confident""}","","","Anxious","",""
"","","","","","html-slider-response","21","150460","0.0-21.0","10834","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Confident</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","22","165394","0.0-22.0","14930","{""Q0"":""Careless""}","","","Thoughtful","",""
"","","","","","html-slider-response","23","172886","0.0-23.0","7489","5","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Careless</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","24","182796","0.0-24.0","9905","{""Q0"":""Flaky""}","","","Persistent","",""
"","","","","","html-slider-response","25","185931","0.0-25.0","3131","4","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Flaky</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","26","194690","0.0-26.0","8754","{""Q0"":""Positive ""}","","","Grumpy","",""
"","","","","","html-slider-response","27","197936","0.0-27.0","3242","6","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Positive </strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","28","210167","0.0-28.0","12226","{""Q0"":""Foolish""}","","","Practical","",""
"","","","","","html-slider-response","29","213015","0.0-29.0","2846","3","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Foolish</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","30","218393","0.0-30.0","5371","{""Q0"":""Useless""}","","","Helpful","",""
"","","","","","html-slider-response","31","222734","0.0-31.0","4337","6","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Useless</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","32","234480","0.0-32.0","11740","{""Q0"":""Hermet ""}","","","Sociable","",""
"","","","","","html-slider-response","33","237165","0.0-33.0","2682","4","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Hermet </strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
