"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1157","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4513","0.0-1.0","3346","{""Q0"":""6287748198aa98c765deff27""}","","","","",""
"","","","","","survey-multi-choice","2","6467","0.0-2.0","1952","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","13682","0.0-3.0","7208","","","[{""page_index"":0,""viewing_time"":4332},{""page_index"":1,""viewing_time"":2876}]","","",""
"","","","","","instructions","4","15256","0.0-4.0","1573","","","[{""page_index"":0,""viewing_time"":1572}]","","",""
"","","","","","instructions","5","20698","0.0-5.0","5441","","","[{""page_index"":0,""viewing_time"":1115},{""page_index"":1,""viewing_time"":2574},{""page_index"":2,""viewing_time"":1752}]","","",""
"","","","","","survey-text","6","52998","0.0-6.0","32293","{""Q0"":""loose""}","","","Strict","",""
"","","","","","html-slider-response","7","59701","0.0-7.0","6702","5","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>loose</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","8","74696","0.0-8.0","14992","{""Q0"":""masculine""}","","","Feminine","",""
"","","","","","html-slider-response","9","80361","0.0-9.0","5664","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","10","105799","0.0-10.0","25436","{""Q0"":""joyful""}","","","Grumpy","",""
"","","","","","html-slider-response","11","115271","0.0-11.0","9470","6","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>joyful</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","12","164518","0.0-12.0","49245","{""Q0"":""egotistical""}","","","Self-critical","",""
"","","","","","html-slider-response","13","167694","0.0-13.0","3174","5","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>egotistical</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","14","184875","0.0-14.0","17178","{""Q0"":""kind""}","","","Cruel","",""
"","","","","","html-slider-response","15","188788","0.0-15.0","3912","6","","","Cruel","<div style=""width:500px;""> <p>How strongly do you feel that <strong>kind</strong> is a good fit for the opposite side of the <strong>Cruel</strong> scale?</p></div>","4"
"","","","","","survey-text","16","262060","0.0-16.0","73270","{""Q0"":""believing""}","","","Skeptical","",""
"","","","","","html-slider-response","17","266965","0.0-17.0","4904","5","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>believing</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
