"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","2235","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","8844","0.0-1.0","6606","{""Q0"":""60d3bf7186e79d8be99b335e""}","","","","",""
"","","","","","survey-multi-choice","2","10699","0.0-2.0","1854","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","18562","0.0-3.0","7861","","","[{""page_index"":0,""viewing_time"":5059},{""page_index"":1,""viewing_time"":2801}]","","",""
"","","","","","instructions","4","19985","0.0-4.0","1423","","","[{""page_index"":0,""viewing_time"":1423}]","","",""
"","","","","","instructions","5","70665","0.0-5.0","50679","","","[{""page_index"":0,""viewing_time"":1215},{""page_index"":1,""viewing_time"":47713},{""page_index"":2,""viewing_time"":1751}]","","",""
"","","","","","survey-text","6","98492","0.0-6.0","27820","{""Q0"":""Untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","7","103505","0.0-7.0","5011","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","8","111659","0.0-8.0","8152","{""Q0"":""Unemotional""}","","","Emotional","",""
"","","","","","html-slider-response","9","113612","0.0-9.0","1952","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unemotional</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","10","127648","0.0-10.0","14034","{""Q0"":""Impatient""}","","","Patient","",""
"","","","","","html-slider-response","11","129963","0.0-11.0","2314","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","12","135059","0.0-12.0","5094","{""Q0"":""Kind""}","","","Mean","",""
"","","","","","html-slider-response","13","137608","0.0-13.0","2549","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Kind</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","14","172020","0.0-14.0","34410","{""Q0"":""Stupid""}","","","Clever","",""
"","","","","","html-slider-response","15","174627","0.0-15.0","2607","6","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Stupid</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","16","200446","0.0-16.0","25817","{""Q0"":""Submissive""}","","","Bossy","",""
"","","","","","html-slider-response","17","202418","0.0-17.0","1970","7","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Submissive</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","18","206752","0.0-18.0","4333","{""Q0"":""Active""}","","","Passive","",""
"","","","","","html-slider-response","19","208605","0.0-19.0","1853","7","","","Passive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Active</strong> is a good fit for the opposite side of the <strong>Passive</strong> scale?</p></div>","4"
"","","","","","survey-text","20","217652","0.0-20.0","9045","{""Q0"":""Lazy""}","","","Determined","",""
"","","","","","html-slider-response","21","219757","0.0-21.0","2104","5","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lazy</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","22","225831","0.0-22.0","6073","{""Q0"":""Passive""}","","","Aggressive","",""
"","","","","","html-slider-response","23","232369","0.0-23.0","6536","6","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","24","251166","0.0-24.0","18796","{""Q0"":""Inactive""}","","","Energetic","",""
"","","","","","html-slider-response","25","253099","0.0-25.0","1932","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inactive</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","26","272251","0.0-26.0","19150","{""Q0"":""Unconfident""}","","","Confident","",""
"","","","","","html-slider-response","27","274121","0.0-27.0","1869","7","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unconfident</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","28","278565","0.0-28.0","4443","{""Q0"":""Old""}","","","Youthful","",""
"","","","","","html-slider-response","29","282694","0.0-29.0","4128","7","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Old</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","30","289769","0.0-30.0","7074","{""Q0"":""Offensive""}","","","Defensive","",""
"","","","","","html-slider-response","31","291702","0.0-31.0","1931","6","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Offensive</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","32","297520","0.0-32.0","5817","{""Q0"":""Typical""}","","","Atypical","",""
"","","","","","html-slider-response","33","299519","0.0-33.0","1998","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","34","304589","0.0-34.0","5069","{""Q0"":""Inarticulate""}","","","Articulate","",""
"","","","","","html-slider-response","35","306865","0.0-35.0","2275","7","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inarticulate</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","36","320598","0.0-36.0","13729","{""Q0"":""Proud""}","","","Jealous","",""
"","","","","","html-slider-response","37","322270","0.0-37.0","1672","5","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Proud</strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","38","326075","0.0-38.0","3803","{""Q0"":""Immature""}","","","Mature","",""
"","","","","","html-slider-response","39","327770","0.0-39.0","1695","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","40","332857","0.0-40.0","5086","{""Q0"":""Loving""}","","","Abusive","",""
"","","","","","html-slider-response","41","334890","0.0-41.0","2032","6","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Loving</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","42","340893","0.0-42.0","6001","{""Q0"":""Accepting""}","","","Prejudiced","",""
"","","","","","html-slider-response","43","343600","0.0-43.0","2707","6","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Accepting</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","44","346904","0.0-44.0","3302","{""Q0"":""Weak""}","","","Strong","",""
"","","","","","html-slider-response","45","349108","0.0-45.0","2204","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","46","372243","0.0-46.0","23133","{""Q0"":""Ignorant""}","","","Intellectual","",""
"","","","","","html-slider-response","47","374948","0.0-47.0","2704","4","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ignorant</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","48","398900","0.0-48.0","23951","{""Q0"":""Controllable""}","","","Compulsive","",""
"","","","","","html-slider-response","49","400414","0.0-49.0","1513","5","","","Compulsive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Controllable</strong> is a good fit for the opposite side of the <strong>Compulsive</strong> scale?</p></div>","4"
"","","","","","survey-text","50","405578","0.0-50.0","5162","{""Q0"":""Unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","51","407252","0.0-51.0","1673","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","52","411987","0.0-52.0","4734","{""Q0"":""Dominant""}","","","Submissive","",""
"","","","","","html-slider-response","53","413972","0.0-53.0","1984","7","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dominant</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","54","437203","0.0-54.0","23228","{""Q0"":""Uncritical""}","","","Critical","",""
"","","","","","html-slider-response","55","442405","0.0-55.0","5200","7","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uncritical</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","56","451015","0.0-56.0","8609","{""Q0"":""Gullible""}","","","Skeptical","",""
"","","","","","html-slider-response","57","453767","0.0-57.0","2751","4","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Gullible</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","58","459279","0.0-58.0","5510","{""Q0"":""Masculine""}","","","Feminine","",""
"","","","","","html-slider-response","59","461185","0.0-59.0","1905","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","60","466522","0.0-60.0","5335","{""Q0"":""Knowledgeable""}","","","Ignorant","",""
"","","","","","html-slider-response","61","468446","0.0-61.0","1923","6","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Knowledgeable</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","62","474235","0.0-62.0","5788","{""Q0"":""Difficult""}","","","Easygoing","",""
"","","","","","html-slider-response","63","476752","0.0-63.0","2517","4","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Difficult</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","64","484351","0.0-64.0","7598","{""Q0"":""Insensitive ""}","","","Sensitive","",""
"","","","","","html-slider-response","65","486573","0.0-65.0","2221","6","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Insensitive </strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","66","501654","0.0-66.0","15080","{""Q0"":""Boring""}","","","Charismatic","",""
"","","","","","html-slider-response","67","503299","0.0-67.0","1644","5","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Boring</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","68","507311","0.0-68.0","4010","{""Q0"":""Normal""}","","","Weird","",""
"","","","","","html-slider-response","69","510441","0.0-69.0","3129","7","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","70","517459","0.0-70.0","7017","{""Q0"":""Risky""}","","","Careful","",""
