"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","930","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","18931","0.0-1.0","17999","{""Q0"":""5f1b0abbb84a5207673cb637""}","","","","",""
"","","","","","survey-multi-choice","2","38314","0.0-2.0","19383","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","44903","0.0-3.0","6589","","","[{""page_index"":0,""viewing_time"":3989},{""page_index"":1,""viewing_time"":2600}]","","",""
"","","","","","instructions","4","70126","0.0-4.0","25224","","","[{""page_index"":0,""viewing_time"":25223}]","","",""
"","","","","","instructions","5","92073","0.0-5.0","21946","","","[{""page_index"":0,""viewing_time"":870},{""page_index"":1,""viewing_time"":20056},{""page_index"":2,""viewing_time"":1020}]","","",""
"","","","","","survey-text","6","223016","0.0-6.0","130939","{""Q0"":""Untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","7","227050","0.0-7.0","4033","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","8","231154","0.0-8.0","4103","{""Q0"":""Sad""}","","","Happy","",""
"","","","","","html-slider-response","9","233568","0.0-9.0","2413","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","10","238990","0.0-10.0","5420","{""Q0"":""Impractical""}","","","Practical","",""
"","","","","","html-slider-response","11","240795","0.0-11.0","1805","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","12","247647","0.0-12.0","6849","{""Q0"":""Selfish""}","","","Conscientious","",""
