"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1234","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4208","0.0-1.0","2966","{""Q0"":""5eb076d4438b1812aa3b6157""}","","","","",""
"","","","","","survey-multi-choice","2","6438","0.0-2.0","2227","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","15082","0.0-3.0","8638","","","[{""page_index"":0,""viewing_time"":5479},{""page_index"":1,""viewing_time"":3158}]","","",""
"","","","","","instructions","4","17974","0.0-4.0","2892","","","[{""page_index"":0,""viewing_time"":2891}]","","",""
"","","","","","instructions","5","23960","0.0-5.0","5985","","","[{""page_index"":0,""viewing_time"":890},{""page_index"":1,""viewing_time"":3380},{""page_index"":2,""viewing_time"":1715}]","","",""
"","","","","","survey-text","6","68767","0.0-6.0","44798","{""Q0"":""dishonest""}","","","Conscientious","",""
"","","","","","html-slider-response","7","75015","0.0-7.0","6243","6","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dishonest</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","8","101959","0.0-8.0","26939","{""Q0"":""normal""}","","","Weird","",""
"","","","","","html-slider-response","9","110737","0.0-9.0","8773","7","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","10","132678","0.0-10.0","21937","{""Q0"":""insensitive""}","","","Sensitive","",""
"","","","","","html-slider-response","11","135789","0.0-11.0","3108","5","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>insensitive</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","12","180910","0.0-12.0","45117","{""Q0"":""complimentary""}","","","Self-critical","",""
"","","","","","html-slider-response","13","183882","0.0-13.0","2970","6","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>complimentary</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","14","188119","0.0-14.0","4232","{""Q0"":""Sick""}","","","Healthy","",""
"","","","","","html-slider-response","15","191540","0.0-15.0","3419","6","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sick</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","16","210867","0.0-16.0","19325","{""Q0"":""attentive""}","","","Unobservant","",""
"","","","","","html-slider-response","17","212688","0.0-17.0","1819","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>attentive</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","18","220158","0.0-18.0","7465","{""Q0"":""Orderly""}","","","Disorderly","",""
"","","","","","html-slider-response","19","222829","0.0-19.0","2668","6","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Orderly</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","20","227075","0.0-20.0","4243","{""Q0"":""Quiet""}","","","Outspoken","",""
"","","","","","html-slider-response","21","229026","0.0-21.0","1949","7","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Quiet</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","22","252415","0.0-22.0","23388","{""Q0"":""Dumb""}","","","Clever","",""
"","","","","","html-slider-response","23","259157","0.0-23.0","6739","6","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dumb</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","24","278371","0.0-24.0","19211","{""Q0"":""naive""}","","","Manipulative","",""
"","","","","","html-slider-response","25","282447","0.0-25.0","4074","6","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>naive</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","26","329836","0.0-26.0","47386","{""Q0"":""foolish""}","","","Wise","",""
"","","","","","html-slider-response","27","331992","0.0-27.0","2153","7","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","28","348822","0.0-28.0","16827","{""Q0"":""obedient""}","","","Rebellious","",""
"","","","","","html-slider-response","29","351655","0.0-29.0","2830","7","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>obedient</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","30","365688","0.0-30.0","14028","{""Q0"":""content""}","","","Jealous","",""
"","","","","","html-slider-response","31","368139","0.0-31.0","2448","7","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>content</strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","32","384948","0.0-32.0","16806","{""Q0"":""inarticulate""}","","","Articulate","",""
"","","","","","html-slider-response","33","386767","0.0-33.0","1817","7","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inarticulate</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","34","416946","0.0-34.0","30177","{""Q0"":""friendly""}","","","Condescending","",""
"","","","","","html-slider-response","35","418987","0.0-35.0","2039","5","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>friendly</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","36","425175","0.0-36.0","6184","{""Q0"":""impractical""}","","","Practical","",""
"","","","","","html-slider-response","37","427128","0.0-37.0","1950","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","38","432473","0.0-38.0","5341","{""Q0"":""irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","39","434587","0.0-39.0","2112","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","40","451924","0.0-40.0","17333","{""Q0"":""humble""}","","","Bossy","",""
"","","","","","html-slider-response","41","454557","0.0-41.0","2631","6","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>humble</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","42","459506","0.0-42.0","4944","{""Q0"":""close-minded""}","","","Open-minded","",""
"","","","","","html-slider-response","43","461381","0.0-43.0","1874","7","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>close-minded</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","44","481098","0.0-44.0","19713","{""Q0"":""aware""}","","","Ignorant","",""
"","","","","","html-slider-response","45","483234","0.0-45.0","2133","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>aware</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","46","500968","0.0-46.0","17731","{""Q0"":""lethargic""}","","","Energetic","",""
"","","","","","html-slider-response","47","502858","0.0-47.0","1886","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lethargic</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","48","518778","0.0-48.0","15916","{""Q0"":""flexible""}","","","Strict","",""
"","","","","","html-slider-response","49","527192","0.0-49.0","8411","7","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>flexible</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
