"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","882","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4887","0.0-1.0","3999","{""Q0"":""60e21c244ee73fb4d76e7f74""}","","","","",""
"","","","","","survey-multi-choice","2","6922","0.0-2.0","2033","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","15112","0.0-3.0","8187","","","[{""page_index"":0,""viewing_time"":4495},{""page_index"":1,""viewing_time"":3693}]","","",""
"","","","","","instructions","4","17054","0.0-4.0","1942","","","[{""page_index"":0,""viewing_time"":1941}]","","",""
"","","","","","instructions","5","22142","0.0-5.0","5086","","","[{""page_index"":0,""viewing_time"":1048},{""page_index"":1,""viewing_time"":2979},{""page_index"":2,""viewing_time"":1059}]","","",""
"","","","","","survey-text","6","42235","0.0-6.0","20084","{""Q0"":""self-compassionate""}","","","Self-critical","",""
"","","","","","html-slider-response","7","49927","0.0-7.0","7689","6","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>self-compassionate</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","139980","0.0-8.0","90048","{""Q0"":""controlled""}","","","Compulsive","",""
"","","","","","html-slider-response","9","144994","0.0-9.0","5013","5","","","Compulsive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>controlled</strong> is a good fit for the opposite side of the <strong>Compulsive</strong> scale?</p></div>","4"
"","","","","","survey-text","10","231580","0.0-10.0","86582","{""Q0"":""anti-social""}","","","Charismatic","",""
"","","","","","html-slider-response","11","233493","0.0-11.0","1911","4","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>anti-social</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","12","245976","0.0-12.0","12480","{""Q0"":""insensitive""}","","","Sensitive","",""
"","","","","","html-slider-response","13","250121","0.0-13.0","4143","6","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>insensitive</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","14","280672","0.0-14.0","30549","{""Q0"":""calm""}","","","Anxious","",""
"","","","","","html-slider-response","15","284661","0.0-15.0","3987","5","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","16","328246","0.0-16.0","43582","{""Q0"":""unintelligible""}","","","Articulate","",""
"","","","","","html-slider-response","17","330730","0.0-17.0","2479","5","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unintelligible</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","18","335277","0.0-18.0","4542","{""Q0"":""unhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","19","338094","0.0-19.0","2815","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","20","344626","0.0-20.0","6528","{""Q0"":""tolerant""}","","","Prejudiced","",""
"","","","","","html-slider-response","21","349540","0.0-21.0","4913","5","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>tolerant</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","22","353458","0.0-22.0","3915","{""Q0"":""unconfident""}","","","Confident","",""
"","","","","","html-slider-response","23","364700","0.0-23.0","11240","7","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unconfident</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","24","368983","0.0-24.0","4279","{""Q0"":""immature""}","","","Mature","",""
"","","","","","html-slider-response","25","371516","0.0-25.0","2532","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","26","390835","0.0-26.0","19316","{""Q0"":""careless""}","","","Careful","",""
"","","","","","html-slider-response","27","396604","0.0-27.0","5767","6","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>careless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","28","429025","0.0-28.0","32418","{""Q0"":""late""}","","","Punctual","",""
"","","","","","html-slider-response","29","433178","0.0-29.0","4151","6","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>late</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","30","478042","0.0-30.0","44861","{""Q0"":""lenient""}","","","Strict","",""
"","","","","","html-slider-response","31","480363","0.0-31.0","2318","6","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lenient</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","32","487090","0.0-32.0","6723","{""Q0"":""constrained""}","","","Outspoken","",""
"","","","","","html-slider-response","33","488799","0.0-33.0","1708","5","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>constrained</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","34","553121","0.0-34.0","64318","{""Q0"":""calm""}","","","Intense","",""
"","","","","","html-slider-response","35","555248","0.0-35.0","2125","5","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","36","569754","0.0-36.0","14503","{""Q0"":""knowledgeable""}","","","Ignorant","",""
"","","","","","html-slider-response","37","573271","0.0-37.0","3515","5","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>knowledgeable</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","38","578197","0.0-38.0","4922","{""Q0"":""uninterested""}","","","Curious","",""
"","","","","","html-slider-response","39","579989","0.0-39.0","1790","5","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uninterested</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","40","586684","0.0-40.0","6692","{""Q0"":""mundane""}","","","Weird","",""
"","","","","","html-slider-response","41","588374","0.0-41.0","1688","4","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>mundane</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","42","609758","0.0-42.0","21381","{""Q0"":""compassionate""}","","","Cruel","",""
"","","","","","html-slider-response","43","612545","0.0-43.0","2784","6","","","Cruel","<div style=""width:500px;""> <p>How strongly do you feel that <strong>compassionate</strong> is a good fit for the opposite side of the <strong>Cruel</strong> scale?</p></div>","4"
"","","","","","survey-text","44","617074","0.0-44.0","4526","{""Q0"":""insincere""}","","","Sincere","",""
"","","","","","html-slider-response","45","619089","0.0-45.0","2013","6","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>insincere</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","46","621805","0.0-46.0","2713","{""Q0"":""weak""}","","","Strong","",""
