"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1247","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","7156","0.0-1.0","5852","{""Q0"":""58be162d2e4dc0000164b12c""}","","","","",""
"","","","","","survey-multi-choice","2","10301","0.0-2.0","3143","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","19265","0.0-3.0","8962","","","[{""page_index"":0,""viewing_time"":6109},{""page_index"":1,""viewing_time"":2853}]","","",""
"","","","","","instructions","4","20935","0.0-4.0","1668","","","[{""page_index"":0,""viewing_time"":1668}]","","",""
"","","","","","instructions","5","26086","0.0-5.0","5151","","","[{""page_index"":0,""viewing_time"":1052},{""page_index"":1,""viewing_time"":2620},{""page_index"":2,""viewing_time"":1478}]","","",""
"","","","","","survey-text","6","71874","0.0-6.0","45778","{""Q0"":""Calm""}","","","Angry","",""
"","","","","","html-slider-response","7","77255","0.0-7.0","5379","7","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Calm</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","8","82653","0.0-8.0","5389","{""Q0"":""Happy""}","","","Grumpy","",""
"","","","","","html-slider-response","9","87646","0.0-9.0","4991","7","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Happy</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","10","96392","0.0-10.0","8739","{""Q0"":""unconventional""}","","","Traditional","",""
"","","","","","html-slider-response","11","100286","0.0-11.0","3892","7","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unconventional</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","12","205611","0.0-12.0","105315","{""Q0"":""conceit""}","","","Humble","",""
"","","","","","html-slider-response","13","209873","0.0-13.0","4261","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>conceit</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","14","217134","0.0-14.0","7256","{""Q0"":""needy""}","","","Independent","",""
"","","","","","html-slider-response","15","219913","0.0-15.0","2778","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>needy</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","16","249157","0.0-16.0","29234","{""Q0"":""trusting""}","","","Skeptical","",""
"","","","","","html-slider-response","17","252068","0.0-17.0","2910","7","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>trusting</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","18","262264","0.0-18.0","10191","{""Q0"":""unnatural""}","","","Natural","",""
"","","","","","html-slider-response","19","265372","0.0-19.0","3106","7","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unnatural</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","20","295869","0.0-20.0","30490","{""Q0"":""useless""}","","","Persistent","",""
"","","","","","html-slider-response","21","303930","0.0-21.0","8059","6","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>useless</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","22","337154","0.0-22.0","33215","{""Q0"":""normal""}","","","Atypical","",""
"","","","","","html-slider-response","23","340114","0.0-23.0","2959","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>normal</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","24","347777","0.0-24.0","7657","{""Q0"":""careless""}","","","Responsible","",""
"","","","","","html-slider-response","25","351509","0.0-25.0","3731","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>careless</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","26","357593","0.0-26.0","6077","{""Q0"":""tardy""}","","","Punctual","",""
"","","","","","html-slider-response","27","361150","0.0-27.0","3555","7","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>tardy</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","28","366535","0.0-28.0","5378","{""Q0"":""sickly""}","","","Healthy","",""
"","","","","","html-slider-response","29","371361","0.0-29.0","4825","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sickly</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","30","378054","0.0-30.0","6687","{""Q0"":""distant""}","","","Affectionate","",""
