"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1540","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6923","0.0-1.0","5352","{""Q0"":""5909955b9e26f200016e1247""}","","","","",""
"","","","","","survey-multi-choice","2","10269","0.0-2.0","3330","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","21620","0.0-3.0","11341","","","[{""page_index"":0,""viewing_time"":7782},{""page_index"":1,""viewing_time"":3558}]","","",""
"","","","","","instructions","4","23477","0.0-4.0","1853","","","[{""page_index"":0,""viewing_time"":1853}]","","",""
"","","","","","instructions","5","30803","0.0-5.0","7324","","","[{""page_index"":0,""viewing_time"":1397},{""page_index"":1,""viewing_time"":3879},{""page_index"":2,""viewing_time"":2048}]","","",""
"","","","","","survey-text","6","45903","0.0-6.0","15054","{""Q0"":""frivolous""}","","","Serious","",""
"","","","","","html-slider-response","7","51454","0.0-7.0","5535","7","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>frivolous</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","8","70072","0.0-8.0","18608","{""Q0"":""progressive""}","","","Traditional","",""
"","","","","","html-slider-response","9","76543","0.0-9.0","6461","6","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>progressive</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","10","115408","0.0-10.0","38843","{""Q0"":""accepting""}","","","Critical","",""
"","","","","","html-slider-response","11","121631","0.0-11.0","6211","5","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>accepting</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","12","184564","0.0-12.0","62910","{""Q0"":""obstructive""}","","","Helpful","",""
"","","","","","html-slider-response","13","188762","0.0-13.0","4187","5","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>obstructive</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","14","211577","0.0-14.0","22793","{""Q0"":""dullard""}","","","Clever","",""
"","","","","","html-slider-response","15","216363","0.0-15.0","4779","7","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dullard</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","16","225354","0.0-16.0","8969","{""Q0"":""passive""}","","","Aggressive","",""
"","","","","","html-slider-response","17","229115","0.0-17.0","3755","7","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>passive</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","18","263145","0.0-18.0","34012","{""Q0"":""loner""}","","","Sociable","",""
"","","","","","html-slider-response","19","267626","0.0-19.0","4474","7","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>loner</strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
"","","","","","survey-text","20","368274","0.0-20.0","100629","{""Q0"":""timid""}","","","Confident","",""
"","","","","","html-slider-response","21","371736","0.0-21.0","3442","5","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>timid</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","22","448207","0.0-22.0","76450","{""Q0"":""aquiescent""}","","","Bossy","",""
"","","","","","html-slider-response","23","452673","0.0-23.0","4453","6","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>aquiescent</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","24","468531","0.0-24.0","15839","{""Q0"":""irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","25","471450","0.0-25.0","2909","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","26","481942","0.0-26.0","10472","{""Q0"":""pessimistic""}","","","Optimistic","",""
"","","","","","html-slider-response","27","485962","0.0-27.0","4014","7","","","Optimistic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>pessimistic</strong> is a good fit for the opposite side of the <strong>Optimistic</strong> scale?</p></div>","4"
"","","","","","survey-text","28","492203","0.0-28.0","6228","{""Q0"":""kind""}","","","Cruel","",""
"","","","","","html-slider-response","29","495834","0.0-29.0","3619","7","","","Cruel","<div style=""width:500px;""> <p>How strongly do you feel that <strong>kind</strong> is a good fit for the opposite side of the <strong>Cruel</strong> scale?</p></div>","4"
"","","","","","survey-text","30","534629","0.0-30.0","38780","{""Q0"":""unimaginative""}","","","Curious","",""
"","","","","","html-slider-response","31","538890","0.0-31.0","4250","4","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unimaginative</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","32","546772","0.0-32.0","7865","{""Q0"":""morose""}","","","Enthusiastic","",""
"","","","","","html-slider-response","33","551467","0.0-33.0","4684","6","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>morose</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","34","576901","0.0-34.0","25419","{""Q0"":""repulsive""}","","","Charismatic","",""
"","","","","","html-slider-response","35","579548","0.0-35.0","2635","5","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>repulsive</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","36","587501","0.0-36.0","7938","{""Q0"":""cheerful""}","","","Grumpy","",""
"","","","","","html-slider-response","37","590404","0.0-37.0","2892","7","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>cheerful</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","38","597386","0.0-38.0","6963","{""Q0"":""careless""}","","","Careful","",""
"","","","","","html-slider-response","39","600548","0.0-39.0","3155","7","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>careless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","40","622799","0.0-40.0","22235","{""Q0"":""immoral""}","","","Ethical","",""
"","","","","","html-slider-response","41","625293","0.0-41.0","2482","6","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>immoral</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","42","696716","0.0-42.0","71398","{""Q0"":""condident""}","","","Jealous","",""
"","","","","","html-slider-response","43","705432","0.0-43.0","8705","4","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>condident</strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","44","714118","0.0-44.0","8662","{""Q0"":""normal""}","","","Weird","",""
"","","","","","html-slider-response","45","716137","0.0-45.0","2011","6","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","46","735672","0.0-46.0","19524","{""Q0"":""hardhearted""}","","","Empathetic","",""
"","","","","","html-slider-response","47","740303","0.0-47.0","4621","6","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>hardhearted</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","48","767857","0.0-48.0","27533","{""Q0"":""cold""}","","","Affectionate","",""
"","","","","","html-slider-response","49","772256","0.0-49.0","4393","5","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>cold</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","50","780987","0.0-50.0","8716","{""Q0"":""arrogant""}","","","Humble","",""
"","","","","","html-slider-response","51","784387","0.0-51.0","3387","7","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>arrogant</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","52","796164","0.0-52.0","11764","{""Q0"":""inflexible""}","","","Flexible","",""
"","","","","","html-slider-response","53","798275","0.0-53.0","2099","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inflexible</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","54","811891","0.0-54.0","13597","{""Q0"":""stupid""}","","","Wise","",""
"","","","","","html-slider-response","55","814308","0.0-55.0","2412","6","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stupid</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","56","825608","0.0-56.0","11280","{""Q0"":""observant""}","","","Unobservant","",""
"","","","","","html-slider-response","57","828142","0.0-57.0","2528","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","58","888361","0.0-58.0","60203","{""Q0"":""sedate""}","","","Disorderly","",""
"","","","","","html-slider-response","59","890974","0.0-59.0","2595","6","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sedate</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","60","907090","0.0-60.0","16112","{""Q0"":""accepting""}","","","Skeptical","",""
"","","","","","html-slider-response","61","909793","0.0-61.0","2693","5","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>accepting</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","62","917385","0.0-62.0","7572","{""Q0"":""typical""}","","","Atypical","",""
"","","","","","html-slider-response","63","919641","0.0-63.0","2250","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","64","926939","0.0-64.0","7282","{""Q0"":""immature""}","","","Mature","",""
"","","","","","html-slider-response","65","929425","0.0-65.0","2477","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","66","998340","0.0-66.0","68879","{""Q0"":""accepting""}","","","Ambitious","",""
"","","","","","html-slider-response","67","1002353","0.0-67.0","4003","2","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>accepting</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","68","1019435","0.0-68.0","17062","{""Q0"":""knowing""}","","","Ignorant","",""
"","","","","","html-slider-response","69","1021553","0.0-69.0","2109","5","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>knowing</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","70","1049083","0.0-70.0","27516","{""Q0"":""lazy""}","","","Energetic","",""
"","","","","","html-slider-response","71","1052249","0.0-71.0","3154","4","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","72","1062723","0.0-72.0","10454","{""Q0"":""impatient""}","","","Patient","",""
"","","","","","html-slider-response","73","1064962","0.0-73.0","2227","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","74","1075700","0.0-74.0","10726","{""Q0"":""aggressive""}","","","Submissive","",""
"","","","","","html-slider-response","75","1080277","0.0-75.0","4562","6","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>aggressive</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","76","1138968","0.0-76.0","58676","{""Q0"":""rational""}","","","Creative","",""
