"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1905","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","10163","0.0-1.0","8252","{""Q0"":""64f1f404809fb79511978ea5""}","","","","",""
"","","","","","survey-multi-choice","2","12719","0.0-2.0","2555","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","25712","0.0-3.0","12991","","","[{""page_index"":0,""viewing_time"":8473},{""page_index"":1,""viewing_time"":4518}]","","",""
"","","","","","instructions","4","27884","0.0-4.0","2171","","","[{""page_index"":0,""viewing_time"":2171}]","","",""
"","","","","","instructions","5","33736","0.0-5.0","5851","","","[{""page_index"":0,""viewing_time"":1609},{""page_index"":1,""viewing_time"":2084},{""page_index"":2,""viewing_time"":2158}]","","",""
"","","","","","survey-text","6","54588","0.0-6.0","20845","{""Q0"":""reserved""}","","","Outspoken","",""
"","","","","","html-slider-response","7","61358","0.0-7.0","6767","6","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>reserved</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","8","153688","0.0-8.0","92327","{""Q0"":""Relaxed""}","","","Strict","",""
"","","","","","html-slider-response","9","157284","0.0-9.0","3595","6","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Relaxed</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","10","166256","0.0-10.0","8969","{""Q0"":""Incompetent""}","","","Competent","",""
"","","","","","html-slider-response","11","169684","0.0-11.0","3427","7","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Incompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","12","175720","0.0-12.0","6034","{""Q0"":""Foolish""}","","","Wise","",""
"","","","","","html-slider-response","13","178268","0.0-13.0","2546","7","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","14","229309","0.0-14.0","51037","{""Q0"":""Lazy""}","","","Ambitious","",""
"","","","","","html-slider-response","15","231904","0.0-15.0","2594","5","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lazy</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","16","267771","0.0-16.0","35864","{""Q0"":""sporadic""}","","","Persistent","",""
"","","","","","html-slider-response","17","269918","0.0-17.0","2146","5","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sporadic</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","18","302275","0.0-18.0","32353","{""Q0"":""Normal""}","","","Weird","",""
"","","","","","html-slider-response","19","304974","0.0-19.0","2699","5","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","20","336053","0.0-20.0","31076","{""Q0"":""friendly""}","","","Condescending","",""
"","","","","","html-slider-response","21","339144","0.0-21.0","3091","6","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>friendly</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","22","366566","0.0-22.0","27420","{""Q0"":""immoral""}","","","Conscientious","",""
"","","","","","html-slider-response","23","369498","0.0-23.0","2930","6","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>immoral</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","24","413826","0.0-24.0","44326","{""Q0"":""Certain""}","","","Skeptical","",""
"","","","","","html-slider-response","25","416790","0.0-25.0","2962","6","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Certain</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","26","441100","0.0-26.0","24308","{""Q0"":""uncritical""}","","","Critical","",""
"","","","","","html-slider-response","27","443598","0.0-27.0","2497","7","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncritical</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","28","447783","0.0-28.0","4182","{""Q0"":""nice""}","","","Mean","",""
"","","","","","html-slider-response","29","449802","0.0-29.0","2018","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","30","461892","0.0-30.0","12089","{""Q0"":""self-compassionate""}","","","Self-critical","",""
"","","","","","html-slider-response","31","464872","0.0-31.0","2979","6","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>self-compassionate</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","32","485358","0.0-32.0","20484","{""Q0"":""fumbling""}","","","Articulate","",""
"","","","","","html-slider-response","33","487410","0.0-33.0","2050","5","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>fumbling</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","34","519094","0.0-34.0","31682","{""Q0"":""untraditional""}","","","Traditional","",""
"","","","","","html-slider-response","35","521159","0.0-35.0","2064","7","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untraditional</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
