"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","14897","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","20097","0.0-1.0","5185","{""Q0"":""6286b2b633eaea5194b9ba13""}","","","","",""
"","","","","","survey-multi-choice","2","23025","0.0-2.0","2918","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","35946","0.0-3.0","12914","","","[{""page_index"":0,""viewing_time"":8979},{""page_index"":1,""viewing_time"":3935}]","","",""
"","","","","","instructions","4","38489","0.0-4.0","2541","","","[{""page_index"":0,""viewing_time"":2541}]","","",""
"","","","","","instructions","5","52596","0.0-5.0","14105","","","[{""page_index"":0,""viewing_time"":1498},{""page_index"":1,""viewing_time"":4897},{""page_index"":2,""viewing_time"":7709}]","","",""
"","","","","","survey-text","6","110069","0.0-6.0","57448","{""Q0"":""trivial""}","","","Serious","",""
"","","","","","html-slider-response","7","115141","0.0-7.0","5068","6","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>trivial</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","8","128973","0.0-8.0","13818","{""Q0"":""Disagreeable""}","","","Agreeable","",""
"","","","","","html-slider-response","9","131632","0.0-9.0","2654","7","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Disagreeable</strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","10","152859","0.0-10.0","21213","{""Q0"":""Self-Obsolete""}","","","Self-critical","",""
"","","","","","html-slider-response","11","158456","0.0-11.0","5593","5","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Self-Obsolete</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","12","221088","0.0-12.0","62617","{""Q0"":""ineffective""}","","","Articulate","",""
"","","","","","html-slider-response","13","227510","0.0-13.0","6418","5","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ineffective</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","14","239057","0.0-14.0","11533","{""Q0"":""Calm""}","","","Intense","",""
"","","","","","html-slider-response","15","244940","0.0-15.0","5878","6","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Calm</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","16","252477","0.0-16.0","7523","{""Q0"":""Dependent""}","","","Independent","",""
"","","","","","html-slider-response","17","257345","0.0-17.0","4864","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","18","302858","0.0-18.0","45500","{""Q0"":""Careless""}","","","Sensitive","",""
"","","","","","html-slider-response","19","307595","0.0-19.0","4732","5","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Careless</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","20","340246","0.0-20.0","32639","{""Q0"":""Trusting""}","","","Skeptical","",""
"","","","","","html-slider-response","21","345550","0.0-21.0","5298","4","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Trusting</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","22","357640","0.0-22.0","12077","{""Q0"":""Joyful""}","","","Grumpy","",""
"","","","","","html-slider-response","23","361507","0.0-23.0","3863","6","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Joyful</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","24","366129","0.0-24.0","4609","{""Q0"":""Weak""}","","","Strong","",""
"","","","","","html-slider-response","25","370128","0.0-25.0","3994","6","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","26","391204","0.0-26.0","21061","{""Q0"":""Depressing""}","","","Enthusiastic","",""
"","","","","","html-slider-response","27","394564","0.0-27.0","3356","3","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Depressing</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","28","414080","0.0-28.0","19503","{""Q0"":""Observant""}","","","Unobservant","",""
"","","","","","html-slider-response","29","416940","0.0-29.0","2854","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","30","424583","0.0-30.0","7629","{""Q0"":""Unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","31","432964","0.0-31.0","8376","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","32","485919","0.0-32.0","52943","{""Q0"":""tense""}","","","Easygoing","",""
"","","","","","html-slider-response","33","490362","0.0-33.0","4439","4","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>tense</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","34","497421","0.0-34.0","7045","{""Q0"":""Offensive""}","","","Defensive","",""
"","","","","","html-slider-response","35","500450","0.0-35.0","3025","7","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Offensive</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","36","519079","0.0-36.0","18618","{""Q0"":""Motivating""}","","","Condescending","",""
"","","","","","html-slider-response","37","521754","0.0-37.0","2671","5","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Motivating</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","38","534467","0.0-38.0","12701","{""Q0"":""Stiff""}","","","Flexible","",""
"","","","","","html-slider-response","39","537610","0.0-39.0","3137","6","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Stiff</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","40","544416","0.0-40.0","6792","{""Q0"":""Flexible""}","","","Bossy","",""
"","","","","","html-slider-response","41","546538","0.0-41.0","2117","5","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Flexible</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","42","553708","0.0-42.0","7151","{""Q0"":""Masculine""}","","","Feminine","",""
"","","","","","html-slider-response","43","557819","0.0-43.0","4107","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","44","563455","0.0-44.0","5625","{""Q0"":""Incompetent""}","","","Competent","",""
"","","","","","html-slider-response","45","566915","0.0-45.0","3456","7","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Incompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","46","581936","0.0-46.0","15007","{""Q0"":""Idiot""}","","","Intellectual","",""
"","","","","","html-slider-response","47","584657","0.0-47.0","2717","3","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Idiot</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","48","589701","0.0-48.0","5030","{""Q0"":""Shy""}","","","Confident","",""
"","","","","","html-slider-response","49","593059","0.0-49.0","3352","6","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Shy</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","50","604018","0.0-50.0","10944","{""Q0"":""Normal""}","","","Weird","",""
"","","","","","html-slider-response","51","613205","0.0-51.0","9183","5","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","52","629094","0.0-52.0","15878","{""Q0"":""Hotheaded""}","","","Humble","",""
"","","","","","html-slider-response","53","633598","0.0-53.0","4500","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Hotheaded</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
