"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1417","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6034","0.0-1.0","4612","{""Q0"":""5f4818e6d5ce1016c865ed24""}","","","","",""
"","","","","","survey-multi-choice","2","9563","0.0-2.0","3526","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","27058","0.0-3.0","17485","","","[{""page_index"":0,""viewing_time"":13956},{""page_index"":1,""viewing_time"":3529}]","","",""
"","","","","","instructions","4","29991","0.0-4.0","2932","","","[{""page_index"":0,""viewing_time"":2932}]","","",""
"","","","","","instructions","5","37099","0.0-5.0","7106","","","[{""page_index"":0,""viewing_time"":1203},{""page_index"":1,""viewing_time"":3832},{""page_index"":2,""viewing_time"":2071}]","","",""
"","","","","","survey-text","6","62827","0.0-6.0","25704","{""Q0"":""alert""}","","","Unobservant","",""
"","","","","","html-slider-response","7","87638","0.0-7.0","24807","4","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>alert</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","8","109208","0.0-8.0","21562","{""Q0"":""conforming""}","","","Rebellious","",""
"","","","","","html-slider-response","9","114590","0.0-9.0","5380","5","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>conforming</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","139312","0.0-10.0","24714","{""Q0"":""careless""}","","","Careful","",""
"","","","","","html-slider-response","11","145527","0.0-11.0","6211","4","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>careless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","12","172528","0.0-12.0","26992","{""Q0"":""gregarious""}","","","Dignified","",""
