"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","2268","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","7636","0.0-1.0","5363","{""Q0"":""609e28fc803b1238af34d1c4""}","","","","",""
"","","","","","survey-multi-choice","2","12199","0.0-2.0","4561","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","446227","0.0-3.0","434026","","","[{""page_index"":0,""viewing_time"":429421},{""page_index"":1,""viewing_time"":4605}]","","",""
"","","","","","instructions","4","468243","0.0-4.0","22016","","","[{""page_index"":0,""viewing_time"":22015}]","","",""
"","","","","","instructions","5","477042","0.0-5.0","8799","","","[{""page_index"":0,""viewing_time"":2125},{""page_index"":1,""viewing_time"":3823},{""page_index"":2,""viewing_time"":2850}]","","",""
"","","","","","survey-text","6","523160","0.0-6.0","46109","{""Q0"":""Self-conscious""}","","","Confident","",""
"","","","","","html-slider-response","7","528366","0.0-7.0","5204","7","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Self-conscious</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","8","544261","0.0-8.0","15893","{""Q0"":""Non-religious""}","","","Religious","",""
"","","","","","html-slider-response","9","548047","0.0-9.0","3784","7","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Non-religious</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","554241","0.0-10.0","6191","{""Q0"":""Normal""}","","","Weird","",""
"","","","","","html-slider-response","11","559083","0.0-11.0","4842","7","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","12","566415","0.0-12.0","7330","{""Q0"":""Ignorant""}","","","Wise","",""
"","","","","","html-slider-response","13","569491","0.0-13.0","3075","7","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ignorant</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","14","590771","0.0-14.0","21277","{""Q0"":""Stupid""}","","","Intellectual","",""
"","","","","","html-slider-response","15","594471","0.0-15.0","3699","7","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Stupid</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","16","600212","0.0-16.0","5738","{""Q0"":""Fake""}","","","Sincere","",""
"","","","","","html-slider-response","17","603770","0.0-17.0","3557","7","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Fake</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","18","614511","0.0-18.0","10738","{""Q0"":""Accepting""}","","","Prejudiced","",""
"","","","","","html-slider-response","19","618349","0.0-19.0","3837","7","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Accepting</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","20","646413","0.0-20.0","28062","{""Q0"":""Careless""}","","","Persistent","",""
"","","","","","html-slider-response","21","649325","0.0-21.0","2911","4","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Careless</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","22","659345","0.0-22.0","10018","{""Q0"":""Unhappy""}","","","Happy","",""
"","","","","","html-slider-response","23","663166","0.0-23.0","3819","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhappy</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","24","672697","0.0-24.0","9530","{""Q0"":""Tough""}","","","Sensitive","",""
