"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1393","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6543","0.0-1.0","5148","{""Q0"":""63f9a3fab5b22e42b0753da1""}","","","","",""
"","","","","","survey-multi-choice","2","8941","0.0-2.0","2396","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","17829","0.0-3.0","8886","","","[{""page_index"":0,""viewing_time"":5670},{""page_index"":1,""viewing_time"":3216}]","","",""
"","","","","","instructions","4","20414","0.0-4.0","2585","","","[{""page_index"":0,""viewing_time"":2585}]","","",""
"","","","","","instructions","5","34281","0.0-5.0","13865","","","[{""page_index"":0,""viewing_time"":1808},{""page_index"":1,""viewing_time"":9424},{""page_index"":2,""viewing_time"":2633}]","","",""
"","","","","","survey-text","6","98922","0.0-6.0","64635","{""Q0"":""Inflexible""}","","","Flexible","",""
"","","","","","html-slider-response","7","103594","0.0-7.0","4671","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inflexible</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","8","119409","0.0-8.0","15810","{""Q0"":""Nice""}","","","Mean","",""
"","","","","","html-slider-response","9","121964","0.0-9.0","2553","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","10","136504","0.0-10.0","14538","{""Q0"":""Untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","11","139595","0.0-11.0","3089","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","12","151588","0.0-12.0","11992","{""Q0"":""Reserved""}","","","Outspoken","",""
"","","","","","html-slider-response","13","155487","0.0-13.0","3898","7","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Reserved</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","14","249694","0.0-14.0","94204","{""Q0"":""Arrogant""}","","","Humble","",""
"","","","","","html-slider-response","15","254804","0.0-15.0","5108","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Arrogant</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","16","283000","0.0-16.0","28193","{""Q0"":""Easy-going""}","","","Bossy","",""
