"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1286","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","17795","0.0-1.0","16500","{""Q0"":""601e13b872774f263d64acac""}","","","","",""
"","","","","","survey-multi-choice","2","19749","0.0-2.0","1949","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","27835","0.0-3.0","8077","","","[{""page_index"":0,""viewing_time"":6120},{""page_index"":1,""viewing_time"":1956}]","","",""
"","","","","","instructions","4","29221","0.0-4.0","1385","","","[{""page_index"":0,""viewing_time"":1384}]","","",""
"","","","","","instructions","5","32361","0.0-5.0","3139","","","[{""page_index"":0,""viewing_time"":865},{""page_index"":1,""viewing_time"":1207},{""page_index"":2,""viewing_time"":1066}]","","",""
"","","","","","survey-text","6","44296","0.0-6.0","11924","{""Q0"":""humiliated""}","","","Dignified","",""
"","","","","","html-slider-response","7","47913","0.0-7.0","3615","2","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>humiliated</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","8","54764","0.0-8.0","6848","{""Q0"":""bragadocious""}","","","Humble","",""
"","","","","","html-slider-response","9","57216","0.0-9.0","2447","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>bragadocious</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","10","67043","0.0-10.0","9819","{""Q0"":""unhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","11","70503","0.0-11.0","3458","6","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","12","80652","0.0-12.0","10144","{""Q0"":""weak""}","","","Confident","",""
"","","","","","html-slider-response","13","83872","0.0-13.0","3214","3","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>weak</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","14","97639","0.0-14.0","13748","{""Q0"":""juvenile""}","","","Mature","",""
"","","","","","html-slider-response","15","100438","0.0-15.0","2794","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>juvenile</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","16","106867","0.0-16.0","6421","{""Q0"":""foolish""}","","","Wise","",""
"","","","","","html-slider-response","17","111144","0.0-17.0","4273","7","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","18","145352","0.0-18.0","34199","{""Q0"":""deceptive""}","","","Trustworthy","",""
"","","","","","html-slider-response","19","147645","0.0-19.0","2291","6","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>deceptive</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","20","154841","0.0-20.0","7191","{""Q0"":""callous""}","","","Sensitive","",""
"","","","","","html-slider-response","21","156796","0.0-21.0","1953","4","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>callous</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","22","166781","0.0-22.0","9973","{""Q0"":""deliberate""}","","","Compulsive","",""
"","","","","","html-slider-response","23","169115","0.0-23.0","2332","5","","","Compulsive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>deliberate</strong> is a good fit for the opposite side of the <strong>Compulsive</strong> scale?</p></div>","4"
"","","","","","survey-text","24","175373","0.0-24.0","6249","{""Q0"":""offensive""}","","","Defensive","",""
"","","","","","html-slider-response","25","178416","0.0-25.0","3040","5","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>offensive</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","185132","0.0-26.0","6698","{""Q0"":""trusting""}","","","Skeptical","",""
"","","","","","html-slider-response","27","188780","0.0-27.0","3646","5","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>trusting</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","28","195358","0.0-28.0","6565","{""Q0"":""friendly""}","","","Combative","",""
"","","","","","html-slider-response","29","203208","0.0-29.0","7847","3","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>friendly</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","30","213054","0.0-30.0","9840","{""Q0"":""friendly""}","","","Grumpy","",""
"","","","","","html-slider-response","31","219022","0.0-31.0","5962","5","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>friendly</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","32","239542","0.0-32.0","20511","{""Q0"":""callous""}","","","Empathetic","",""
"","","","","","html-slider-response","33","242053","0.0-33.0","2506","3","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>callous</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","34","273094","0.0-34.0","31029","{""Q0"":""lazy""}","","","Persistent","",""
"","","","","","html-slider-response","35","275267","0.0-35.0","2169","2","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","36","282572","0.0-36.0","7288","{""Q0"":""atheistic""}","","","Religious","",""
"","","","","","html-slider-response","37","286028","0.0-37.0","3453","7","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>atheistic</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","38","295609","0.0-38.0","9578","{""Q0"":""compliant""}","","","Manipulative","",""
"","","","","","html-slider-response","39","297732","0.0-39.0","2119","2","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>compliant</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","40","303094","0.0-40.0","5353","{""Q0"":""sad""}","","","Happy","",""
"","","","","","html-slider-response","41","306273","0.0-41.0","3174","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","42","318510","0.0-42.0","12219","{""Q0"":""aggressive""}","","","Submissive","",""
