"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","3136","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","1462583","0.0-1.0","1459411","{""Q0"":""55b1add5fdf99b6731f04c5a""}","","","","",""
"","","","","","survey-multi-choice","2","1464845","0.0-2.0","2259","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","1472932","0.0-3.0","8081","","","[{""page_index"":0,""viewing_time"":5775},{""page_index"":1,""viewing_time"":2303}]","","",""
"","","","","","instructions","4","1473972","0.0-4.0","1038","","","[{""page_index"":0,""viewing_time"":1037}]","","",""
"","","","","","instructions","5","1478099","0.0-5.0","4125","","","[{""page_index"":0,""viewing_time"":1117},{""page_index"":1,""viewing_time"":1834},{""page_index"":2,""viewing_time"":1174}]","","",""
"","","","","","survey-text","6","1496835","0.0-6.0","18724","{""Q0"":""Lazy""}","","","Energetic","",""
"","","","","","html-slider-response","7","1499875","0.0-7.0","3036","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lazy</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","8","1508955","0.0-8.0","9072","{""Q0"":""Irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","9","1510930","0.0-9.0","1972","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","10","1520108","0.0-10.0","9171","{""Q0"":""Knowledgeable""}","","","Ignorant","",""
"","","","","","html-slider-response","11","1522188","0.0-11.0","2076","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Knowledgeable</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","12","1529540","0.0-12.0","7345","{""Q0"":""combative""}","","","Agreeable","",""
"","","","","","html-slider-response","13","1533907","0.0-13.0","4365","6","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>combative</strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","14","4965198","0.0-14.0","3431136","{""Q0"":""Trivial""}","","","Serious","",""
"","","","","","html-slider-response","15","4967759","0.0-15.0","2190","5","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Trivial</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","16","4995529","0.0-16.0","27723","{""Q0"":""Typical""}","","","Dignified","",""
"","","","","","html-slider-response","17","5001185","0.0-17.0","5654","4","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Typical</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","18","5008104","0.0-18.0","6912","{""Q0"":""Helping""}","","","Condescending","",""
"","","","","","html-slider-response","19","5010407","0.0-19.0","2301","4","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Helping</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","20","5015808","0.0-20.0","5395","{""Q0"":""Weak""}","","","Strong","",""
"","","","","","html-slider-response","21","5018799","0.0-21.0","2988","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","22","5023953","0.0-22.0","5149","{""Q0"":""Dominant""}","","","Submissive","",""
"","","","","","html-slider-response","23","5027471","0.0-23.0","3516","7","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dominant</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","24","5035056","0.0-24.0","7578","{""Q0"":""Passive""}","","","Aggressive","",""
"","","","","","html-slider-response","25","5038911","0.0-25.0","3852","6","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","5044271","0.0-26.0","5356","{""Q0"":""Active""}","","","Passive","",""
"","","","","","html-slider-response","27","5046439","0.0-27.0","2166","6","","","Passive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Active</strong> is a good fit for the opposite side of the <strong>Passive</strong> scale?</p></div>","4"
"","","","","","survey-text","28","5051927","0.0-28.0","5482","{""Q0"":""Immature""}","","","Mature","",""
"","","","","","html-slider-response","29","5054255","0.0-29.0","2326","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
