"mobile","browser","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","box_width","box_height","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow","fullscreen"
"false","chrome","browser-check","0","1","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","7375","0.0-1.0","true","6366","","","","","","","","","","","","","","","","","",""
"","","browser-check","2","7376","0.0-2.0","","","1280","720","","","","","","","","","","","","","","","",""
"","","html-button-response","3","8837","0.0-3.0","","1459","","","You will be shown ???. Please ???.","0","800","600","","","","","","","","","","","",""
"","","preload","4","8866","0.0-4.0","true","","","","","","","","false","[]","[]","[]","","","","","","","",""
"","","html-button-response","5","9726","0.0-5.0-0.0","","859","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","6","10876","0.0-5.0-1.0","","1148","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w1.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","","","mouseTrackQuestion","[""WHITE"",""BLACK""]","[""white"",""black""]","[{""x"":635,""y"":551,""t"":586,""event"":""mousemove""},{""x"":634,""y"":550,""t"":613,""event"":""mousemove""},{""x"":634,""y"":549,""t"":619,""event"":""mousemove""},{""x"":631,""y"":546,""t"":632,""event"":""mousemove""},{""x"":623,""y"":535,""t"":649,""event"":""mousemove""},{""x"":611,""y"":518,""t"":665,""event"":""mousemove""},{""x"":586,""y"":478,""t"":682,""event"":""mousemove""},{""x"":564,""y"":439,""t"":698,""event"":""mousemove""},{""x"":539,""y"":394,""t"":715,""event"":""mousemove""},{""x"":505,""y"":326,""t"":732,""event"":""mousemove""},{""x"":488,""y"":293,""t"":749,""event"":""mousemove""},{""x"":470,""y"":260,""t"":765,""event"":""mousemove""},{""x"":460,""y"":246,""t"":782,""event"":""mousemove""},{""x"":453,""y"":235,""t"":799,""event"":""mousemove""},{""x"":445,""y"":221,""t"":815,""event"":""mousemove""},{""x"":442,""y"":216,""t"":832,""event"":""mousemove""},{""x"":438,""y"":210,""t"":849,""event"":""mousemove""},{""x"":436,""y"":207,""t"":865,""event"":""mousemove""},{""x"":433,""y"":203,""t"":882,""event"":""mousemove""},{""x"":428,""y"":196,""t"":899,""event"":""mousemove""},{""x"":424,""y"":191,""t"":916,""event"":""mousemove""},{""x"":421,""y"":186,""t"":934,""event"":""mousemove""},{""x"":419,""y"":184,""t"":949,""event"":""mousemove""},{""x"":417,""y"":182,""t"":965,""event"":""mousemove""},{""x"":414,""y"":178,""t"":982,""event"":""mousemove""},{""x"":412,""y"":175,""t"":999,""event"":""mousemove""},{""x"":410,""y"":172,""t"":1015,""event"":""mousemove""},{""x"":409,""y"":171,""t"":1032,""event"":""mousemove""},{""x"":408,""y"":170,""t"":1049,""event"":""mousemove""},{""x"":407,""y"":168,""t"":1065,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","7","12223","0.0-5.0-0.1","","1345","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","8","13571","0.0-5.0-1.1","","1347","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""WHITE"",""BLACK""]","[""white"",""black""]","[{""x"":627,""y"":465,""t"":660,""event"":""mousemove""},{""x"":628,""y"":462,""t"":669,""event"":""mousemove""},{""x"":632,""y"":451,""t"":686,""event"":""mousemove""},{""x"":641,""y"":435,""t"":703,""event"":""mousemove""},{""x"":646,""y"":425,""t"":719,""event"":""mousemove""},{""x"":655,""y"":407,""t"":736,""event"":""mousemove""},{""x"":658,""y"":399,""t"":753,""event"":""mousemove""},{""x"":670,""y"":373,""t"":769,""event"":""mousemove""},{""x"":674,""y"":365,""t"":786,""event"":""mousemove""},{""x"":695,""y"":324,""t"":803,""event"":""mousemove""},{""x"":714,""y"":286,""t"":819,""event"":""mousemove""},{""x"":726,""y"":265,""t"":836,""event"":""mousemove""},{""x"":742,""y"":231,""t"":853,""event"":""mousemove""},{""x"":753,""y"":212,""t"":869,""event"":""mousemove""},{""x"":764,""y"":193,""t"":886,""event"":""mousemove""},{""x"":777,""y"":174,""t"":903,""event"":""mousemove""},{""x"":782,""y"":166,""t"":919,""event"":""mousemove""},{""x"":790,""y"":153,""t"":936,""event"":""mousemove""},{""x"":795,""y"":145,""t"":953,""event"":""mousemove""},{""x"":801,""y"":138,""t"":970,""event"":""mousemove""},{""x"":807,""y"":131,""t"":986,""event"":""mousemove""},{""x"":809,""y"":129,""t"":1003,""event"":""mousemove""},{""x"":810,""y"":128,""t"":1020,""event"":""mousemove""},{""x"":811,""y"":127,""t"":1036,""event"":""mousemove""},{""x"":812,""y"":127,""t"":1053,""event"":""mousemove""},{""x"":814,""y"":123,""t"":1069,""event"":""mousemove""},{""x"":816,""y"":120,""t"":1086,""event"":""mousemove""},{""x"":820,""y"":113,""t"":1103,""event"":""mousemove""},{""x"":825,""y"":107,""t"":1119,""event"":""mousemove""},{""x"":829,""y"":101,""t"":1136,""event"":""mousemove""},{""x"":836,""y"":93,""t"":1153,""event"":""mousemove""},{""x"":838,""y"":88,""t"":1170,""event"":""mousemove""},{""x"":842,""y"":85,""t"":1186,""event"":""mousemove""},{""x"":843,""y"":83,""t"":1203,""event"":""mousemove""},{""x"":846,""y"":81,""t"":1219,""event"":""mousemove""},{""x"":850,""y"":75,""t"":1236,""event"":""mousemove""},{""x"":852,""y"":73,""t"":1253,""event"":""mousemove""},{""x"":853,""y"":72,""t"":1269,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":230.33334350585938,""y"":-26.33333396911621,""width"":804,""height"":604,""top"":-26.33333396911621,""right"":1034.3333435058594,""bottom"":577.6666660308838,""left"":230.33334350585938}}","false","false","false"
"","","fullscreen","9","15374","0.0-5.0-4.1-0.1","true","790","","","","","","","","","","","","","","","","","",""
