"mobile","browser","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","box_width","box_height","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow","fullscreen"
"false","chrome","browser-check","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","1600","0.0-1.0","true","596","","","","","","","","","","","","","","","","","",""
"","","browser-check","2","1600","0.0-2.0","","","1280","720","","","","","","","","","","","","","","","",""
"","","html-button-response","3","2269","0.0-3.0","","667","","","You will be shown ???. Please ???.","0","800","600","","","","","","","","","","","",""
"","","preload","4","2291","0.0-4.0","true","","","","","","","","false","[]","[]","[]","","","","","","","",""
"","","html-button-response","5","2868","0.0-5.0-0.0","","576","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","6","4036","0.0-5.0-1.0","","1167","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b4.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":632,""y"":555,""t"":681,""event"":""mousemove""},{""x"":628,""y"":547,""t"":687,""event"":""mousemove""},{""x"":621,""y"":528,""t"":702,""event"":""mousemove""},{""x"":607,""y"":505,""t"":718,""event"":""mousemove""},{""x"":579,""y"":455,""t"":735,""event"":""mousemove""},{""x"":549,""y"":402,""t"":752,""event"":""mousemove""},{""x"":524,""y"":361,""t"":769,""event"":""mousemove""},{""x"":487,""y"":304,""t"":785,""event"":""mousemove""},{""x"":470,""y"":282,""t"":802,""event"":""mousemove""},{""x"":456,""y"":263,""t"":818,""event"":""mousemove""},{""x"":438,""y"":240,""t"":835,""event"":""mousemove""},{""x"":430,""y"":228,""t"":852,""event"":""mousemove""},{""x"":420,""y"":210,""t"":868,""event"":""mousemove""},{""x"":415,""y"":200,""t"":885,""event"":""mousemove""},{""x"":410,""y"":193,""t"":902,""event"":""mousemove""},{""x"":406,""y"":183,""t"":919,""event"":""mousemove""},{""x"":403,""y"":180,""t"":935,""event"":""mousemove""},{""x"":398,""y"":175,""t"":952,""event"":""mousemove""},{""x"":395,""y"":172,""t"":968,""event"":""mousemove""},{""x"":391,""y"":167,""t"":985,""event"":""mousemove""},{""x"":388,""y"":162,""t"":1002,""event"":""mousemove""},{""x"":387,""y"":161,""t"":1021,""event"":""mousemove""},{""x"":386,""y"":160,""t"":1035,""event"":""mousemove""},{""x"":386,""y"":159,""t"":1055,""event"":""mousemove""},{""x"":386,""y"":158,""t"":1068,""event"":""mousemove""},{""x"":384,""y"":158,""t"":1085,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","7","4827","0.0-5.0-0.1","","789","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","8","6371","0.0-5.0-1.1","","1541","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":642,""y"":560,""t"":652,""event"":""mousemove""},{""x"":620,""y"":550,""t"":660,""event"":""mousemove""},{""x"":573,""y"":536,""t"":676,""event"":""mousemove""},{""x"":500,""y"":508,""t"":693,""event"":""mousemove""},{""x"":452,""y"":489,""t"":710,""event"":""mousemove""},{""x"":422,""y"":478,""t"":726,""event"":""mousemove""},{""x"":370,""y"":457,""t"":743,""event"":""mousemove""},{""x"":342,""y"":442,""t"":760,""event"":""mousemove""},{""x"":306,""y"":424,""t"":776,""event"":""mousemove""},{""x"":286,""y"":414,""t"":793,""event"":""mousemove""},{""x"":264,""y"":403,""t"":810,""event"":""mousemove""},{""x"":240,""y"":387,""t"":826,""event"":""mousemove""},{""x"":228,""y"":377,""t"":843,""event"":""mousemove""},{""x"":214,""y"":366,""t"":860,""event"":""mousemove""},{""x"":203,""y"":361,""t"":876,""event"":""mousemove""},{""x"":195,""y"":356,""t"":893,""event"":""mousemove""},{""x"":188,""y"":351,""t"":910,""event"":""mousemove""},{""x"":186,""y"":350,""t"":926,""event"":""mousemove""},{""x"":186,""y"":348,""t"":943,""event"":""mousemove""},{""x"":186,""y"":347,""t"":960,""event"":""mousemove""},{""x"":186,""y"":346,""t"":1111,""event"":""mousemove""},{""x"":190,""y"":342,""t"":1127,""event"":""mousemove""},{""x"":194,""y"":336,""t"":1143,""event"":""mousemove""},{""x"":210,""y"":316,""t"":1160,""event"":""mousemove""},{""x"":224,""y"":298,""t"":1177,""event"":""mousemove""},{""x"":256,""y"":266,""t"":1193,""event"":""mousemove""},{""x"":275,""y"":249,""t"":1210,""event"":""mousemove""},{""x"":297,""y"":229,""t"":1226,""event"":""mousemove""},{""x"":322,""y"":210,""t"":1243,""event"":""mousemove""},{""x"":335,""y"":197,""t"":1260,""event"":""mousemove""},{""x"":351,""y"":186,""t"":1277,""event"":""mousemove""},{""x"":360,""y"":178,""t"":1293,""event"":""mousemove""},{""x"":368,""y"":172,""t"":1310,""event"":""mousemove""},{""x"":378,""y"":167,""t"":1327,""event"":""mousemove""},{""x"":381,""y"":164,""t"":1343,""event"":""mousemove""},{""x"":384,""y"":163,""t"":1360,""event"":""mousemove""},{""x"":386,""y"":162,""t"":1377,""event"":""mousemove""},{""x"":387,""y"":162,""t"":1427,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","9","6982","0.0-5.0-0.2","","610","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
