"mobile","browser","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","box_width","box_height","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow","fullscreen"
"false","chrome","browser-check","0","1","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","1797","0.0-1.0","true","790","","","","","","","","","","","","","","","","","",""
"","","browser-check","2","1797","0.0-2.0","","","1280","720","","","","","","","","","","","","","","","",""
"","","html-button-response","3","2466","0.0-3.0","","668","","","You will be shown ???. Please ???.","0","800","600","","","","","","","","","","","",""
"","","preload","4","2496","0.0-4.0","true","","","","","","","","false","[]","[]","[]","","","","","","","",""
"","","html-button-response","5","3084","0.0-5.0-0.0","","587","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","6","4340","0.0-5.0-1.0","","1254","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w6.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":634,""y"":551,""t"":643,""event"":""mousemove""},{""x"":636,""y"":545,""t"":649,""event"":""mousemove""},{""x"":640,""y"":537,""t"":661,""event"":""mousemove""},{""x"":653,""y"":510,""t"":678,""event"":""mousemove""},{""x"":664,""y"":489,""t"":695,""event"":""mousemove""},{""x"":684,""y"":454,""t"":711,""event"":""mousemove""},{""x"":708,""y"":418,""t"":728,""event"":""mousemove""},{""x"":740,""y"":372,""t"":745,""event"":""mousemove""},{""x"":759,""y"":344,""t"":762,""event"":""mousemove""},{""x"":780,""y"":316,""t"":778,""event"":""mousemove""},{""x"":806,""y"":282,""t"":795,""event"":""mousemove""},{""x"":817,""y"":266,""t"":812,""event"":""mousemove""},{""x"":826,""y"":252,""t"":828,""event"":""mousemove""},{""x"":837,""y"":238,""t"":845,""event"":""mousemove""},{""x"":842,""y"":231,""t"":862,""event"":""mousemove""},{""x"":850,""y"":222,""t"":878,""event"":""mousemove""},{""x"":854,""y"":217,""t"":895,""event"":""mousemove""},{""x"":858,""y"":212,""t"":912,""event"":""mousemove""},{""x"":862,""y"":204,""t"":929,""event"":""mousemove""},{""x"":865,""y"":201,""t"":945,""event"":""mousemove""},{""x"":867,""y"":198,""t"":961,""event"":""mousemove""},{""x"":868,""y"":197,""t"":978,""event"":""mousemove""},{""x"":868,""y"":196,""t"":1045,""event"":""mousemove""},{""x"":869,""y"":196,""t"":1062,""event"":""mousemove""},{""x"":871,""y"":192,""t"":1078,""event"":""mousemove""},{""x"":876,""y"":186,""t"":1095,""event"":""mousemove""},{""x"":880,""y"":178,""t"":1112,""event"":""mousemove""},{""x"":887,""y"":167,""t"":1128,""event"":""mousemove""},{""x"":889,""y"":162,""t"":1145,""event"":""mousemove""},{""x"":890,""y"":160,""t"":1162,""event"":""mousemove""},{""x"":891,""y"":159,""t"":1177,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","7","5604","0.0-5.0-0.1","","1263","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","8","6932","0.0-5.0-1.1","","1327","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b6.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":620,""y"":456,""t"":778,""event"":""mousemove""},{""x"":606,""y"":437,""t"":792,""event"":""mousemove""},{""x"":586,""y"":410,""t"":809,""event"":""mousemove""},{""x"":558,""y"":371,""t"":827,""event"":""mousemove""},{""x"":540,""y"":341,""t"":843,""event"":""mousemove""},{""x"":523,""y"":310,""t"":859,""event"":""mousemove""},{""x"":498,""y"":271,""t"":876,""event"":""mousemove""},{""x"":483,""y"":245,""t"":892,""event"":""mousemove""},{""x"":464,""y"":213,""t"":909,""event"":""mousemove""},{""x"":452,""y"":195,""t"":926,""event"":""mousemove""},{""x"":443,""y"":181,""t"":943,""event"":""mousemove""},{""x"":431,""y"":163,""t"":959,""event"":""mousemove""},{""x"":423,""y"":154,""t"":976,""event"":""mousemove""},{""x"":414,""y"":143,""t"":994,""event"":""mousemove""},{""x"":410,""y"":139,""t"":1009,""event"":""mousemove""},{""x"":405,""y"":133,""t"":1026,""event"":""mousemove""},{""x"":400,""y"":126,""t"":1042,""event"":""mousemove""},{""x"":398,""y"":122,""t"":1059,""event"":""mousemove""},{""x"":395,""y"":119,""t"":1076,""event"":""mousemove""},{""x"":392,""y"":115,""t"":1092,""event"":""mousemove""},{""x"":390,""y"":113,""t"":1109,""event"":""mousemove""},{""x"":387,""y"":110,""t"":1126,""event"":""mousemove""},{""x"":386,""y"":107,""t"":1143,""event"":""mousemove""},{""x"":382,""y"":103,""t"":1160,""event"":""mousemove""},{""x"":379,""y"":99,""t"":1176,""event"":""mousemove""},{""x"":377,""y"":96,""t"":1193,""event"":""mousemove""},{""x"":375,""y"":93,""t"":1209,""event"":""mousemove""},{""x"":374,""y"":89,""t"":1226,""event"":""mousemove""},{""x"":373,""y"":88,""t"":1235,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":230.33334350585938,""y"":-26.33333396911621,""width"":804,""height"":604,""top"":-26.33333396911621,""right"":1034.3333435058594,""bottom"":577.6666660308838,""left"":230.33334350585938}}","false","false","false"
"","","fullscreen","9","9494","0.0-5.0-4.1-0.1","true","1559","","","","","","","","","","","","","","","","","",""
