"mt_id","xpos","ypos","timestamps","rt","correct","response","correct_response","button_order","stimulus"
1,636,551,877,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,631,544,883,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,618,530,898,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,604,512,915,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,581,486,932,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,565,466,948,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,553,447,966,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,534,416,982,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,520,399,999,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,505,380,1015,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,496,368,1032,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,486,358,1048,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,473,340,1065,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,466,330,1082,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,460,322,1099,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,452,314,1115,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,448,309,1132,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,444,303,1148,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,440,298,1165,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,436,293,1182,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,429,284,1198,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,424,278,1215,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,420,266,1232,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,415,259,1248,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,411,251,1265,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,403,239,1282,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,398,231,1299,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,393,222,1315,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,388,214,1332,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,382,202,1348,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,379,195,1365,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,376,190,1383,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,372,184,1400,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,370,181,1415,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,366,174,1432,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,364,171,1449,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,362,166,1466,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,359,163,1483,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,358,162,1499,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,357,161,1515,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
1,356,160,1532,1703,1,"CATEGORY A","catA","[""CATEGORY A"",""CATEGORY B""]","b3"
2,652,543,685,1261,0,"CATEGORY A","catB","[""CATEGORY A"",""CATEGORY B""]","w2"
2,640,524,698,1261,0,"CATEGORY A","catB","[""CATEGORY A"",""CATEGORY B""]","w2"
