"mt_id","xpos","ypos","timestamps","rt","correct","response","correct_response","button_order","stimulus"
1,638,549,628,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,636,546,641,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,634,540,658,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,633,536,674,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,633,531,691,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,636,524,708,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,642,515,724,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,656,489,741,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,674,458,758,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,707,407,774,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,732,373,791,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,756,340,808,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,808,275,824,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,829,250,841,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,857,216,857,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,867,202,874,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,877,192,891,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,886,182,908,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,890,178,924,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,894,172,941,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,897,168,958,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,900,165,974,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,901,162,991,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,902,160,1008,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
1,902,160,1178,1183,1,"WHITE","white","[""BLACK"",""WHITE""]","w5"
2,660,542,654,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,666,532,662,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,677,512,678,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,689,491,694,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,708,458,710,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,720,439,726,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,732,418,744,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,752,383,761,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,766,361,777,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,784,331,793,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,795,314,810,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,804,301,827,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,818,281,843,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,824,272,860,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,831,260,877,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,834,255,894,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,838,247,910,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,842,240,927,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,846,235,943,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,850,230,960,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,854,225,977,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,858,220,994,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,866,209,1010,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,871,201,1027,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,876,193,1043,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,877,191,1060,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,878,191,1077,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,878,190,1126,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,878,189,1144,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,879,188,1160,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,880,186,1177,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,881,186,1193,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,881,185,1210,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
2,881,184,1237,1349,0,"WHITE","black","[""BLACK"",""WHITE""]","b6"
3,638,552,558,1134,1,"BLACK","black","[""BLACK"",""WHITE""]","b5"
3,630,538,564,1134,1,"BLACK","black","[""BLACK"",""WHITE""]","b5"
3,619,518,578,1134,1,"BLACK","black","[""BLACK"",""WHITE""]","b5"
3,600,482,596,1134,1,"BLACK","black","[""BLACK"",""WHITE""]","b5"
3,579,448,612,1134,1,"BLACK","black","[""BLACK"",""WHITE""]","b5"
