"mt_id","rt","correct","response","correct_response","button_order","stimulus","included","too_slow","too_fast","not_fullscreen","out_of_bounds"
1,1254,TRUE,"WHITE","WHITE","[""BLACK"",""WHITE""]","w6",TRUE,FALSE,FALSE,FALSE,FALSE
2,1327,TRUE,"BLACK","BLACK","[""BLACK"",""WHITE""]","b6",FALSE,FALSE,FALSE,TRUE,FALSE
3,1303,FALSE,"WHITE","BLACK","[""BLACK"",""WHITE""]","b2",TRUE,FALSE,FALSE,FALSE,FALSE
4,1721,FALSE,"BLACK","WHITE","[""BLACK"",""WHITE""]","w1",FALSE,FALSE,FALSE,FALSE,TRUE
5,1323,TRUE,"WHITE","WHITE","[""BLACK"",""WHITE""]","w2",FALSE,FALSE,FALSE,FALSE,TRUE
6,1994,TRUE,"WHITE","WHITE","[""BLACK"",""WHITE""]","w4",TRUE,FALSE,FALSE,FALSE,FALSE
7,1392,TRUE,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5",FALSE,FALSE,FALSE,FALSE,TRUE
8,1732,TRUE,"WHITE","WHITE","[""BLACK"",""WHITE""]","w3",FALSE,FALSE,FALSE,FALSE,TRUE
9,1788,FALSE,"WHITE","BLACK","[""BLACK"",""WHITE""]","b4",TRUE,FALSE,FALSE,FALSE,FALSE
10,3624,TRUE,"BLACK","BLACK","[""BLACK"",""WHITE""]","b5",FALSE,TRUE,FALSE,FALSE,FALSE
