"mt_id","xpos","ypos","timestamps","rt","correct","response","correct_response","button_order","stimulus"
1,639,548,792,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,635,544,799,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,632,539,805,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,626,536,812,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,623,532,819,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,619,528,826,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,616,526,833,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,614,523,840,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,611,521,847,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,610,520,854,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,608,517,861,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,605,515,868,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,603,514,875,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,600,510,882,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,596,506,888,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,591,502,895,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,586,496,903,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,580,489,909,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,574,483,916,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,564,473,923,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,554,464,930,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,546,456,937,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,537,448,944,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,526,434,951,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,516,424,958,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,504,410,965,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,491,395,972,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,481,385,979,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,470,373,986,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,462,364,993,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,454,356,1000,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,446,347,1007,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,438,340,1014,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,428,330,1020,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,421,323,1027,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,415,317,1034,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,410,313,1041,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,402,308,1048,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,396,302,1056,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,390,298,1062,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,386,294,1069,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
1,381,292,1076,1597,1,"WHITE","WHITE","[""WHITE"",""BLACK""]","w6"
