"mobile","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow"
"false","browser-check","0","1","0.0-0.0","","","","","","","","","","","","","","","","",""
"","fullscreen","1","1713","0.0-1.0","true","695","","","","","","","","","","","","","","",""
"","browser-check","2","1715","0.0-2.0","","","1280","720","","","","","","","","","","","","",""
"","html-button-response","3","2580","0.0-3.0","","865","","","You will be shown ???. Please ???.","0","","","","","","","","","","",""
"","preload","4","2604","0.0-4.0","true","","","","","","false","[]","[]","[]","","","","","","",""
"","html-button-response","5","3400","0.0-5.0-0.0","","796","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","",""
"","html-button-response","6","4585","0.0-5.0-1.0","","1183","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w5.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":638,""y"":549,""t"":628,""event"":""mousemove""},{""x"":636,""y"":546,""t"":641,""event"":""mousemove""},{""x"":634,""y"":540,""t"":658,""event"":""mousemove""},{""x"":633,""y"":536,""t"":674,""event"":""mousemove""},{""x"":633,""y"":531,""t"":691,""event"":""mousemove""},{""x"":636,""y"":524,""t"":708,""event"":""mousemove""},{""x"":642,""y"":515,""t"":724,""event"":""mousemove""},{""x"":656,""y"":489,""t"":741,""event"":""mousemove""},{""x"":674,""y"":458,""t"":758,""event"":""mousemove""},{""x"":707,""y"":407,""t"":774,""event"":""mousemove""},{""x"":732,""y"":373,""t"":791,""event"":""mousemove""},{""x"":756,""y"":340,""t"":808,""event"":""mousemove""},{""x"":808,""y"":275,""t"":824,""event"":""mousemove""},{""x"":829,""y"":250,""t"":841,""event"":""mousemove""},{""x"":857,""y"":216,""t"":857,""event"":""mousemove""},{""x"":867,""y"":202,""t"":874,""event"":""mousemove""},{""x"":877,""y"":192,""t"":891,""event"":""mousemove""},{""x"":886,""y"":182,""t"":908,""event"":""mousemove""},{""x"":890,""y"":178,""t"":924,""event"":""mousemove""},{""x"":894,""y"":172,""t"":941,""event"":""mousemove""},{""x"":897,""y"":168,""t"":958,""event"":""mousemove""},{""x"":900,""y"":165,""t"":974,""event"":""mousemove""},{""x"":901,""y"":162,""t"":991,""event"":""mousemove""},{""x"":902,""y"":160,""t"":1008,""event"":""mousemove""},{""x"":902,""y"":160,""t"":1178,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false"
"","html-button-response","7","5399","0.0-5.0-0.1","","813","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","",""
"","html-button-response","8","6748","0.0-5.0-1.1","","1349","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b6.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":660,""y"":542,""t"":654,""event"":""mousemove""},{""x"":666,""y"":532,""t"":662,""event"":""mousemove""},{""x"":677,""y"":512,""t"":678,""event"":""mousemove""},{""x"":689,""y"":491,""t"":694,""event"":""mousemove""},{""x"":708,""y"":458,""t"":710,""event"":""mousemove""},{""x"":720,""y"":439,""t"":726,""event"":""mousemove""},{""x"":732,""y"":418,""t"":744,""event"":""mousemove""},{""x"":752,""y"":383,""t"":761,""event"":""mousemove""},{""x"":766,""y"":361,""t"":777,""event"":""mousemove""},{""x"":784,""y"":331,""t"":793,""event"":""mousemove""},{""x"":795,""y"":314,""t"":810,""event"":""mousemove""},{""x"":804,""y"":301,""t"":827,""event"":""mousemove""},{""x"":818,""y"":281,""t"":843,""event"":""mousemove""},{""x"":824,""y"":272,""t"":860,""event"":""mousemove""},{""x"":831,""y"":260,""t"":877,""event"":""mousemove""},{""x"":834,""y"":255,""t"":894,""event"":""mousemove""},{""x"":838,""y"":247,""t"":910,""event"":""mousemove""},{""x"":842,""y"":240,""t"":927,""event"":""mousemove""},{""x"":846,""y"":235,""t"":943,""event"":""mousemove""},{""x"":850,""y"":230,""t"":960,""event"":""mousemove""},{""x"":854,""y"":225,""t"":977,""event"":""mousemove""},{""x"":858,""y"":220,""t"":994,""event"":""mousemove""},{""x"":866,""y"":209,""t"":1010,""event"":""mousemove""},{""x"":871,""y"":201,""t"":1027,""event"":""mousemove""},{""x"":876,""y"":193,""t"":1043,""event"":""mousemove""},{""x"":877,""y"":191,""t"":1060,""event"":""mousemove""},{""x"":878,""y"":191,""t"":1077,""event"":""mousemove""},{""x"":878,""y"":190,""t"":1126,""event"":""mousemove""},{""x"":878,""y"":189,""t"":1144,""event"":""mousemove""},{""x"":879,""y"":188,""t"":1160,""event"":""mousemove""},{""x"":880,""y"":186,""t"":1177,""event"":""mousemove""},{""x"":881,""y"":186,""t"":1193,""event"":""mousemove""},{""x"":881,""y"":185,""t"":1210,""event"":""mousemove""},{""x"":881,""y"":184,""t"":1237,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false"
"","html-button-response","9","7514","0.0-5.0-0.2","","764","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","",""
