"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","width","height","stimulus","response","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow"
"true","1240","fullscreen","0","2253","0.0-0.0","","","","","","","","","","","","","",""
"","","browser-check","1","2254","0.0-1.0","1280","720","","","","","","","","","","","",""
"","808","html-button-response","2","3063","0.0-2.0","","","You will be shown ???. Please ???.","0","","","","","","","","","",""
"true","","preload","3","3104","0.0-3.0","","","","","false","[]","[]","[]","","","","","",""
"","653","html-button-response","4","3757","0.0-4.0-0.0","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","",""
"","1124","html-button-response","5","4882","0.0-4.0-1.0","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w5.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[{""x"":650,""y"":547,""t"":535,""event"":""mousemove""},{""x"":654,""y"":541,""t"":541,""event"":""mousemove""},{""x"":660,""y"":532,""t"":548,""event"":""mousemove""},{""x"":666,""y"":522,""t"":555,""event"":""mousemove""},{""x"":673,""y"":514,""t"":561,""event"":""mousemove""},{""x"":684,""y"":500,""t"":568,""event"":""mousemove""},{""x"":699,""y"":483,""t"":575,""event"":""mousemove""},{""x"":710,""y"":466,""t"":582,""event"":""mousemove""},{""x"":721,""y"":454,""t"":589,""event"":""mousemove""},{""x"":732,""y"":440,""t"":596,""event"":""mousemove""},{""x"":748,""y"":424,""t"":603,""event"":""mousemove""},{""x"":762,""y"":407,""t"":610,""event"":""mousemove""},{""x"":784,""y"":386,""t"":617,""event"":""mousemove""},{""x"":807,""y"":362,""t"":624,""event"":""mousemove""},{""x"":822,""y"":347,""t"":631,""event"":""mousemove""},{""x"":836,""y"":332,""t"":638,""event"":""mousemove""},{""x"":850,""y"":320,""t"":645,""event"":""mousemove""},{""x"":861,""y"":310,""t"":652,""event"":""mousemove""},{""x"":871,""y"":300,""t"":658,""event"":""mousemove""},{""x"":881,""y"":290,""t"":666,""event"":""mousemove""},{""x"":890,""y"":281,""t"":672,""event"":""mousemove""},{""x"":900,""y"":270,""t"":679,""event"":""mousemove""},{""x"":909,""y"":262,""t"":686,""event"":""mousemove""},{""x"":918,""y"":252,""t"":694,""event"":""mousemove""},{""x"":925,""y"":244,""t"":700,""event"":""mousemove""},{""x"":932,""y"":238,""t"":708,""event"":""mousemove""},{""x"":938,""y"":232,""t"":714,""event"":""mousemove""},{""x"":942,""y"":227,""t"":721,""event"":""mousemove""},{""x"":948,""y"":222,""t"":728,""event"":""mousemove""},{""x"":951,""y"":220,""t"":735,""event"":""mousemove""},{""x"":954,""y"":216,""t"":742,""event"":""mousemove""},{""x"":958,""y"":213,""t"":749,""event"":""mousemove""},{""x"":960,""y"":210,""t"":756,""event"":""mousemove""},{""x"":964,""y"":207,""t"":763,""event"":""mousemove""},{""x"":966,""y"":205,""t"":770,""event"":""mousemove""},{""x"":969,""y"":203,""t"":777,""event"":""mousemove""},{""x"":970,""y"":202,""t"":784,""event"":""mousemove""},{""x"":972,""y"":200,""t"":791,""event"":""mousemove""},{""x"":974,""y"":199,""t"":797,""event"":""mousemove""},{""x"":975,""y"":197,""t"":804,""event"":""mousemove""},{""x"":977,""y"":195,""t"":811,""event"":""mousemove""},{""x"":978,""y"":194,""t"":818,""event"":""mousemove""},{""x"":980,""y"":192,""t"":825,""event"":""mousemove""},{""x"":981,""y"":190,""t"":832,""event"":""mousemove""},{""x"":982,""y"":189,""t"":839,""event"":""mousemove""},{""x"":983,""y"":188,""t"":846,""event"":""mousemove""},{""x"":984,""y"":186,""t"":853,""event"":""mousemove""},{""x"":985,""y"":184,""t"":860,""event"":""mousemove""},{""x"":988,""y"":182,""t"":867,""event"":""mousemove""},{""x"":988,""y"":181,""t"":874,""event"":""mousemove""},{""x"":990,""y"":179,""t"":881,""event"":""mousemove""},{""x"":992,""y"":177,""t"":888,""event"":""mousemove""},{""x"":992,""y"":176,""t"":895,""event"":""mousemove""},{""x"":994,""y"":175,""t"":902,""event"":""mousemove""},{""x"":995,""y"":174,""t"":916,""event"":""mousemove""},{""x"":996,""y"":174,""t"":923,""event"":""mousemove""},{""x"":997,""y"":174,""t"":929,""event"":""mousemove""},{""x"":998,""y"":174,""t"":936,""event"":""mousemove""},{""x"":998,""y"":173,""t"":944,""event"":""mousemove""},{""x"":999,""y"":172,""t"":951,""event"":""mousemove""},{""x"":1000,""y"":172,""t"":958,""event"":""mousemove""},{""x"":1002,""y"":171,""t"":964,""event"":""mousemove""},{""x"":1003,""y"":170,""t"":971,""event"":""mousemove""},{""x"":1004,""y"":170,""t"":978,""event"":""mousemove""},{""x"":1005,""y"":169,""t"":985,""event"":""mousemove""},{""x"":1006,""y"":168,""t"":992,""event"":""mousemove""},{""x"":1007,""y"":168,""t"":1013,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":138,""y"":58,""width"":1004,""height"":604,""top"":58,""right"":1142,""bottom"":662,""left"":138}}","false","false"
"","777","html-button-response","6","5660","0.0-4.0-0.1","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","",""
"","4146","html-button-response","7","9806","0.0-4.0-1.1","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[{""x"":636,""y"":552,""t"":3355,""event"":""mousemove""},{""x"":642,""y"":547,""t"":3361,""event"":""mousemove""},{""x"":649,""y"":542,""t"":3368,""event"":""mousemove""},{""x"":656,""y"":538,""t"":3375,""event"":""mousemove""},{""x"":665,""y"":531,""t"":3382,""event"":""mousemove""},{""x"":674,""y"":524,""t"":3389,""event"":""mousemove""},{""x"":682,""y"":518,""t"":3396,""event"":""mousemove""},{""x"":692,""y"":510,""t"":3403,""event"":""mousemove""},{""x"":702,""y"":502,""t"":3410,""event"":""mousemove""},{""x"":712,""y"":496,""t"":3417,""event"":""mousemove""},{""x"":722,""y"":489,""t"":3423,""event"":""mousemove""},{""x"":739,""y"":478,""t"":3431,""event"":""mousemove""},{""x"":750,""y"":471,""t"":3437,""event"":""mousemove""},{""x"":762,""y"":462,""t"":3444,""event"":""mousemove""},{""x"":774,""y"":452,""t"":3451,""event"":""mousemove""},{""x"":784,""y"":443,""t"":3458,""event"":""mousemove""},{""x"":792,""y"":434,""t"":3466,""event"":""mousemove""},{""x"":802,""y"":426,""t"":3472,""event"":""mousemove""},{""x"":812,""y"":415,""t"":3479,""event"":""mousemove""},{""x"":820,""y"":408,""t"":3486,""event"":""mousemove""},{""x"":828,""y"":400,""t"":3493,""event"":""mousemove""},{""x"":835,""y"":392,""t"":3500,""event"":""mousemove""},{""x"":842,""y"":384,""t"":3507,""event"":""mousemove""},{""x"":848,""y"":376,""t"":3514,""event"":""mousemove""},{""x"":857,""y"":366,""t"":3521,""event"":""mousemove""},{""x"":863,""y"":359,""t"":3528,""event"":""mousemove""},{""x"":871,""y"":352,""t"":3535,""event"":""mousemove""},{""x"":877,""y"":344,""t"":3542,""event"":""mousemove""},{""x"":884,""y"":338,""t"":3549,""event"":""mousemove""},{""x"":888,""y"":333,""t"":3555,""event"":""mousemove""},{""x"":893,""y"":328,""t"":3562,""event"":""mousemove""},{""x"":898,""y"":322,""t"":3569,""event"":""mousemove""},{""x"":903,""y"":317,""t"":3576,""event"":""mousemove""},{""x"":908,""y"":311,""t"":3583,""event"":""mousemove""},{""x"":913,""y"":306,""t"":3590,""event"":""mousemove""},{""x"":917,""y"":301,""t"":3597,""event"":""mousemove""},{""x"":921,""y"":296,""t"":3604,""event"":""mousemove""},{""x"":924,""y"":293,""t"":3611,""event"":""mousemove""},{""x"":928,""y"":288,""t"":3618,""event"":""mousemove""},{""x"":931,""y"":284,""t"":3625,""event"":""mousemove""},{""x"":934,""y"":281,""t"":3632,""event"":""mousemove""},{""x"":941,""y"":276,""t"":3639,""event"":""mousemove""},{""x"":944,""y"":271,""t"":3646,""event"":""mousemove""},{""x"":948,""y"":268,""t"":3653,""event"":""mousemove""},{""x"":952,""y"":265,""t"":3660,""event"":""mousemove""},{""x"":955,""y"":262,""t"":3667,""event"":""mousemove""},{""x"":958,""y"":260,""t"":3673,""event"":""mousemove""},{""x"":960,""y"":256,""t"":3680,""event"":""mousemove""},{""x"":964,""y"":253,""t"":3687,""event"":""mousemove""},{""x"":967,""y"":249,""t"":3694,""event"":""mousemove""},{""x"":971,""y"":246,""t"":3701,""event"":""mousemove""},{""x"":975,""y"":241,""t"":3708,""event"":""mousemove""},{""x"":978,""y"":237,""t"":3716,""event"":""mousemove""},{""x"":980,""y"":234,""t"":3722,""event"":""mousemove""},{""x"":982,""y"":232,""t"":3729,""event"":""mousemove""},{""x"":984,""y"":229,""t"":3736,""event"":""mousemove""},{""x"":987,""y"":227,""t"":3743,""event"":""mousemove""},{""x"":989,""y"":224,""t"":3750,""event"":""mousemove""},{""x"":992,""y"":222,""t"":3757,""event"":""mousemove""},{""x"":993,""y"":221,""t"":3764,""event"":""mousemove""},{""x"":995,""y"":218,""t"":3771,""event"":""mousemove""},{""x"":998,""y"":217,""t"":3778,""event"":""mousemove""},{""x"":1000,""y"":216,""t"":3785,""event"":""mousemove""},{""x"":1002,""y"":214,""t"":3792,""event"":""mousemove""},{""x"":1004,""y"":212,""t"":3799,""event"":""mousemove""},{""x"":1006,""y"":212,""t"":3805,""event"":""mousemove""},{""x"":1007,""y"":211,""t"":3827,""event"":""mousemove""},{""x"":1008,""y"":210,""t"":3847,""event"":""mousemove""},{""x"":1009,""y"":210,""t"":3853,""event"":""mousemove""},{""x"":1010,""y"":209,""t"":3860,""event"":""mousemove""},{""x"":1011,""y"":208,""t"":3867,""event"":""mousemove""},{""x"":1012,""y"":206,""t"":3874,""event"":""mousemove""},{""x"":1013,""y"":205,""t"":3880,""event"":""mousemove""},{""x"":1014,""y"":202,""t"":3888,""event"":""mousemove""},{""x"":1016,""y"":200,""t"":3895,""event"":""mousemove""},{""x"":1018,""y"":197,""t"":3902,""event"":""mousemove""},{""x"":1019,""y"":194,""t"":3908,""event"":""mousemove""},{""x"":1020,""y"":192,""t"":3916,""event"":""mousemove""},{""x"":1022,""y"":188,""t"":3924,""event"":""mousemove""},{""x"":1023,""y"":186,""t"":3929,""event"":""mousemove""},{""x"":1024,""y"":185,""t"":3937,""event"":""mousemove""},{""x"":1025,""y"":183,""t"":3943,""event"":""mousemove""},{""x"":1026,""y"":180,""t"":3950,""event"":""mousemove""},{""x"":1027,""y"":178,""t"":3957,""event"":""mousemove""},{""x"":1028,""y"":177,""t"":3964,""event"":""mousemove""},{""x"":1028,""y"":175,""t"":3971,""event"":""mousemove""},{""x"":1030,""y"":174,""t"":3978,""event"":""mousemove""},{""x"":1030,""y"":173,""t"":3984,""event"":""mousemove""},{""x"":1031,""y"":172,""t"":3992,""event"":""mousemove""},{""x"":1031,""y"":171,""t"":3999,""event"":""mousemove""},{""x"":1031,""y"":170,""t"":4007,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":138,""y"":58,""width"":1004,""height"":604,""top"":58,""right"":1142,""bottom"":662,""left"":138}}","false","true"
"","847","html-button-response","8","10654","0.0-4.0-3.1-0.1","","","Please make your decision more quickly.","0","","","","","","","","","",""
"","638","html-button-response","9","11293","0.0-4.0-0.2","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","",""
