"mt_id","xpos","ypos","timestamps","rt","correct","response","correct_response","button_order","stimulus"
1,650,547,535,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,654,541,541,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,660,532,548,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,666,522,555,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,673,514,561,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,684,500,568,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,699,483,575,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,710,466,582,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,721,454,589,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,732,440,596,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,748,424,603,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,762,407,610,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,784,386,617,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,807,362,624,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,822,347,631,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,836,332,638,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,850,320,645,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,861,310,652,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,871,300,658,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,881,290,666,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,890,281,672,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,900,270,679,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,909,262,686,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,918,252,694,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,925,244,700,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,932,238,708,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,938,232,714,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,942,227,721,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,948,222,728,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,951,220,735,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,954,216,742,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,958,213,749,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,960,210,756,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,964,207,763,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,966,205,770,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,969,203,777,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,970,202,784,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,972,200,791,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,974,199,797,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,975,197,804,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,977,195,811,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,978,194,818,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,980,192,825,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,981,190,832,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,982,189,839,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,983,188,846,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,984,186,853,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,985,184,860,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,988,182,867,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,988,181,874,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,990,179,881,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,992,177,888,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,992,176,895,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,994,175,902,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,995,174,916,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,996,174,923,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,997,174,929,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,998,174,936,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,998,173,944,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,999,172,951,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1000,172,958,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1002,171,964,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1003,170,971,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1004,170,978,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1005,169,985,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1006,168,992,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
1,1007,168,1013,1124,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w5"
3,659,559,600,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,675,543,606,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,690,527,613,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,706,512,620,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,732,488,627,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,755,466,634,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,776,447,641,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,793,431,648,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,824,404,655,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,850,380,662,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,874,356,669,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,890,338,676,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,906,322,683,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,916,310,689,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,924,302,696,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,935,290,704,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,946,278,710,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,954,268,717,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,962,257,724,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,969,248,731,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,976,240,738,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,983,232,745,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,988,226,752,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,992,223,759,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,998,219,766,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1000,216,773,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1004,213,780,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1008,209,787,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1010,208,794,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1011,206,801,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1013,205,808,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1014,203,815,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1016,202,821,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1016,201,829,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1017,201,846,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1018,200,852,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1018,199,884,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1019,198,891,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1020,196,912,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1020,195,919,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1021,194,926,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1021,192,933,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1022,190,940,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1023,186,947,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1024,184,954,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1024,183,961,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1025,182,968,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1026,180,974,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1026,179,981,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1027,178,988,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1027,177,995,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1028,176,1002,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1028,175,1009,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1028,174,1016,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1029,173,1023,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1030,172,1030,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1030,171,1046,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1031,170,1054,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1032,170,1060,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
3,1032,169,1072,1197,1,"WHITE","WHITE","[""BLACK"",""WHITE""]","w1"
