"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","width","height","stimulus","response","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow"
"true","2978","fullscreen","0","4001","0.0-0.0","","","","","","","","","","","","","",""
"","","browser-check","1","4003","0.0-1.0","1280","720","","","","","","","","","","","",""
"","794","html-button-response","2","4798","0.0-2.0","","","You will be shown ???. Please ???.","0","","","","","","","","","",""
"true","","preload","3","4829","0.0-3.0","","","","","false","[]","[]","[]","","","","","",""
"","1021","html-button-response","4","5851","0.0-4.0-0.0","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button>","0","","","","","","","","","",""
"","1733","html-button-response","5","7585","0.0-4.0-1.0","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b6.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""WHITE"",""BLACK""]","[{""x"":643,""y"":556,""t"":660,""event"":""mousemove""},{""x"":642,""y"":556,""t"":668,""event"":""mousemove""},{""x"":642,""y"":555,""t"":760,""event"":""mousemove""},{""x"":643,""y"":554,""t"":778,""event"":""mousemove""},{""x"":644,""y"":554,""t"":799,""event"":""mousemove""},{""x"":644,""y"":553,""t"":913,""event"":""mousemove""},{""x"":644,""y"":552,""t"":918,""event"":""mousemove""},{""x"":645,""y"":552,""t"":926,""event"":""mousemove""},{""x"":645,""y"":551,""t"":931,""event"":""mousemove""},{""x"":646,""y"":550,""t"":938,""event"":""mousemove""},{""x"":647,""y"":549,""t"":948,""event"":""mousemove""},{""x"":648,""y"":548,""t"":954,""event"":""mousemove""},{""x"":649,""y"":547,""t"":963,""event"":""mousemove""},{""x"":650,""y"":546,""t"":966,""event"":""mousemove""},{""x"":652,""y"":545,""t"":972,""event"":""mousemove""},{""x"":654,""y"":542,""t"":979,""event"":""mousemove""},{""x"":657,""y"":538,""t"":986,""event"":""mousemove""},{""x"":660,""y"":534,""t"":994,""event"":""mousemove""},{""x"":666,""y"":528,""t"":1000,""event"":""mousemove""},{""x"":672,""y"":522,""t"":1007,""event"":""mousemove""},{""x"":680,""y"":516,""t"":1015,""event"":""mousemove""},{""x"":685,""y"":511,""t"":1021,""event"":""mousemove""},{""x"":691,""y"":506,""t"":1028,""event"":""mousemove""},{""x"":697,""y"":500,""t"":1035,""event"":""mousemove""},{""x"":702,""y"":496,""t"":1042,""event"":""mousemove""},{""x"":710,""y"":490,""t"":1048,""event"":""mousemove""},{""x"":717,""y"":484,""t"":1056,""event"":""mousemove""},{""x"":725,""y"":478,""t"":1064,""event"":""mousemove""},{""x"":731,""y"":473,""t"":1069,""event"":""mousemove""},{""x"":739,""y"":466,""t"":1076,""event"":""mousemove""},{""x"":748,""y"":458,""t"":1084,""event"":""mousemove""},{""x"":760,""y"":446,""t"":1091,""event"":""mousemove""},{""x"":770,""y"":437,""t"":1097,""event"":""mousemove""},{""x"":776,""y"":430,""t"":1104,""event"":""mousemove""},{""x"":792,""y"":415,""t"":1111,""event"":""mousemove""},{""x"":805,""y"":402,""t"":1119,""event"":""mousemove""},{""x"":814,""y"":394,""t"":1125,""event"":""mousemove""},{""x"":826,""y"":382,""t"":1132,""event"":""mousemove""},{""x"":836,""y"":372,""t"":1139,""event"":""mousemove""},{""x"":850,""y"":360,""t"":1147,""event"":""mousemove""},{""x"":858,""y"":352,""t"":1153,""event"":""mousemove""},{""x"":868,""y"":343,""t"":1160,""event"":""mousemove""},{""x"":878,""y"":334,""t"":1167,""event"":""mousemove""},{""x"":889,""y"":323,""t"":1174,""event"":""mousemove""},{""x"":895,""y"":318,""t"":1180,""event"":""mousemove""},{""x"":906,""y"":306,""t"":1188,""event"":""mousemove""},{""x"":915,""y"":296,""t"":1195,""event"":""mousemove""},{""x"":922,""y"":288,""t"":1202,""event"":""mousemove""},{""x"":929,""y"":280,""t"":1208,""event"":""mousemove""},{""x"":937,""y"":270,""t"":1215,""event"":""mousemove""},{""x"":944,""y"":262,""t"":1222,""event"":""mousemove""},{""x"":953,""y"":250,""t"":1230,""event"":""mousemove""},{""x"":960,""y"":242,""t"":1236,""event"":""mousemove""},{""x"":965,""y"":237,""t"":1244,""event"":""mousemove""},{""x"":974,""y"":228,""t"":1251,""event"":""mousemove""},{""x"":980,""y"":222,""t"":1257,""event"":""mousemove""},{""x"":985,""y"":216,""t"":1264,""event"":""mousemove""},{""x"":990,""y"":210,""t"":1272,""event"":""mousemove""},{""x"":994,""y"":206,""t"":1278,""event"":""mousemove""},{""x"":998,""y"":202,""t"":1286,""event"":""mousemove""},{""x"":1000,""y"":200,""t"":1292,""event"":""mousemove""},{""x"":1002,""y"":197,""t"":1298,""event"":""mousemove""},{""x"":1004,""y"":195,""t"":1306,""event"":""mousemove""},{""x"":1007,""y"":193,""t"":1312,""event"":""mousemove""},{""x"":1009,""y"":190,""t"":1320,""event"":""mousemove""},{""x"":1011,""y"":188,""t"":1326,""event"":""mousemove""},{""x"":1014,""y"":186,""t"":1333,""event"":""mousemove""},{""x"":1016,""y"":184,""t"":1340,""event"":""mousemove""},{""x"":1018,""y"":182,""t"":1347,""event"":""mousemove""},{""x"":1019,""y"":180,""t"":1354,""event"":""mousemove""},{""x"":1020,""y"":180,""t"":1362,""event"":""mousemove""},{""x"":1020,""y"":179,""t"":1372,""event"":""mousemove""},{""x"":1021,""y"":179,""t"":1457,""event"":""mousemove""},{""x"":1021,""y"":178,""t"":1459,""event"":""mousemove""},{""x"":1022,""y"":178,""t"":1465,""event"":""mousemove""},{""x"":1022,""y"":177,""t"":1473,""event"":""mousemove""},{""x"":1022,""y"":176,""t"":1486,""event"":""mousemove""},{""x"":1023,""y"":175,""t"":1494,""event"":""mousemove""},{""x"":1023,""y"":174,""t"":1500,""event"":""mousemove""},{""x"":1024,""y"":174,""t"":1507,""event"":""mousemove""},{""x"":1024,""y"":172,""t"":1515,""event"":""mousemove""},{""x"":1025,""y"":172,""t"":1521,""event"":""mousemove""},{""x"":1026,""y"":170,""t"":1528,""event"":""mousemove""},{""x"":1026,""y"":169,""t"":1535,""event"":""mousemove""},{""x"":1027,""y"":168,""t"":1542,""event"":""mousemove""},{""x"":1028,""y"":167,""t"":1549,""event"":""mousemove""},{""x"":1028,""y"":166,""t"":1557,""event"":""mousemove""},{""x"":1028,""y"":166,""t"":1669,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":138,""y"":58,""width"":1004,""height"":604,""top"":58,""right"":1142,""bottom"":662,""left"":138}}","false","false"
"","687","html-button-response","6","8273","0.0-4.0-0.1","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button>","0","","","","","","","","","",""
"","1318","html-button-response","7","9592","0.0-4.0-1.1","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b5.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","mouseTrackQuestion","[""WHITE"",""BLACK""]","[{""x"":646,""y"":555,""t"":706,""event"":""mousemove""},{""x"":646,""y"":554,""t"":710,""event"":""mousemove""},{""x"":646,""y"":553,""t"":717,""event"":""mousemove""},{""x"":646,""y"":551,""t"":724,""event"":""mousemove""},{""x"":645,""y"":546,""t"":731,""event"":""mousemove""},{""x"":644,""y"":542,""t"":738,""event"":""mousemove""},{""x"":642,""y"":538,""t"":744,""event"":""mousemove""},{""x"":639,""y"":531,""t"":752,""event"":""mousemove""},{""x"":633,""y"":522,""t"":760,""event"":""mousemove""},{""x"":629,""y"":517,""t"":765,""event"":""mousemove""},{""x"":622,""y"":508,""t"":772,""event"":""mousemove""},{""x"":611,""y"":496,""t"":780,""event"":""mousemove""},{""x"":602,""y"":486,""t"":787,""event"":""mousemove""},{""x"":592,""y"":476,""t"":793,""event"":""mousemove""},{""x"":576,""y"":462,""t"":800,""event"":""mousemove""},{""x"":558,""y"":445,""t"":808,""event"":""mousemove""},{""x"":544,""y"":433,""t"":814,""event"":""mousemove""},{""x"":526,""y"":414,""t"":822,""event"":""mousemove""},{""x"":510,""y"":398,""t"":829,""event"":""mousemove""},{""x"":496,""y"":384,""t"":835,""event"":""mousemove""},{""x"":483,""y"":370,""t"":842,""event"":""mousemove""},{""x"":470,""y"":357,""t"":848,""event"":""mousemove""},{""x"":456,""y"":342,""t"":855,""event"":""mousemove""},{""x"":440,""y"":326,""t"":863,""event"":""mousemove""},{""x"":426,""y"":315,""t"":870,""event"":""mousemove""},{""x"":414,""y"":305,""t"":876,""event"":""mousemove""},{""x"":400,""y"":294,""t"":884,""event"":""mousemove""},{""x"":390,""y"":285,""t"":891,""event"":""mousemove""},{""x"":384,""y"":280,""t"":897,""event"":""mousemove""},{""x"":376,""y"":271,""t"":904,""event"":""mousemove""},{""x"":370,""y"":265,""t"":911,""event"":""mousemove""},{""x"":362,""y"":257,""t"":919,""event"":""mousemove""},{""x"":354,""y"":248,""t"":926,""event"":""mousemove""},{""x"":349,""y"":243,""t"":932,""event"":""mousemove""},{""x"":345,""y"":238,""t"":939,""event"":""mousemove""},{""x"":340,""y"":232,""t"":946,""event"":""mousemove""},{""x"":333,""y"":224,""t"":953,""event"":""mousemove""},{""x"":329,""y"":220,""t"":960,""event"":""mousemove""},{""x"":323,""y"":214,""t"":967,""event"":""mousemove""},{""x"":316,""y"":208,""t"":975,""event"":""mousemove""},{""x"":308,""y"":203,""t"":981,""event"":""mousemove""},{""x"":303,""y"":199,""t"":988,""event"":""mousemove""},{""x"":296,""y"":195,""t"":995,""event"":""mousemove""},{""x"":292,""y"":192,""t"":1001,""event"":""mousemove""},{""x"":285,""y"":188,""t"":1009,""event"":""mousemove""},{""x"":282,""y"":185,""t"":1015,""event"":""mousemove""},{""x"":277,""y"":182,""t"":1023,""event"":""mousemove""},{""x"":274,""y"":179,""t"":1030,""event"":""mousemove""},{""x"":270,""y"":177,""t"":1037,""event"":""mousemove""},{""x"":267,""y"":174,""t"":1043,""event"":""mousemove""},{""x"":264,""y"":172,""t"":1050,""event"":""mousemove""},{""x"":260,""y"":170,""t"":1057,""event"":""mousemove""},{""x"":258,""y"":168,""t"":1064,""event"":""mousemove""},{""x"":256,""y"":167,""t"":1071,""event"":""mousemove""},{""x"":253,""y"":166,""t"":1078,""event"":""mousemove""},{""x"":251,""y"":164,""t"":1085,""event"":""mousemove""},{""x"":250,""y"":164,""t"":1093,""event"":""mousemove""},{""x"":249,""y"":162,""t"":1099,""event"":""mousemove""},{""x"":248,""y"":162,""t"":1105,""event"":""mousemove""},{""x"":246,""y"":161,""t"":1113,""event"":""mousemove""},{""x"":246,""y"":160,""t"":1120,""event"":""mousemove""},{""x"":245,""y"":160,""t"":1127,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":138,""y"":58,""width"":1004,""height"":604,""top"":58,""right"":1142,""bottom"":662,""left"":138}}","false","false"
"","610","html-button-response","8","10203","0.0-4.0-0.2","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 400px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button>","0","","","","","","","","","",""
"","1464","html-button-response","9","11668","0.0-4.0-1.2","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 1000px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","mouseTrackQuestion","[""WHITE"",""BLACK""]","[{""x"":643,""y"":561,""t"":811,""event"":""mousemove""},{""x"":643,""y"":560,""t"":815,""event"":""mousemove""},{""x"":644,""y"":560,""t"":822,""event"":""mousemove""},{""x"":644,""y"":557,""t"":829,""event"":""mousemove""},{""x"":646,""y"":554,""t"":835,""event"":""mousemove""},{""x"":650,""y"":550,""t"":842,""event"":""mousemove""},{""x"":654,""y"":544,""t"":849,""event"":""mousemove""},{""x"":659,""y"":537,""t"":857,""event"":""mousemove""},{""x"":666,""y"":529,""t"":864,""event"":""mousemove""},{""x"":672,""y"":521,""t"":870,""event"":""mousemove""},{""x"":680,""y"":513,""t"":877,""event"":""mousemove""},{""x"":691,""y"":502,""t"":885,""event"":""mousemove""},{""x"":701,""y"":491,""t"":892,""event"":""mousemove""},{""x"":712,""y"":480,""t"":899,""event"":""mousemove""},{""x"":722,""y"":470,""t"":905,""event"":""mousemove""},{""x"":732,""y"":459,""t"":913,""event"":""mousemove""},{""x"":740,""y"":452,""t"":919,""event"":""mousemove""},{""x"":754,""y"":436,""t"":927,""event"":""mousemove""},{""x"":763,""y"":426,""t"":935,""event"":""mousemove""},{""x"":775,""y"":414,""t"":940,""event"":""mousemove""},{""x"":791,""y"":397,""t"":948,""event"":""mousemove""},{""x"":801,""y"":387,""t"":954,""event"":""mousemove""},{""x"":814,""y"":374,""t"":962,""event"":""mousemove""},{""x"":827,""y"":362,""t"":969,""event"":""mousemove""},{""x"":836,""y"":353,""t"":976,""event"":""mousemove""},{""x"":842,""y"":346,""t"":982,""event"":""mousemove""},{""x"":851,""y"":337,""t"":989,""event"":""mousemove""},{""x"":860,""y"":326,""t"":996,""event"":""mousemove""},{""x"":868,""y"":318,""t"":1003,""event"":""mousemove""},{""x"":876,""y"":309,""t"":1009,""event"":""mousemove""},{""x"":886,""y"":299,""t"":1017,""event"":""mousemove""},{""x"":894,""y"":290,""t"":1023,""event"":""mousemove""},{""x"":902,""y"":282,""t"":1030,""event"":""mousemove""},{""x"":911,""y"":272,""t"":1037,""event"":""mousemove""},{""x"":918,""y"":266,""t"":1045,""event"":""mousemove""},{""x"":923,""y"":260,""t"":1051,""event"":""mousemove""},{""x"":931,""y"":252,""t"":1059,""event"":""mousemove""},{""x"":935,""y"":248,""t"":1065,""event"":""mousemove""},{""x"":940,""y"":242,""t"":1072,""event"":""mousemove""},{""x"":945,""y"":236,""t"":1079,""event"":""mousemove""},{""x"":949,""y"":232,""t"":1085,""event"":""mousemove""},{""x"":954,""y"":225,""t"":1093,""event"":""mousemove""},{""x"":959,""y"":220,""t"":1100,""event"":""mousemove""},{""x"":963,""y"":215,""t"":1107,""event"":""mousemove""},{""x"":966,""y"":212,""t"":1113,""event"":""mousemove""},{""x"":970,""y"":210,""t"":1121,""event"":""mousemove""},{""x"":972,""y"":207,""t"":1129,""event"":""mousemove""},{""x"":975,""y"":205,""t"":1135,""event"":""mousemove""},{""x"":976,""y"":203,""t"":1141,""event"":""mousemove""},{""x"":979,""y"":201,""t"":1148,""event"":""mousemove""},{""x"":982,""y"":198,""t"":1155,""event"":""mousemove""},{""x"":985,""y"":196,""t"":1162,""event"":""mousemove""},{""x"":988,""y"":194,""t"":1169,""event"":""mousemove""},{""x"":992,""y"":191,""t"":1177,""event"":""mousemove""},{""x"":995,""y"":188,""t"":1183,""event"":""mousemove""},{""x"":998,""y"":185,""t"":1190,""event"":""mousemove""},{""x"":1000,""y"":183,""t"":1197,""event"":""mousemove""},{""x"":1002,""y"":180,""t"":1204,""event"":""mousemove""},{""x"":1004,""y"":178,""t"":1212,""event"":""mousemove""},{""x"":1006,""y"":176,""t"":1218,""event"":""mousemove""},{""x"":1008,""y"":174,""t"":1225,""event"":""mousemove""},{""x"":1008,""y"":173,""t"":1231,""event"":""mousemove""},{""x"":1010,""y"":171,""t"":1238,""event"":""mousemove""},{""x"":1011,""y"":170,""t"":1246,""event"":""mousemove""},{""x"":1012,""y"":169,""t"":1252,""event"":""mousemove""},{""x"":1012,""y"":168,""t"":1259,""event"":""mousemove""},{""x"":1013,""y"":168,""t"":1267,""event"":""mousemove""},{""x"":1014,""y"":167,""t"":1273,""event"":""mousemove""},{""x"":1015,""y"":166,""t"":1280,""event"":""mousemove""},{""x"":1016,""y"":165,""t"":1287,""event"":""mousemove""},{""x"":1017,""y"":164,""t"":1295,""event"":""mousemove""},{""x"":1018,""y"":163,""t"":1301,""event"":""mousemove""},{""x"":1019,""y"":162,""t"":1308,""event"":""mousemove""},{""x"":1020,""y"":162,""t"":1315,""event"":""mousemove""},{""x"":1020,""y"":161,""t"":1322,""event"":""mousemove""},{""x"":1021,""y"":160,""t"":1329,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":138,""y"":58,""width"":1004,""height"":604,""top"":58,""right"":1142,""bottom"":662,""left"":138}}","false","false"
