"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1259","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6272","0.0-1.0","5001","{""Q0"":""5edeb6bc0fb0721619b474d0""}","","","","",""
"","","","","","survey-multi-choice","2","9241","0.0-2.0","2965","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","19816","0.0-3.0","10570","","","[{""page_index"":0,""viewing_time"":7267},{""page_index"":1,""viewing_time"":3302}]","","",""
"","","","","","instructions","4","22664","0.0-4.0","2847","","","[{""page_index"":0,""viewing_time"":2847}]","","",""
"","","","","","instructions","5","27888","0.0-5.0","5223","","","[{""page_index"":0,""viewing_time"":1494},{""page_index"":1,""viewing_time"":2168},{""page_index"":2,""viewing_time"":1560}]","","",""
"","","","","","survey-text","6","46088","0.0-6.0","18183","{""Q0"":""Open""}","","","Defensive","",""
"","","","","","html-slider-response","7","51265","0.0-7.0","5172","5","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Open</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","8","57122","0.0-8.0","5849","{""Q0"":""Rigid""}","","","Flexible","",""
"","","","","","html-slider-response","9","59312","0.0-9.0","2187","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Rigid</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","10","66451","0.0-10.0","7127","{""Q0"":""Stoic""}","","","Emotional","",""
"","","","","","html-slider-response","11","68520","0.0-11.0","2065","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Stoic</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","12","73585","0.0-12.0","5060","{""Q0"":""Unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","13","75784","0.0-13.0","2196","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","14","86130","0.0-14.0","10338","{""Q0"":""Arrogant""}","","","Humble","",""
"","","","","","html-slider-response","15","87624","0.0-15.0","1490","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Arrogant</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","16","100144","0.0-16.0","12513","{""Q0"":""Apathetic""}","","","Enthusiastic","",""
"","","","","","html-slider-response","17","101433","0.0-17.0","1284","6","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Apathetic</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","18","106311","0.0-18.0","4873","{""Q0"":""Typical""}","","","Atypical","",""
"","","","","","html-slider-response","19","108920","0.0-19.0","2604","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","20","114672","0.0-20.0","5747","{""Q0"":""Conformist""}","","","Rebellious","",""
"","","","","","html-slider-response","21","116096","0.0-21.0","1420","7","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Conformist</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","22","120112","0.0-22.0","4008","{""Q0"":""Unhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","23","122280","0.0-23.0","2163","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
