"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1190","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4926","0.0-1.0","3733","{""Q0"":""5fee2749ad8fba1104bd0f5b""}","","","","",""
"","","","","","survey-multi-choice","2","7645","0.0-2.0","2717","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","14366","0.0-3.0","6718","","","[{""page_index"":0,""viewing_time"":4796},{""page_index"":1,""viewing_time"":1922}]","","",""
"","","","","","instructions","4","15580","0.0-4.0","1213","","","[{""page_index"":0,""viewing_time"":1213}]","","",""
"","","","","","instructions","5","21932","0.0-5.0","6351","","","[{""page_index"":0,""viewing_time"":1055},{""page_index"":1,""viewing_time"":3975},{""page_index"":2,""viewing_time"":1320}]","","",""
"","","","","","survey-text","6","30676","0.0-6.0","8739","{""Q0"":""dependent""}","","","Independent","",""
"","","","","","html-slider-response","7","34545","0.0-7.0","3867","6","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","8","42135","0.0-8.0","7588","{""Q0"":""ignorant""}","","","Intellectual","",""
"","","","","","html-slider-response","9","44429","0.0-9.0","2292","6","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ignorant</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","10","63481","0.0-10.0","19049","{""Q0"":""Impatient""}","","","Patient","",""
"","","","","","html-slider-response","11","67096","0.0-11.0","3613","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","12","70877","0.0-12.0","3780","{""Q0"":""Careless""}","","","Responsible","",""
"","","","","","html-slider-response","13","72955","0.0-13.0","2076","6","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Careless</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","14","82283","0.0-14.0","9325","{""Q0"":""Flippant""}","","","Sincere","",""
"","","","","","html-slider-response","15","84566","0.0-15.0","2282","6","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Flippant</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","16","91694","0.0-16.0","7126","{""Q0"":""Promiscuous""}","","","Prudish","",""
"","","","","","html-slider-response","17","93750","0.0-17.0","2055","6","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Promiscuous</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","18","103538","0.0-18.0","9787","{""Q0"":""Closed-Minded""}","","","Open-minded","",""
"","","","","","html-slider-response","19","106144","0.0-19.0","2605","6","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Closed-Minded</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","20","114013","0.0-20.0","7867","{""Q0"":""Kind""}","","","Mean","",""
"","","","","","html-slider-response","21","116243","0.0-21.0","2228","6","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Kind</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","22","119847","0.0-22.0","3603","{""Q0"":""Weak""}","","","Strong","",""
"","","","","","html-slider-response","23","122472","0.0-23.0","2623","6","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","24","128822","0.0-24.0","6348","{""Q0"":""Selfish""}","","","Conscientious","",""
"","","","","","html-slider-response","25","131544","0.0-25.0","2721","5","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Selfish</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","26","150186","0.0-26.0","18641","{""Q0"":""Submissive""}","","","Combative","",""
"","","","","","html-slider-response","27","152493","0.0-27.0","2305","6","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Submissive</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","28","163136","0.0-28.0","10642","{""Q0"":""Weak""}","","","Persistent","",""
"","","","","","html-slider-response","29","165162","0.0-29.0","2025","5","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","30","167791","0.0-30.0","2628","{""Q0"":""Loose""}","","","Strict","",""
"","","","","","html-slider-response","31","169227","0.0-31.0","1435","6","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Loose</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","32","188334","0.0-32.0","19105","{""Q0"":""Loving""}","","","Abusive","",""
"","","","","","html-slider-response","33","189795","0.0-33.0","1461","5","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Loving</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","34","194597","0.0-34.0","4800","{""Q0"":""Ugly""}","","","Beautiful","",""
"","","","","","html-slider-response","35","197827","0.0-35.0","3229","6","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ugly</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","36","200534","0.0-36.0","2705","{""Q0"":""Sad""}","","","Happy","",""
"","","","","","html-slider-response","37","202360","0.0-37.0","1825","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","38","205216","0.0-38.0","2854","{""Q0"":""Happy""}","","","Angry","",""
"","","","","","html-slider-response","39","207122","0.0-39.0","1905","6","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Happy</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","40","218916","0.0-40.0","11792","{""Q0"":""Bland""}","","","Charismatic","",""
"","","","","","html-slider-response","41","220755","0.0-41.0","1838","5","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Bland</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","42","225679","0.0-42.0","4922","{""Q0"":""Obedient""}","","","Rebellious","",""
