"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1014","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","5305","0.0-1.0","4286","{""Q0"":""5aebee2a9457e000010532c3""}","","","","",""
"","","","","","survey-multi-choice","2","8391","0.0-2.0","3085","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","18818","0.0-3.0","10425","","","[{""page_index"":0,""viewing_time"":7354},{""page_index"":1,""viewing_time"":3071}]","","",""
"","","","","","instructions","4","20993","0.0-4.0","2174","","","[{""page_index"":0,""viewing_time"":2174}]","","",""
"","","","","","instructions","5","27302","0.0-5.0","6309","","","[{""page_index"":0,""viewing_time"":1079},{""page_index"":1,""viewing_time"":3272},{""page_index"":2,""viewing_time"":1958}]","","",""
"","","","","","survey-text","6","43712","0.0-6.0","16405","{""Q0"":""antagonistic""}","","","Agreeable","",""
"","","","","","html-slider-response","7","49900","0.0-7.0","6186","6","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>antagonistic</strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","8","57522","0.0-8.0","7620","{""Q0"":""lenient""}","","","Strict","",""
"","","","","","html-slider-response","9","62183","0.0-9.0","4658","7","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lenient</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","10","71890","0.0-10.0","9704","{""Q0"":""dependent""}","","","Independent","",""
"","","","","","html-slider-response","11","74027","0.0-11.0","2134","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","12","82911","0.0-12.0","8881","{""Q0"":""nurturing""}","","","Abusive","",""
"","","","","","html-slider-response","13","86180","0.0-13.0","3267","6","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nurturing</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","14","92442","0.0-14.0","6258","{""Q0"":""foolish""}","","","Wise","",""
"","","","","","html-slider-response","15","95153","0.0-15.0","2709","7","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","16","115296","0.0-16.0","20140","{""Q0"":""wizened""}","","","Youthful","",""
"","","","","","html-slider-response","17","118527","0.0-17.0","3229","6","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>wizened</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","18","126163","0.0-18.0","7634","{""Q0"":""joyful""}","","","Angry","",""
"","","","","","html-slider-response","19","130601","0.0-19.0","4436","6","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>joyful</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","20","152849","0.0-20.0","22243","{""Q0"":""lacksadaisical""}","","","Ambitious","",""
"","","","","","html-slider-response","21","155614","0.0-21.0","2763","5","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lacksadaisical</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","22","175773","0.0-22.0","20155","{""Q0"":""open""}","","","Prejudiced","",""
"","","","","","html-slider-response","23","179082","0.0-23.0","3307","2","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>open</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","24","229238","0.0-24.0","50153","{""Q0"":""helpful""}","","","Critical","",""
"","","","","","html-slider-response","25","233309","0.0-25.0","4068","3","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>helpful</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","26","240920","0.0-26.0","7607","{""Q0"":""organized""}","","","Disorderly","",""
"","","","","","html-slider-response","27","244951","0.0-27.0","4029","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>organized</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","28","267325","0.0-28.0","22370","{""Q0"":""undignified""}","","","Dignified","",""
"","","","","","html-slider-response","29","271554","0.0-29.0","4227","7","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>undignified</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","30","295496","0.0-30.0","23939","{""Q0"":""withdrawn""}","","","Confident","",""
"","","","","","html-slider-response","31","298191","0.0-31.0","2693","5","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>withdrawn</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","32","304294","0.0-32.0","6101","{""Q0"":""irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","33","308524","0.0-33.0","4228","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","34","317783","0.0-34.0","9255","{""Q0"":""untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","35","319877","0.0-35.0","2092","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","36","331637","0.0-36.0","11757","{""Q0"":""unethical""}","","","Ethical","",""
"","","","","","html-slider-response","37","335950","0.0-37.0","4311","7","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unethical</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","38","340682","0.0-38.0","4728","{""Q0"":""relaxed""}","","","Anxious","",""
"","","","","","html-slider-response","39","344458","0.0-39.0","3774","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>relaxed</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","40","357229","0.0-40.0","12766","{""Q0"":""absusive""}","","","Affectionate","",""
"","","","","","html-slider-response","41","359739","0.0-41.0","2509","6","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>absusive</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","42","366418","0.0-42.0","6675","{""Q0"":""inconsistent""}","","","Consistent","",""
"","","","","","html-slider-response","43","369783","0.0-43.0","3364","7","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inconsistent</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","44","390990","0.0-44.0","21204","{""Q0"":""obtuse""}","","","Clever","",""
"","","","","","html-slider-response","45","393588","0.0-45.0","2596","5","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>obtuse</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","46","400232","0.0-46.0","6640","{""Q0"":""impractical""}","","","Practical","",""
"","","","","","html-slider-response","47","402559","0.0-47.0","2326","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","48","405631","0.0-48.0","3068","{""Q0"":""sad""}","","","Happy","",""
"","","","","","html-slider-response","49","409540","0.0-49.0","3907","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","50","418617","0.0-50.0","9072","{""Q0"":""disarming""}","","","Combative","",""
"","","","","","html-slider-response","51","421713","0.0-51.0","3094","6","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>disarming</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","52","429117","0.0-52.0","7400","{""Q0"":""unintellectual""}","","","Intellectual","",""
"","","","","","html-slider-response","53","431371","0.0-53.0","2253","7","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unintellectual</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","54","442799","0.0-54.0","11423","{""Q0"":""inarticulate""}","","","Articulate","",""
"","","","","","html-slider-response","55","445237","0.0-55.0","2436","7","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inarticulate</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","56","452690","0.0-56.0","7448","{""Q0"":""happy""}","","","Grumpy","",""
"","","","","","html-slider-response","57","456920","0.0-57.0","4228","6","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>happy</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","58","462149","0.0-58.0","5225","{""Q0"":""immature""}","","","Mature","",""
"","","","","","html-slider-response","59","464668","0.0-59.0","2517","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","60","468151","0.0-60.0","3479","{""Q0"":""nice""}","","","Mean","",""
"","","","","","html-slider-response","61","472248","0.0-61.0","4097","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","62","481646","0.0-62.0","9396","{""Q0"":""unyielding""}","","","Flexible","",""
"","","","","","html-slider-response","63","483499","0.0-63.0","1851","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unyielding</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","64","496991","0.0-64.0","13489","{""Q0"":""logical""}","","","Emotional","",""
"","","","","","html-slider-response","65","500580","0.0-65.0","3588","6","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>logical</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","66","511009","0.0-66.0","10426","{""Q0"":""unhelpful""}","","","Helpful","",""
