"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","3046","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","9754","0.0-1.0","6702","{""Q0"":""61bb387c40db417c1a138c75""}","","","","",""
"","","","","","survey-multi-choice","2","12746","0.0-2.0","2990","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","21379","0.0-3.0","8630","","","[{""page_index"":0,""viewing_time"":6423},{""page_index"":1,""viewing_time"":2205}]","","",""
"","","","","","instructions","4","23329","0.0-4.0","1948","","","[{""page_index"":0,""viewing_time"":1948}]","","",""
"","","","","","instructions","5","28426","0.0-5.0","5096","","","[{""page_index"":0,""viewing_time"":1377},{""page_index"":1,""viewing_time"":2254},{""page_index"":2,""viewing_time"":1465}]","","",""
"","","","","","survey-text","6","37871","0.0-6.0","9438","{""Q0"":""thoughtless""}","","","Thoughtful","",""
"","","","","","html-slider-response","7","51978","0.0-7.0","14104","7","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>thoughtless</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","8","70491","0.0-8.0","18510","{""Q0"":""self-confident""}","","","Self-pitying","",""
"","","","","","html-slider-response","9","75380","0.0-9.0","4886","3","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>self-confident</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","10","84133","0.0-10.0","8749","{""Q0"":""sickly""}","","","Healthy","",""
"","","","","","html-slider-response","11","87317","0.0-11.0","3182","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sickly</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","12","114296","0.0-12.0","26976","{""Q0"":""calm""}","","","Rebellious","",""
"","","","","","html-slider-response","13","117586","0.0-13.0","3288","2","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","14","123830","0.0-14.0","6240","{""Q0"":""impractical""}","","","Practical","",""
"","","","","","html-slider-response","15","126609","0.0-15.0","2777","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","16","133089","0.0-16.0","6476","{""Q0"":""observant""}","","","Unobservant","",""
"","","","","","html-slider-response","17","136840","0.0-17.0","3748","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","18","143541","0.0-18.0","6698","{""Q0"":""chill""}","","","Intense","",""
"","","","","","html-slider-response","19","146705","0.0-19.0","3162","6","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>chill</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","20","154767","0.0-20.0","8058","{""Q0"":""closed-minded""}","","","Open-minded","",""
"","","","","","html-slider-response","21","156765","0.0-21.0","1996","7","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>closed-minded</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","22","163716","0.0-22.0","6947","{""Q0"":""lazy""}","","","Energetic","",""
"","","","","","html-slider-response","23","165857","0.0-23.0","2139","6","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","24","170316","0.0-24.0","4455","{""Q0"":""sweet""}","","","Aggressive","",""
"","","","","","html-slider-response","25","172154","0.0-25.0","1836","5","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sweet</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","176312","0.0-26.0","4156","{""Q0"":""timid""}","","","Outspoken","",""
"","","","","","html-slider-response","27","178215","0.0-27.0","1901","5","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>timid</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","28","184462","0.0-28.0","6244","{""Q0"":""normal""}","","","Weird","",""
"","","","","","html-slider-response","29","186802","0.0-29.0","2338","6","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","30","203808","0.0-30.0","17002","{""Q0"":""non-traditional""}","","","Traditional","",""
"","","","","","html-slider-response","31","205376","0.0-31.0","1566","7","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>non-traditional</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","32","217682","0.0-32.0","12303","{""Q0"":""easygoing""}","","","Critical","",""
"","","","","","html-slider-response","33","219481","0.0-33.0","1797","5","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>easygoing</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
