"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","994","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","7073","0.0-1.0","6058","{""Q0"":""60fe16309d6ad9c9b5042d61""}","","","","",""
"","","","","","survey-multi-choice","2","10557","0.0-2.0","3479","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","21766","0.0-3.0","11197","","","[{""page_index"":0,""viewing_time"":6909},{""page_index"":1,""viewing_time"":4287}]","","",""
"","","","","","instructions","4","23980","0.0-4.0","2212","","","[{""page_index"":0,""viewing_time"":2211}]","","",""
"","","","","","instructions","5","29730","0.0-5.0","5748","","","[{""page_index"":0,""viewing_time"":1080},{""page_index"":1,""viewing_time"":2525},{""page_index"":2,""viewing_time"":2143}]","","",""
"","","","","","survey-text","6","47542","0.0-6.0","17787","{""Q0"":""Fake""}","","","Sincere","",""
"","","","","","html-slider-response","7","52631","0.0-7.0","5084","3","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Fake</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","8","68871","0.0-8.0","16229","{""Q0"":""intellectual""}","","","Ignorant","",""
"","","","","","html-slider-response","9","71389","0.0-9.0","2513","4","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>intellectual</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","10","121488","0.0-10.0","50091","{""Q0"":""fake""}","","","Natural","",""
"","","","","","html-slider-response","11","124511","0.0-11.0","3022","1","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>fake</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","12","133410","0.0-12.0","8891","{""Q0"":""calm""}","","","Intense","",""
"","","","","","html-slider-response","13","134743","0.0-13.0","1328","1","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","14","144317","0.0-14.0","9569","{""Q0"":""confident""}","","","Self-pitying","",""
"","","","","","html-slider-response","15","147277","0.0-15.0","2957","1","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>confident</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","16","159335","0.0-16.0","12054","{""Q0"":""Normal""}","","","Weird","",""
