"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1617","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","78290","0.0-1.0","76673","{""Q0"":""5be33a3fdd850e0001d2c600""}","","","","",""
"","","","","","survey-multi-choice","2","88467","0.0-2.0","10176","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","104973","0.0-3.0","16503","","","[{""page_index"":0,""viewing_time"":11418},{""page_index"":1,""viewing_time"":5084}]","","",""
"","","","","","instructions","4","107864","0.0-4.0","2890","","","[{""page_index"":0,""viewing_time"":2890}]","","",""
"","","","","","instructions","5","120896","0.0-5.0","13032","","","[{""page_index"":0,""viewing_time"":3977},{""page_index"":1,""viewing_time"":6063},{""page_index"":2,""viewing_time"":2992}]","","",""
"","","","","","survey-text","6","153891","0.0-6.0","32991","{""Q0"":""typical""}","","","Atypical","",""
"","","","","","html-slider-response","7","159994","0.0-7.0","6101","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","180354","0.0-8.0","20358","{""Q0"":""nice""}","","","Cruel","",""
"","","","","","html-slider-response","9","186853","0.0-9.0","6498","7","","","Cruel","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Cruel</strong> scale?</p></div>","4"
"","","","","","survey-text","10","201137","0.0-10.0","14282","{""Q0"":""dependant""}","","","Independent","",""
"","","","","","html-slider-response","11","208658","0.0-11.0","7520","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dependant</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","12","304790","0.0-12.0","96133","{""Q0"":""over confidant""}","","","Self-pitying","",""
"","","","","","html-slider-response","13","314531","0.0-13.0","9739","6","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>over confidant</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","14","359019","0.0-14.0","44488","{""Q0"":""loathing""}","","","Enthusiastic","",""
"","","","","","html-slider-response","15","365354","0.0-15.0","6334","6","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>loathing</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","16","378484","0.0-16.0","13128","{""Q0"":""sickly""}","","","Healthy","",""
"","","","","","html-slider-response","17","383744","0.0-17.0","5258","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sickly</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","18","436843","0.0-18.0","53099","{""Q0"":""ordinary""}","","","Weird","",""
"","","","","","html-slider-response","19","441704","0.0-19.0","4860","7","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ordinary</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","20","488070","0.0-20.0","46365","{""Q0"":""slob""}","","","Dignified","",""
"","","","","","html-slider-response","21","498391","0.0-21.0","10320","6","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>slob</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","22","508079","0.0-22.0","9687","{""Q0"":""passive""}","","","Combative","",""
"","","","","","html-slider-response","23","514176","0.0-23.0","6096","7","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>passive</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","24","524205","0.0-24.0","10027","{""Q0"":""impatient""}","","","Patient","",""
