"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1160","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","8301","0.0-1.0","7139","{""Q0"":""5eefd49782f2ec0f23723781""}","","","","",""
"","","","","","survey-multi-choice","2","10169","0.0-2.0","1866","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","20333","0.0-3.0","10161","","","[{""page_index"":0,""viewing_time"":7678},{""page_index"":1,""viewing_time"":2483}]","","",""
"","","","","","instructions","4","22981","0.0-4.0","2646","","","[{""page_index"":0,""viewing_time"":2646}]","","",""
"","","","","","instructions","5","158422","0.0-5.0","135439","","","[{""page_index"":0,""viewing_time"":1378},{""page_index"":1,""viewing_time"":3081},{""page_index"":2,""viewing_time"":130980}]","","",""
"","","","","","survey-text","6","179683","0.0-6.0","21255","{""Q0"":""late""}","","","Punctual","",""
"","","","","","html-slider-response","7","184017","0.0-7.0","4332","6","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>late</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","8","194774","0.0-8.0","10753","{""Q0"":""thoughtless""}","","","Conscientious","",""
"","","","","","html-slider-response","9","197561","0.0-9.0","2784","6","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>thoughtless</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","205771","0.0-10.0","8205","{""Q0"":""wise""}","","","Ignorant","",""
"","","","","","html-slider-response","11","207629","0.0-11.0","1857","6","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>wise</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","12","214051","0.0-12.0","6418","{""Q0"":""selfish""}","","","Helpful","",""
"","","","","","html-slider-response","13","215793","0.0-13.0","1739","5","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>selfish</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","14","221329","0.0-14.0","5533","{""Q0"":""rational""}","","","Emotional","",""
"","","","","","html-slider-response","15","223401","0.0-15.0","2070","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>rational</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","16","231202","0.0-16.0","7799","{""Q0"":""selfless""}","","","Bossy","",""
"","","","","","html-slider-response","17","232985","0.0-17.0","1782","5","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>selfless</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","18","237178","0.0-18.0","4189","{""Q0"":""typical""}","","","Atypical","",""
"","","","","","html-slider-response","19","238781","0.0-19.0","1601","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","20","244471","0.0-20.0","5685","{""Q0"":""stoic""}","","","Sensitive","",""
"","","","","","html-slider-response","21","246453","0.0-21.0","1982","6","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stoic</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","22","251234","0.0-22.0","4778","{""Q0"":""braggart""}","","","Humble","",""
"","","","","","html-slider-response","23","253565","0.0-23.0","2329","7","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>braggart</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","24","260526","0.0-24.0","6957","{""Q0"":""open""}","","","Defensive","",""
"","","","","","html-slider-response","25","262117","0.0-25.0","1590","5","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>open</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","268657","0.0-26.0","6536","{""Q0"":""ignorant""}","","","Well-educated","",""
"","","","","","html-slider-response","27","270312","0.0-27.0","1654","7","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ignorant</strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","28","281558","0.0-28.0","11241","{""Q0"":""anxious""}","","","Easygoing","",""
"","","","","","html-slider-response","29","284336","0.0-29.0","2776","5","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>anxious</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","30","288966","0.0-30.0","4625","{""Q0"":""boring""}","","","Charismatic","",""
"","","","","","html-slider-response","31","290601","0.0-31.0","1633","6","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>boring</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","32","294878","0.0-32.0","4273","{""Q0"":""cowardly""}","","","Courageous","",""
