"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1299","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","9754","0.0-1.0","8450","{""Q0"":""5ba8f4f59287240001e1fff3""}","","","","",""
"","","","","","survey-multi-choice","2","13218","0.0-2.0","3462","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","20578","0.0-3.0","7356","","","[{""page_index"":0,""viewing_time"":5206},{""page_index"":1,""viewing_time"":2151}]","","",""
"","","","","","instructions","4","22184","0.0-4.0","1605","","","[{""page_index"":0,""viewing_time"":1605}]","","",""
"","","","","","instructions","5","26801","0.0-5.0","4616","","","[{""page_index"":0,""viewing_time"":1269},{""page_index"":1,""viewing_time"":1957},{""page_index"":2,""viewing_time"":1390}]","","",""
"","","","","","survey-text","6","38349","0.0-6.0","11537","{""Q0"":""nontraditional""}","","","Traditional","",""
"","","","","","html-slider-response","7","48468","0.0-7.0","10117","6","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nontraditional</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","8","57155","0.0-8.0","8683","{""Q0"":""fake""}","","","Sincere","",""
"","","","","","html-slider-response","9","60089","0.0-9.0","2932","7","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>fake</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","10","67233","0.0-10.0","7141","{""Q0"":""Calm""}","","","Anxious","",""
"","","","","","html-slider-response","11","69648","0.0-11.0","2414","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Calm</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","12","81248","0.0-12.0","11597","{""Q0"":""Masculine""}","","","Feminine","",""
"","","","","","html-slider-response","13","83469","0.0-13.0","2220","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","14","90996","0.0-14.0","7524","{""Q0"":""dull""}","","","Charismatic","",""
"","","","","","html-slider-response","15","93316","0.0-15.0","2319","5","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dull</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","16","100403","0.0-16.0","7084","{""Q0"":""Supportive""}","","","Abusive","",""
"","","","","","html-slider-response","17","103687","0.0-17.0","3283","2","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Supportive</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","18","111837","0.0-18.0","8146","{""Q0"":""Atheistic ""}","","","Religious","",""
"","","","","","html-slider-response","19","114455","0.0-19.0","2617","7","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Atheistic </strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","20","123703","0.0-20.0","9245","{""Q0"":""Sad""}","","","Happy","",""
"","","","","","html-slider-response","21","126165","0.0-21.0","2461","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","22","144359","0.0-22.0","18192","{""Q0"":""Antagonistic""}","","","Helpful","",""
"","","","","","html-slider-response","23","147705","0.0-23.0","3345","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Antagonistic</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","24","152698","0.0-24.0","4991","{""Q0"":""Shy""}","","","Outspoken","",""
"","","","","","html-slider-response","25","156400","0.0-25.0","3700","6","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Shy</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","26","162648","0.0-26.0","6245","{""Q0"":""Cheerful""}","","","Grumpy","",""
"","","","","","html-slider-response","27","168713","0.0-27.0","6065","4","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cheerful</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","28","175005","0.0-28.0","6290","{""Q0"":""Careless""}","","","Careful","",""
"","","","","","html-slider-response","29","178986","0.0-29.0","3979","7","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Careless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","30","186290","0.0-30.0","7302","{""Q0"":""Erratic""}","","","Consistent","",""
"","","","","","html-slider-response","31","189956","0.0-31.0","3665","6","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Erratic</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","32","210987","0.0-32.0","21028","{""Q0"":""Unbothered""}","","","Angry","",""
"","","","","","html-slider-response","33","213347","0.0-33.0","2359","5","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unbothered</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","34","229697","0.0-34.0","16348","{""Q0"":""unethical""}","","","Ethical","",""
"","","","","","html-slider-response","35","234725","0.0-35.0","5026","3","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unethical</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","36","291240","0.0-36.0","56513","{""Q0"":""Dull""}","","","Intense","",""
"","","","","","html-slider-response","37","293725","0.0-37.0","2483","6","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dull</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","38","318871","0.0-38.0","25144","{""Q0"":""Inarticulate""}","","","Articulate","",""
"","","","","","html-slider-response","39","320608","0.0-39.0","1736","1","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inarticulate</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","40","330151","0.0-40.0","9541","{""Q0"":""unreasonable""}","","","Reasonable","",""
"","","","","","html-slider-response","41","332115","0.0-41.0","1962","2","","","Reasonable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unreasonable</strong> is a good fit for the opposite side of the <strong>Reasonable</strong> scale?</p></div>","4"
"","","","","","survey-text","42","336994","0.0-42.0","4876","{""Q0"":""Fair""}","","","Prejudiced","",""
"","","","","","html-slider-response","43","339320","0.0-43.0","2325","6","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Fair</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","44","343718","0.0-44.0","4396","{""Q0"":""Educated""}","","","Ignorant","",""
"","","","","","html-slider-response","45","345693","0.0-45.0","1974","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Educated</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","46","356046","0.0-46.0","10351","{""Q0"":""Dumb""}","","","Clever","",""
"","","","","","html-slider-response","47","358525","0.0-47.0","2477","6","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dumb</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","48","366970","0.0-48.0","8442","{""Q0"":""Shy""}","","","Confident","",""
"","","","","","html-slider-response","49","368884","0.0-49.0","1909","5","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Shy</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","50","383395","0.0-50.0","14509","{""Q0"":""Uninhibited""}","","","Prudish","",""
"","","","","","html-slider-response","51","385741","0.0-51.0","2344","5","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uninhibited</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","52","392002","0.0-52.0","6259","{""Q0"":""Base""}","","","Dignified","",""
"","","","","","html-slider-response","53","395318","0.0-53.0","3315","1","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Base</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","54","401413","0.0-54.0","6093","{""Q0"":""Passive""}","","","Aggressive","",""
"","","","","","html-slider-response","55","403305","0.0-55.0","1890","6","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","56","453858","0.0-56.0","50551","{""Q0"":""Demotivated""}","","","Persistent","",""
"","","","","","html-slider-response","57","455799","0.0-57.0","1939","1","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Demotivated</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","58","462347","0.0-58.0","6547","{""Q0"":""Selfish""}","","","Thoughtful","",""
"","","","","","html-slider-response","59","463891","0.0-59.0","1542","5","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Selfish</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","60","482356","0.0-60.0","18463","{""Q0"":""Conventional""}","","","Creative","",""
"","","","","","html-slider-response","61","486402","0.0-61.0","4045","6","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Conventional</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","62","496701","0.0-62.0","10296","{""Q0"":""Peaceful""}","","","Combative","",""
"","","","","","html-slider-response","63","499675","0.0-63.0","2973","6","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Peaceful</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","64","511566","0.0-64.0","11889","{""Q0"":""Late""}","","","Punctual","",""
"","","","","","html-slider-response","65","514254","0.0-65.0","2687","7","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Late</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","66","519706","0.0-66.0","5449","{""Q0"":""Incompetent""}","","","Competent","",""
"","","","","","html-slider-response","67","521613","0.0-67.0","1907","7","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Incompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","68","524355","0.0-68.0","2739","{""Q0"":""Weak""}","","","Strong","",""
"","","","","","html-slider-response","69","526702","0.0-69.0","2346","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","70","531944","0.0-70.0","5240","{""Q0"":""Loner""}","","","Sociable","",""
"","","","","","html-slider-response","71","534048","0.0-71.0","2103","7","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Loner</strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
"","","","","","survey-text","72","542808","0.0-72.0","8757","{""Q0"":""Unemotional""}","","","Emotional","",""
"","","","","","html-slider-response","73","544546","0.0-73.0","1737","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unemotional</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","74","553764","0.0-74.0","9216","{""Q0"":""Immature ""}","","","Mature","",""
"","","","","","html-slider-response","75","555406","0.0-75.0","1641","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Immature </strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","76","559141","0.0-76.0","3732","{""Q0"":""Normal""}","","","Weird","",""
"","","","","","html-slider-response","77","561042","0.0-77.0","1900","7","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","78","567940","0.0-78.0","6897","{""Q0"":""Uplifting""}","","","Condescending","",""
"","","","","","html-slider-response","79","570463","0.0-79.0","2521","5","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uplifting</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","80","576276","0.0-80.0","5811","{""Q0"":""Uptight""}","","","Easygoing","",""
"","","","","","html-slider-response","81","578616","0.0-81.0","2339","7","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uptight</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","82","587421","0.0-82.0","8803","{""Q0"":""Humble""}","","","Ambitious","",""
"","","","","","html-slider-response","83","589476","0.0-83.0","2053","3","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Humble</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","84","595558","0.0-84.0","6080","{""Q0"":""Average""}","","","Atypical","",""
"","","","","","html-slider-response","85","598526","0.0-85.0","2967","5","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Average</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","86","612492","0.0-86.0","13963","{""Q0"":""Obedient ""}","","","Rebellious","",""
"","","","","","html-slider-response","87","614634","0.0-87.0","2141","3","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Obedient </strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","88","629003","0.0-88.0","14367","{""Q0"":""Unattached""}","","","Determined","",""
"","","","","","html-slider-response","89","631703","0.0-89.0","2698","1","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unattached</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","90","637017","0.0-90.0","5311","{""Q0"":""Rigid""}","","","Flexible","",""
"","","","","","html-slider-response","91","638834","0.0-91.0","1817","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Rigid</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","92","656351","0.0-92.0","17514","{""Q0"":""Proud""}","","","Humble","",""
