"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1766","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6324","0.0-1.0","4546","{""Q0"":""5ecf52cd61786437829c527f""}","","","","",""
"","","","","","survey-multi-choice","2","8536","0.0-2.0","2208","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","14033","0.0-3.0","5491","","","[{""page_index"":0,""viewing_time"":3204},{""page_index"":1,""viewing_time"":2286}]","","",""
"","","","","","instructions","4","15545","0.0-4.0","1511","","","[{""page_index"":0,""viewing_time"":1511}]","","",""
"","","","","","instructions","5","22614","0.0-5.0","7067","","","[{""page_index"":0,""viewing_time"":942},{""page_index"":1,""viewing_time"":4703},{""page_index"":2,""viewing_time"":1421}]","","",""
"","","","","","survey-text","6","33873","0.0-6.0","11210","{""Q0"":""Typical""}","","","Atypical","",""
"","","","","","html-slider-response","7","38055","0.0-7.0","4174","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","54050","0.0-8.0","15988","{""Q0"":""Calm""}","","","Aggressive","",""
"","","","","","html-slider-response","9","60544","0.0-9.0","6472","5","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Calm</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","10","72578","0.0-10.0","12026","{""Q0"":""High-Strung""}","","","Easygoing","",""
"","","","","","html-slider-response","11","75967","0.0-11.0","3386","6","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>High-Strung</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","12","94511","0.0-12.0","18536","{""Q0"":""Uncertain""}","","","Confident","",""
"","","","","","html-slider-response","13","97533","0.0-13.0","3019","5","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uncertain</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","14","106014","0.0-14.0","8475","{""Q0"":""Self-Assured""}","","","Self-critical","",""
"","","","","","html-slider-response","15","111345","0.0-15.0","5326","6","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Self-Assured</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","16","121057","0.0-16.0","9705","{""Q0"":""Irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","17","124155","0.0-17.0","3096","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","18","183086","0.0-18.0","58930","{""Q0"":""Mature""}","","","Youthful","",""
"","","","","","html-slider-response","19","187721","0.0-19.0","4632","4","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Mature</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","20","197687","0.0-20.0","9959","{""Q0"":""Sad""}","","","Happy","",""
"","","","","","html-slider-response","21","201027","0.0-21.0","3337","3","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","22","211190","0.0-22.0","10155","{""Q0"":""Unbiased""}","","","Prejudiced","",""
"","","","","","html-slider-response","23","216223","0.0-23.0","5031","4","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unbiased</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","24","225117","0.0-24.0","8888","{""Q0"":""Joyful""}","","","Grumpy","",""
"","","","","","html-slider-response","25","227664","0.0-25.0","2542","5","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Joyful</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","26","233520","0.0-26.0","5850","{""Q0"":""Tardy""}","","","Punctual","",""
"","","","","","html-slider-response","27","240122","0.0-27.0","6599","7","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Tardy</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","28","254882","0.0-28.0","14737","{""Q0"":""Complacent""}","","","Defensive","",""
"","","","","","html-slider-response","29","257405","0.0-29.0","2520","5","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Complacent</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","30","263191","0.0-30.0","5755","{""Q0"":""Dependent""}","","","Independent","",""
