"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","577","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4165","0.0-1.0","3585","{""Q0"":""5f2f6bd965964e35e20c7445""}","","","","",""
"","","","","","survey-multi-choice","2","6299","0.0-2.0","2132","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","14355","0.0-3.0","8054","","","[{""page_index"":0,""viewing_time"":5318},{""page_index"":1,""viewing_time"":2736}]","","",""
"","","","","","instructions","4","16739","0.0-4.0","2382","","","[{""page_index"":0,""viewing_time"":2382}]","","",""
"","","","","","instructions","5","22275","0.0-5.0","5536","","","[{""page_index"":0,""viewing_time"":900},{""page_index"":1,""viewing_time"":2818},{""page_index"":2,""viewing_time"":1818}]","","",""
"","","","","","survey-text","6","45593","0.0-6.0","23313","{""Q0"":""dumb""}","","","Clever","",""
"","","","","","html-slider-response","7","52264","0.0-7.0","6669","7","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dumb</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","8","59737","0.0-8.0","7471","{""Q0"":""nice""}","","","Mean","",""
"","","","","","html-slider-response","9","62821","0.0-9.0","3083","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","10","72697","0.0-10.0","9872","{""Q0"":""cold""}","","","Affectionate","",""
"","","","","","html-slider-response","11","75598","0.0-11.0","2899","7","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>cold</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","12","91443","0.0-12.0","15842","{""Q0"":""emotionless""}","","","Emotional","",""
"","","","","","html-slider-response","13","93895","0.0-13.0","2451","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>emotionless</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","14","141945","0.0-14.0","48048","{""Q0"":""lazy""}","","","Helpful","",""
"","","","","","html-slider-response","15","145265","0.0-15.0","3318","1","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","16","155689","0.0-16.0","10423","{""Q0"":""kind""}","","","Cruel","",""
"","","","","","html-slider-response","17","157657","0.0-17.0","1966","7","","","Cruel","<div style=""width:500px;""> <p>How strongly do you feel that <strong>kind</strong> is a good fit for the opposite side of the <strong>Cruel</strong> scale?</p></div>","4"
"","","","","","survey-text","18","165746","0.0-18.0","8088","{""Q0"":""confident""}","","","Self-pitying","",""
"","","","","","html-slider-response","19","168147","0.0-19.0","2399","7","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>confident</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","20","173420","0.0-20.0","5270","{""Q0"":""unsure""}","","","Determined","",""
"","","","","","html-slider-response","21","179340","0.0-21.0","5919","5","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unsure</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","22","202573","0.0-22.0","23231","{""Q0"":""unenthusiastic""}","","","Enthusiastic","",""
"","","","","","html-slider-response","23","204658","0.0-23.0","2084","7","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unenthusiastic</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","24","223722","0.0-24.0","19062","{""Q0"":""unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","25","225605","0.0-25.0","1882","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","26","231210","0.0-26.0","5603","{""Q0"":""organized""}","","","Disorderly","",""
"","","","","","html-slider-response","27","233628","0.0-27.0","2417","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>organized</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","28","239233","0.0-28.0","5601","{""Q0"":""lazy""}","","","Ambitious","",""
