"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1145","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","5395","0.0-1.0","4247","{""Q0"":""60ff83da6b1bee23abb427a4""}","","","","",""
"","","","","","survey-multi-choice","2","7962","0.0-2.0","2565","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","15878","0.0-3.0","7914","","","[{""page_index"":0,""viewing_time"":4597},{""page_index"":1,""viewing_time"":3317}]","","",""
"","","","","","instructions","4","17961","0.0-4.0","2082","","","[{""page_index"":0,""viewing_time"":2082}]","","",""
"","","","","","instructions","5","22895","0.0-5.0","4934","","","[{""page_index"":0,""viewing_time"":1133},{""page_index"":1,""viewing_time"":2450},{""page_index"":2,""viewing_time"":1351}]","","",""
"","","","","","survey-text","6","68828","0.0-6.0","45929","{""Q0"":""useable""}","","","Practical","",""
"","","","","","html-slider-response","7","73429","0.0-7.0","4599","3","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>useable</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","102195","0.0-8.0","28764","{""Q0"":""strict ""}","","","Easygoing","",""
"","","","","","html-slider-response","9","105545","0.0-9.0","3349","5","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>strict </strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","10","126962","0.0-10.0","21415","{""Q0"":""ominous ""}","","","Optimistic","",""
"","","","","","html-slider-response","11","130362","0.0-11.0","3399","4","","","Optimistic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ominous </strong> is a good fit for the opposite side of the <strong>Optimistic</strong> scale?</p></div>","4"
"","","","","","survey-text","12","142595","0.0-12.0","12231","{""Q0"":""Unresponsible ""}","","","Responsible","",""
"","","","","","html-slider-response","13","145696","0.0-13.0","3099","6","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unresponsible </strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","14","155129","0.0-14.0","9432","{""Q0"":""non patient""}","","","Patient","",""
"","","","","","html-slider-response","15","158329","0.0-15.0","3199","6","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>non patient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","16","186113","0.0-16.0","27782","{""Q0"":""welcoming ""}","","","Jealous","",""
