"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1231","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","5427","0.0-1.0","4185","{""Q0"":""610c9e945c4af8ed996a046b""}","","","","",""
"","","","","","survey-multi-choice","2","7486","0.0-2.0","2055","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","20828","0.0-3.0","13336","","","[{""page_index"":0,""viewing_time"":10632},{""page_index"":1,""viewing_time"":2704}]","","",""
"","","","","","instructions","4","23249","0.0-4.0","2420","","","[{""page_index"":0,""viewing_time"":2420}]","","",""
"","","","","","instructions","5","30228","0.0-5.0","6978","","","[{""page_index"":0,""viewing_time"":1042},{""page_index"":1,""viewing_time"":2848},{""page_index"":2,""viewing_time"":3088}]","","",""
"","","","","","survey-text","6","58379","0.0-6.0","28140","{""Q0"":""unethical ""}","","","Ethical","",""
"","","","","","html-slider-response","7","62709","0.0-7.0","4326","7","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unethical </strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","104607","0.0-8.0","41893","{""Q0"":""lazy""}","","","Determined","",""
"","","","","","html-slider-response","9","109287","0.0-9.0","4677","3","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","10","127992","0.0-10.0","18693","{""Q0"":""bland ""}","","","Creative","",""
"","","","","","html-slider-response","11","130766","0.0-11.0","2771","5","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>bland </strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","12","146928","0.0-12.0","16155","{""Q0"":""simple""}","","","Wise","",""
"","","","","","html-slider-response","13","150375","0.0-13.0","3444","4","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>simple</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","14","226432","0.0-14.0","76053","{""Q0"":""inclusive""}","","","Prejudiced","",""
"","","","","","html-slider-response","15","230137","0.0-15.0","3703","6","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>inclusive</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","16","237453","0.0-16.0","7310","{""Q0"":""quiet""}","","","Outspoken","",""
"","","","","","html-slider-response","17","239604","0.0-17.0","2155","3","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>quiet</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","18","327892","0.0-18.0","88278","{""Q0"":""interested""}","","","Passive","",""
"","","","","","html-slider-response","19","330609","0.0-19.0","2714","3","","","Passive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>interested</strong> is a good fit for the opposite side of the <strong>Passive</strong> scale?</p></div>","4"
"","","","","","survey-text","20","357458","0.0-20.0","26844","{""Q0"":""dull""}","","","Charismatic","",""
"","","","","","html-slider-response","21","359982","0.0-21.0","2527","7","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dull</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","22","387866","0.0-22.0","27878","{""Q0"":""unhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","23","389681","0.0-23.0","1811","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","24","431367","0.0-24.0","41677","{""Q0"":""uninterested ""}","","","Enthusiastic","",""
"","","","","","html-slider-response","25","433823","0.0-25.0","2454","5","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uninterested </strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","26","467706","0.0-26.0","33879","{""Q0"":""foolish""}","","","Clever","",""
"","","","","","html-slider-response","27","469856","0.0-27.0","2148","5","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>foolish</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","28","491638","0.0-28.0","21778","{""Q0"":""lazy""}","","","Energetic","",""
"","","","","","html-slider-response","29","493844","0.0-29.0","2204","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","30","512126","0.0-30.0","18278","{""Q0"":""dependent ""}","","","Independent","",""
"","","","","","html-slider-response","31","513872","0.0-31.0","1743","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dependent </strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","32","552914","0.0-32.0","39039","{""Q0"":""pretentious ""}","","","Humble","",""
"","","","","","html-slider-response","33","554895","0.0-33.0","1978","7","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>pretentious </strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","34","592700","0.0-34.0","37790","{""Q0"":""careless""}","","","Thoughtful","",""
"","","","","","html-slider-response","35","595528","0.0-35.0","2825","5","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>careless</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","36","624339","0.0-36.0","28807","{""Q0"":""fearful""}","","","Courageous","",""
"","","","","","html-slider-response","37","625867","0.0-37.0","1526","4","","","Courageous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>fearful</strong> is a good fit for the opposite side of the <strong>Courageous</strong> scale?</p></div>","4"
"","","","","","survey-text","38","664864","0.0-38.0","38989","{""Q0"":""unreasonable""}","","","Reasonable","",""
"","","","","","html-slider-response","39","667738","0.0-39.0","2871","7","","","Reasonable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unreasonable</strong> is a good fit for the opposite side of the <strong>Reasonable</strong> scale?</p></div>","4"
"","","","","","survey-text","40","687275","0.0-40.0","19532","{""Q0"":""respectful ""}","","","Abusive","",""
"","","","","","html-slider-response","41","691482","0.0-41.0","4204","7","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>respectful </strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","42","708733","0.0-42.0","17246","{""Q0"":""happy""}","","","Angry","",""
"","","","","","html-slider-response","43","711793","0.0-43.0","3057","6","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>happy</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","44","721625","0.0-44.0","9830","{""Q0"":""uneducated ""}","","","Well-educated","",""
"","","","","","html-slider-response","45","723209","0.0-45.0","1581","7","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uneducated </strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","46","749665","0.0-46.0","26451","{""Q0"":""lazy""}","","","Ambitious","",""
"","","","","","html-slider-response","47","751536","0.0-47.0","1868","5","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","48","768370","0.0-48.0","16819","{""Q0"":""uncritical ""}","","","Critical","",""
"","","","","","html-slider-response","49","770002","0.0-49.0","1630","7","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncritical </strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","50","778794","0.0-50.0","8788","{""Q0"":""untrustworthy ""}","","","Trustworthy","",""
"","","","","","html-slider-response","51","780421","0.0-51.0","1623","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untrustworthy </strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","52","816869","0.0-52.0","36444","{""Q0"":""kind""}","","","Manipulative","",""
"","","","","","html-slider-response","53","819282","0.0-53.0","2410","3","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>kind</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","54","826959","0.0-54.0","7673","{""Q0"":""impatient ""}","","","Patient","",""
"","","","","","html-slider-response","55","828768","0.0-55.0","1806","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impatient </strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","56","870919","0.0-56.0","42145","{""Q0"":""egotistical ""}","","","Self-critical","",""
"","","","","","html-slider-response","57","873146","0.0-57.0","2225","6","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>egotistical </strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","58","879325","0.0-58.0","6175","{""Q0"":""nice""}","","","Mean","",""
"","","","","","html-slider-response","59","881212","0.0-59.0","1884","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nice</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","60","913196","0.0-60.0","31980","{""Q0"":""unconfident ""}","","","Confident","",""
"","","","","","html-slider-response","61","914962","0.0-61.0","1764","7","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unconfident </strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","62","921461","0.0-62.0","6494","{""Q0"":""peaceful ""}","","","Combative","",""
"","","","","","html-slider-response","63","923881","0.0-63.0","2418","7","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>peaceful </strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","64","942438","0.0-64.0","18553","{""Q0"":""irresponsible ""}","","","Responsible","",""
"","","","","","html-slider-response","65","944376","0.0-65.0","1935","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible </strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","66","960761","0.0-66.0","16382","{""Q0"":""humble""}","","","Condescending","",""
"","","","","","html-slider-response","67","963422","0.0-67.0","2659","6","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>humble</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","68","967681","0.0-68.0","4253","{""Q0"":""happy""}","","","Grumpy","",""
"","","","","","html-slider-response","69","969423","0.0-69.0","1739","7","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>happy</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","70","988398","0.0-70.0","18970","{""Q0"":""flippant ""}","","","Conscientious","",""
"","","","","","html-slider-response","71","990635","0.0-71.0","2234","6","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>flippant </strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","72","1004986","0.0-72.0","14348","{""Q0"":""easygoing""}","","","Strict","",""
"","","","","","html-slider-response","73","1006781","0.0-73.0","1792","7","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>easygoing</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","74","1034222","0.0-74.0","27438","{""Q0"":""offensive ""}","","","Defensive","",""
"","","","","","html-slider-response","75","1037310","0.0-75.0","3085","4","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>offensive </strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","76","1041608","0.0-76.0","4294","{""Q0"":""normal""}","","","Atypical","",""
"","","","","","html-slider-response","77","1043147","0.0-77.0","1537","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>normal</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","78","1046883","0.0-78.0","3732","{""Q0"":""weak""}","","","Strong","",""
"","","","","","html-slider-response","79","1048444","0.0-79.0","1558","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","80","1052158","0.0-80.0","3711","{""Q0"":""shy""}","","","Sociable","",""
"","","","","","html-slider-response","81","1053783","0.0-81.0","1623","7","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>shy</strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
"","","","","","survey-text","82","1064215","0.0-82.0","10429","{""Q0"":""confident ""}","","","Self-pitying","",""
"","","","","","html-slider-response","83","1065826","0.0-83.0","1608","7","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>confident </strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","84","1084548","0.0-84.0","18718","{""Q0"":""calm""}","","","Emotional","",""
"","","","","","html-slider-response","85","1086158","0.0-85.0","1608","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","86","1101912","0.0-86.0","15749","{""Q0"":""undignified ""}","","","Dignified","",""
"","","","","","html-slider-response","87","1104118","0.0-87.0","2201","7","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>undignified </strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","88","1110372","0.0-88.0","6247","{""Q0"":""masculine ""}","","","Feminine","",""
"","","","","","html-slider-response","89","1112232","0.0-89.0","1858","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>masculine </strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","90","1117196","0.0-90.0","4960","{""Q0"":""disagreeable ""}","","","Agreeable","",""
"","","","","","html-slider-response","91","1119248","0.0-91.0","2049","7","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>disagreeable </strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","92","1127190","0.0-92.0","7938","{""Q0"":""incompetent ""}","","","Competent","",""
