"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1667","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","8000","0.0-1.0","6320","{""Q0"":""63cc88cff0f86e1bdec22290""}","","","","",""
"","","","","","survey-multi-choice","2","14767","0.0-2.0","6765","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","34535","0.0-3.0","19762","","","[{""page_index"":0,""viewing_time"":13313},{""page_index"":1,""viewing_time"":6447}]","","",""
"","","","","","instructions","4","40327","0.0-4.0","5791","","","[{""page_index"":0,""viewing_time"":5790}]","","",""
"","","","","","instructions","5","53614","0.0-5.0","13287","","","[{""page_index"":0,""viewing_time"":2926},{""page_index"":1,""viewing_time"":6496},{""page_index"":2,""viewing_time"":3864}]","","",""
"","","","","","survey-text","6","86079","0.0-6.0","32434","{""Q0"":""unsociable""}","","","Sociable","",""
"","","","","","html-slider-response","7","96782","0.0-7.0","10700","5","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unsociable</strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
"","","","","","survey-text","8","119446","0.0-8.0","22655","{""Q0"":""quite""}","","","Outspoken","",""
"","","","","","html-slider-response","9","127461","0.0-9.0","8012","6","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>quite</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","10","150029","0.0-10.0","22554","{""Q0"":""closed minded""}","","","Open-minded","",""
"","","","","","html-slider-response","11","153877","0.0-11.0","3846","5","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>closed minded</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","12","186222","0.0-12.0","32335","{""Q0"":""easy""}","","","Strict","",""
"","","","","","html-slider-response","13","197718","0.0-13.0","11493","5","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>easy</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","14","224917","0.0-14.0","27193","{""Q0"":""shy""}","","","Bossy","",""
"","","","","","html-slider-response","15","228717","0.0-15.0","3798","4","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>shy</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","16","245845","0.0-16.0","17121","{""Q0"":""dull""}","","","Intense","",""
"","","","","","html-slider-response","17","250805","0.0-17.0","4957","5","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dull</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","18","264221","0.0-18.0","13409","{""Q0"":""unethical""}","","","Ethical","",""
"","","","","","html-slider-response","19","267972","0.0-19.0","3749","6","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unethical</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","20","277637","0.0-20.0","9657","{""Q0"":""late""}","","","Punctual","",""
