"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","2474","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","10620","0.0-1.0","8140","{""Q0"":""6298d2ace7d7094c8d904e82""}","","","","",""
"","","","","","survey-multi-choice","2","12944","0.0-2.0","2321","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","24501","0.0-3.0","11553","","","[{""page_index"":0,""viewing_time"":7498},{""page_index"":1,""viewing_time"":4055}]","","",""
"","","","","","instructions","4","26521","0.0-4.0","2019","","","[{""page_index"":0,""viewing_time"":2019}]","","",""
"","","","","","instructions","5","31939","0.0-5.0","5418","","","[{""page_index"":0,""viewing_time"":1442},{""page_index"":1,""viewing_time"":2477},{""page_index"":2,""viewing_time"":1499}]","","",""
"","","","","","survey-text","6","45746","0.0-6.0","13797","{""Q0"":""Cowardly""}","","","Courageous","",""
"","","","","","html-slider-response","7","50676","0.0-7.0","4923","7","","","Courageous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cowardly</strong> is a good fit for the opposite side of the <strong>Courageous</strong> scale?</p></div>","4"
"","","","","","survey-text","8","72529","0.0-8.0","21849","{""Q0"":""Hardened""}","","","Sensitive","",""
"","","","","","html-slider-response","9","76225","0.0-9.0","3694","5","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Hardened</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","10","86005","0.0-10.0","9775","{""Q0"":""Lax""}","","","Intense","",""
"","","","","","html-slider-response","11","88167","0.0-11.0","2154","6","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lax</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","12","96365","0.0-12.0","8192","{""Q0"":""Happy""}","","","Grumpy","",""
"","","","","","html-slider-response","13","99525","0.0-13.0","3158","6","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Happy</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","14","114167","0.0-14.0","14637","{""Q0"":""Promiscuous""}","","","Prudish","",""
"","","","","","html-slider-response","15","116074","0.0-15.0","1900","5","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Promiscuous</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","16","132473","0.0-16.0","16394","{""Q0"":""Destructive""}","","","Creative","",""
"","","","","","html-slider-response","17","135055","0.0-17.0","2580","7","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Destructive</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","18","142199","0.0-18.0","7141","{""Q0"":""Artificial""}","","","Natural","",""
"","","","","","html-slider-response","19","148214","0.0-19.0","6013","7","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Artificial</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","20","153013","0.0-20.0","4796","{""Q0"":""Lax""}","","","Strict","",""
"","","","","","html-slider-response","21","155673","0.0-21.0","2656","5","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lax</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","22","167031","0.0-22.0","11355","{""Q0"":""Passive""}","","","Manipulative","",""
"","","","","","html-slider-response","23","173483","0.0-23.0","6449","4","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","24","179098","0.0-24.0","5612","{""Q0"":""Placid""}","","","Angry","",""
"","","","","","html-slider-response","25","181230","0.0-25.0","2128","5","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Placid</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","26","187631","0.0-26.0","6399","{""Q0"":""Aged""}","","","Youthful","",""
"","","","","","html-slider-response","27","189523","0.0-27.0","1890","6","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Aged</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","28","194968","0.0-28.0","5441","{""Q0"":""Stoic""}","","","Emotional","",""
"","","","","","html-slider-response","29","199822","0.0-29.0","4852","6","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Stoic</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","30","207907","0.0-30.0","8081","{""Q0"":""Flippant""}","","","Serious","",""
"","","","","","html-slider-response","31","211815","0.0-31.0","3907","4","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Flippant</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","32","224458","0.0-32.0","12639","{""Q0"":""Conventional""}","","","Weird","",""
"","","","","","html-slider-response","33","226575","0.0-33.0","2115","5","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Conventional</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","34","231473","0.0-34.0","4894","{""Q0"":""Masculine""}","","","Feminine","",""
"","","","","","html-slider-response","35","233685","0.0-35.0","2211","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","36","251515","0.0-36.0","17825","{""Q0"":""Useless""}","","","Practical","",""
"","","","","","html-slider-response","37","253245","0.0-37.0","1725","5","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Useless</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
