"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1171","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","14591","0.0-1.0","13414","{""Q0"":""5834a80a106ee1000120abd3""}","","","","",""
"","","","","","survey-multi-choice","2","17306","0.0-2.0","2714","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","53454","0.0-3.0","36146","","","[{""page_index"":0,""viewing_time"":32781},{""page_index"":1,""viewing_time"":3364}]","","",""
"","","","","","instructions","4","55952","0.0-4.0","2497","","","[{""page_index"":0,""viewing_time"":2497}]","","",""
"","","","","","instructions","5","64112","0.0-5.0","8160","","","[{""page_index"":0,""viewing_time"":1877},{""page_index"":1,""viewing_time"":4236},{""page_index"":2,""viewing_time"":2046}]","","",""
"","","","","","survey-text","6","112722","0.0-6.0","48604","{""Q0"":""Unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","7","122042","0.0-7.0","9318","6","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","8","154904","0.0-8.0","32860","{""Q0"":""Unethical""}","","","Ethical","",""
"","","","","","html-slider-response","9","158602","0.0-9.0","3697","6","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unethical</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","10","169692","0.0-10.0","11088","{""Q0"":""Dependent""}","","","Independent","",""
"","","","","","html-slider-response","11","173234","0.0-11.0","3540","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","12","221912","0.0-12.0","48676","{""Q0"":""Unconfident""}","","","Confident","",""
"","","","","","html-slider-response","13","225227","0.0-13.0","3315","5","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unconfident</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","14","305054","0.0-14.0","79824","{""Q0"":""Ignorant""}","","","Intellectual","",""
"","","","","","html-slider-response","15","309547","0.0-15.0","4493","3","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ignorant</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","16","335237","0.0-16.0","25688","{""Q0"":""Foolish""}","","","Wise","",""
"","","","","","html-slider-response","17","338989","0.0-17.0","3750","5","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","18","374141","0.0-18.0","35150","{""Q0"":""Selfish""}","","","Thoughtful","",""
"","","","","","html-slider-response","19","383540","0.0-19.0","9399","4","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Selfish</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","20","393659","0.0-20.0","10117","{""Q0"":""Inconsistent""}","","","Consistent","",""
"","","","","","html-slider-response","21","396212","0.0-21.0","2552","7","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inconsistent</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","22","448859","0.0-22.0","52644","{""Q0"":""Cold""}","","","Affectionate","",""
"","","","","","html-slider-response","23","456490","0.0-23.0","7631","5","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cold</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","24","505402","0.0-24.0","48910","{""Q0"":""Restrained""}","","","Compulsive","",""
"","","","","","html-slider-response","25","512478","0.0-25.0","7075","4","","","Compulsive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Restrained</strong> is a good fit for the opposite side of the <strong>Compulsive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","534500","0.0-26.0","22019","{""Q0"":""Passive""}","","","Combative","",""
"","","","","","html-slider-response","27","538432","0.0-27.0","3931","6","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","28","568704","0.0-28.0","30270","{""Q0"":""Uninspired""}","","","Creative","",""
"","","","","","html-slider-response","29","573982","0.0-29.0","5277","4","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uninspired</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","30","598288","0.0-30.0","24304","{""Q0"":""Relaxed""}","","","Intense","",""
"","","","","","html-slider-response","31","603662","0.0-31.0","5372","5","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Relaxed</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","32","627680","0.0-32.0","24016","{""Q0"":""Contrived""}","","","Natural","",""
"","","","","","html-slider-response","33","643480","0.0-33.0","15799","5","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Contrived</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","34","655116","0.0-34.0","11634","{""Q0"":""Impatient""}","","","Patient","",""
"","","","","","html-slider-response","35","658270","0.0-35.0","3153","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","36","671544","0.0-36.0","13273","{""Q0"":""Cowardly""}","","","Courageous","",""
"","","","","","html-slider-response","37","675156","0.0-37.0","3611","5","","","Courageous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cowardly</strong> is a good fit for the opposite side of the <strong>Courageous</strong> scale?</p></div>","4"
"","","","","","survey-text","38","683886","0.0-38.0","8728","{""Q0"":""Insincere""}","","","Sincere","",""
"","","","","","html-slider-response","39","687023","0.0-39.0","3136","7","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Insincere</strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
"","","","","","survey-text","40","760650","0.0-40.0","73624","{""Q0"":""Flexible""}","","","Traditional","",""
"","","","","","html-slider-response","41","764177","0.0-41.0","3527","3","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Flexible</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","42","773905","0.0-42.0","9726","{""Q0"":""Typical""}","","","Atypical","",""
"","","","","","html-slider-response","43","778275","0.0-43.0","4369","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Typical</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","44","806025","0.0-44.0","27748","{""Q0"":""Resilient""}","","","Self-pitying","",""
"","","","","","html-slider-response","45","809327","0.0-45.0","3301","5","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Resilient</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","46","823561","0.0-46.0","14232","{""Q0"":""Insensitive""}","","","Sensitive","",""
"","","","","","html-slider-response","47","829125","0.0-47.0","5563","7","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Insensitive</strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","48","838951","0.0-48.0","9824","{""Q0"":""Educated""}","","","Ignorant","",""
"","","","","","html-slider-response","49","843265","0.0-49.0","4313","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Educated</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","50","857413","0.0-50.0","14147","{""Q0"":""Atheistic""}","","","Religious","",""
"","","","","","html-slider-response","51","861641","0.0-51.0","4227","7","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Atheistic</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","52","874891","0.0-52.0","13249","{""Q0"":""Complacent""}","","","Ambitious","",""
"","","","","","html-slider-response","53","880481","0.0-53.0","5588","6","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Complacent</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","54","948089","0.0-54.0","67606","{""Q0"":""Aphasic""}","","","Articulate","",""
"","","","","","html-slider-response","55","952333","0.0-55.0","4243","3","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Aphasic</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","56","963219","0.0-56.0","10884","{""Q0"":""Reticent""}","","","Outspoken","",""
"","","","","","html-slider-response","57","973030","0.0-57.0","9811","7","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Reticent</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","58","1022424","0.0-58.0","49392","{""Q0"":""Confident""}","","","Defensive","",""
"","","","","","html-slider-response","59","1025888","0.0-59.0","3462","3","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Confident</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","60","1036066","0.0-60.0","10177","{""Q0"":""Unhappy""}","","","Happy","",""
"","","","","","html-slider-response","61","1040076","0.0-61.0","4009","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhappy</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","62","1107960","0.0-62.0","67882","{""Q0"":""Old""}","","","Youthful","",""
"","","","","","html-slider-response","63","1111028","0.0-63.0","3067","3","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Old</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","64","1144258","0.0-64.0","33228","{""Q0"":""Tolerant""}","","","Prejudiced","",""
"","","","","","html-slider-response","65","1147232","0.0-65.0","2973","5","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Tolerant</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","66","1208744","0.0-66.0","61509","{""Q0"":""Passive""}","","","Manipulative","",""
"","","","","","html-slider-response","67","1212202","0.0-67.0","3456","3","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Passive</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","68","1225896","0.0-68.0","13693","{""Q0"":""Reckless""}","","","Careful","",""
"","","","","","html-slider-response","69","1228977","0.0-69.0","3081","5","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Reckless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","70","1238568","0.0-70.0","9589","{""Q0"":""Unattractive""}","","","Beautiful","",""
"","","","","","html-slider-response","71","1244009","0.0-71.0","5441","7","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unattractive</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","72","1252920","0.0-72.0","8909","{""Q0"":""Impractical""}","","","Practical","",""
"","","","","","html-slider-response","73","1255107","0.0-73.0","2187","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","74","1267214","0.0-74.0","12104","{""Q0"":""Obedient""}","","","Rebellious","",""
"","","","","","html-slider-response","75","1271199","0.0-75.0","3984","6","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Obedient</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","76","1341639","0.0-76.0","70438","{""Q0"":""Inconsistent""}","","","Persistent","",""
"","","","","","html-slider-response","77","1345921","0.0-77.0","4281","3","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inconsistent</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","78","1359445","0.0-78.0","13523","{""Q0"":""Uncritical""}","","","Critical","",""
"","","","","","html-slider-response","79","1362675","0.0-79.0","3229","7","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uncritical</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","80","1373709","0.0-80.0","11032","{""Q0"":""Unemotional""}","","","Emotional","",""
"","","","","","html-slider-response","81","1376231","0.0-81.0","2521","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unemotional</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","82","1397318","0.0-82.0","21086","{""Q0"":""Aggressive""}","","","Easygoing","",""
"","","","","","html-slider-response","83","1405408","0.0-83.0","8089","5","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Aggressive</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","84","1427982","0.0-84.0","22572","{""Q0"":""Simple""}","","","Clever","",""
"","","","","","html-slider-response","85","1432980","0.0-85.0","4997","4","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Simple</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","86","1445848","0.0-86.0","12866","{""Q0"":""Immature""}","","","Mature","",""
"","","","","","html-slider-response","87","1449430","0.0-87.0","3581","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","88","1459033","0.0-88.0","9601","{""Q0"":""Ignorant""}","","","Well-educated","",""
"","","","","","html-slider-response","89","1462178","0.0-89.0","3145","7","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ignorant</strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","90","1472259","0.0-90.0","10078","{""Q0"":""Irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","91","1475840","0.0-91.0","3581","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","92","1484687","0.0-92.0","8845","{""Q0"":""Orderly""}","","","Disorderly","",""
"","","","","","html-slider-response","93","1488206","0.0-93.0","3519","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Orderly</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","94","1496011","0.0-94.0","7802","{""Q0"":""Cheerful""}","","","Grumpy","",""
"","","","","","html-slider-response","95","1499490","0.0-95.0","3478","6","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cheerful</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","96","1562253","0.0-96.0","62762","{""Q0"":""Egotistical""}","","","Self-critical","",""
"","","","","","html-slider-response","97","1565359","0.0-97.0","3105","5","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Egotistical</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","98","1603398","0.0-98.0","38036","{""Q0"":""Unempathetic""}","","","Empathetic","",""
"","","","","","html-slider-response","99","1609184","0.0-99.0","5785","7","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unempathetic</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","100","1618012","0.0-100.0","8826","{""Q0"":""Disagreeable""}","","","Agreeable","",""
"","","","","","html-slider-response","101","1620956","0.0-101.0","2942","7","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Disagreeable</strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","102","1630346","0.0-102.0","9388","{""Q0"":""Incurious""}","","","Curious","",""
"","","","","","html-slider-response","103","1633047","0.0-103.0","2701","7","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Incurious</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","104","1662567","0.0-104.0","29518","{""Q0"":""Rigid""}","","","Open-minded","",""
"","","","","","html-slider-response","105","1665971","0.0-105.0","3403","5","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Rigid</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","106","1684929","0.0-106.0","18956","{""Q0"":""Bland""}","","","Charismatic","",""
