"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","92","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","2034","0.0-1.0","1938","{""Q0"":""605ff0746397c26c436b88af""}","","","","",""
"","","","","","survey-multi-choice","2","4114","0.0-2.0","2079","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","11186","0.0-3.0","7070","","","[{""page_index"":0,""viewing_time"":5166},{""page_index"":1,""viewing_time"":1904}]","","",""
"","","","","","instructions","4","12290","0.0-4.0","1103","","","[{""page_index"":0,""viewing_time"":1103}]","","",""
"","","","","","instructions","5","17650","0.0-5.0","5360","","","[{""page_index"":0,""viewing_time"":736},{""page_index"":1,""viewing_time"":2000},{""page_index"":2,""viewing_time"":2624}]","","",""
"","","","","","survey-text","6","27314","0.0-6.0","9660","{""Q0"":""Ugly""}","","","Beautiful","",""
"","","","","","html-slider-response","7","33250","0.0-7.0","5935","7","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ugly</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","8","44210","0.0-8.0","10958","{""Q0"":""Knowledgeable""}","","","Ignorant","",""
"","","","","","html-slider-response","9","46290","0.0-9.0","2079","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Knowledgeable</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","10","48587","0.0-10.0","2294","{""Q0"":""Sad""}","","","Happy","",""
"","","","","","html-slider-response","11","50362","0.0-11.0","1775","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","12","55002","0.0-12.0","4639","{""Q0"":""Calm""}","","","Angry","",""
"","","","","","html-slider-response","13","57130","0.0-13.0","2127","6","","","Angry","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Calm</strong> is a good fit for the opposite side of the <strong>Angry</strong> scale?</p></div>","4"
"","","","","","survey-text","14","61619","0.0-14.0","4487","{""Q0"":""Modern""}","","","Traditional","",""
"","","","","","html-slider-response","15","62722","0.0-15.0","1103","6","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Modern</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","16","80267","0.0-16.0","17543","{""Q0"":""Clumsy""}","","","Charismatic","",""
"","","","","","html-slider-response","17","82570","0.0-17.0","2303","5","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Clumsy</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","18","87459","0.0-18.0","4887","{""Q0"":""Quiet""}","","","Outspoken","",""
"","","","","","html-slider-response","19","89442","0.0-19.0","1983","6","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Quiet</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","20","98731","0.0-20.0","9287","{""Q0"":""Lenient ""}","","","Strict","",""
"","","","","","html-slider-response","21","100314","0.0-21.0","1583","7","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lenient </strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","22","109242","0.0-22.0","8927","{""Q0"":""Honest""}","","","Manipulative","",""
"","","","","","html-slider-response","23","111370","0.0-23.0","2127","6","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Honest</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","24","118546","0.0-24.0","7175","{""Q0"":""Close-minded""}","","","Open-minded","",""
"","","","","","html-slider-response","25","122242","0.0-25.0","3695","7","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Close-minded</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","26","127906","0.0-26.0","5663","{""Q0"":""Pessimistic""}","","","Optimistic","",""
"","","","","","html-slider-response","27","129538","0.0-27.0","1631","7","","","Optimistic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Pessimistic</strong> is a good fit for the opposite side of the <strong>Optimistic</strong> scale?</p></div>","4"
"","","","","","survey-text","28","137674","0.0-28.0","8135","{""Q0"":""Dull""}","","","Enthusiastic","",""
"","","","","","html-slider-response","29","139250","0.0-29.0","1575","7","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dull</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","30","144594","0.0-30.0","5343","{""Q0"":""Unhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","31","145810","0.0-31.0","1215","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","32","159370","0.0-32.0","13559","{""Q0"":""Sporadic""}","","","Consistent","",""
"","","","","","html-slider-response","33","161426","0.0-33.0","2055","7","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Sporadic</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","34","170018","0.0-34.0","8591","{""Q0"":""Imcompetent""}","","","Competent","",""
"","","","","","html-slider-response","35","171850","0.0-35.0","1831","6","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Imcompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","36","178242","0.0-36.0","6391","{""Q0"":""Thoughtless""}","","","Thoughtful","",""
"","","","","","html-slider-response","37","182050","0.0-37.0","3807","6","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Thoughtless</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","38","189074","0.0-38.0","7023","{""Q0"":""Dishonest""}","","","Trustworthy","",""
"","","","","","html-slider-response","39","190258","0.0-39.0","1183","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dishonest</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","40","195618","0.0-40.0","5359","{""Q0"":""Trusting""}","","","Skeptical","",""
"","","","","","html-slider-response","41","197114","0.0-41.0","1495","7","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Trusting</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","42","232818","0.0-42.0","35703","{""Q0"":""Caring""}","","","Abusive","",""
"","","","","","html-slider-response","43","235426","0.0-43.0","2607","7","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Caring</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","44","240202","0.0-44.0","4775","{""Q0"":""Uplifting""}","","","Condescending","",""
"","","","","","html-slider-response","45","241362","0.0-45.0","1159","6","","","Condescending","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uplifting</strong> is a good fit for the opposite side of the <strong>Condescending</strong> scale?</p></div>","4"
"","","","","","survey-text","46","244787","0.0-46.0","3423","{""Q0"":""Careless""}","","","Careful","",""
"","","","","","html-slider-response","47","246090","0.0-47.0","1303","7","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Careless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","48","254938","0.0-48.0","8847","{""Q0"":""Common""}","","","Atypical","",""
"","","","","","html-slider-response","49","256394","0.0-49.0","1455","7","","","Atypical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Common</strong> is a good fit for the opposite side of the <strong>Atypical</strong> scale?</p></div>","4"
"","","","","","survey-text","50","265315","0.0-50.0","8919","{""Q0"":""Unhealthy""}","","","Healthy","",""
"","","","","","html-slider-response","51","266666","0.0-51.0","1351","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhealthy</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","52","269859","0.0-52.0","3191","{""Q0"":""Calm""}","","","Anxious","",""
"","","","","","html-slider-response","53","270954","0.0-53.0","1095","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Calm</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","54","276859","0.0-54.0","5903","{""Q0"":""Uncaring""}","","","Empathetic","",""
"","","","","","html-slider-response","55","278354","0.0-55.0","1495","6","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uncaring</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","56","283066","0.0-56.0","4711","{""Q0"":""Difficult""}","","","Easygoing","",""
"","","","","","html-slider-response","57","284474","0.0-57.0","1407","6","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Difficult</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","58","293667","0.0-58.0","9191","{""Q0"":""Synthetic""}","","","Natural","",""
"","","","","","html-slider-response","59","295570","0.0-59.0","1903","7","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Synthetic</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","60","301530","0.0-60.0","5959","{""Q0"":""Cold""}","","","Affectionate","",""
"","","","","","html-slider-response","61","302515","0.0-61.0","983","7","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cold</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","62","336123","0.0-62.0","33606","{""Q0"":""Carefree""}","","","Prudish","",""
"","","","","","html-slider-response","63","337866","0.0-63.0","1743","7","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Carefree</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","64","347259","0.0-64.0","9391","{""Q0"":""Active""}","","","Passive","",""
"","","","","","html-slider-response","65","348842","0.0-65.0","1583","7","","","Passive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Active</strong> is a good fit for the opposite side of the <strong>Passive</strong> scale?</p></div>","4"
"","","","","","survey-text","66","362067","0.0-66.0","13223","{""Q0"":""Confident""}","","","Self-pitying","",""
"","","","","","html-slider-response","67","365210","0.0-67.0","3143","7","","","Self-pitying","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Confident</strong> is a good fit for the opposite side of the <strong>Self-pitying</strong> scale?</p></div>","4"
"","","","","","survey-text","68","406907","0.0-68.0","41695","{""Q0"":""Conforming""}","","","Rebellious","",""
"","","","","","html-slider-response","69","408266","0.0-69.0","1359","7","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Conforming</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","70","412026","0.0-70.0","3759","{""Q0"":""Immature""}","","","Mature","",""
"","","","","","html-slider-response","71","413898","0.0-71.0","1871","6","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","72","435251","0.0-72.0","21351","{""Q0"":""admiring""}","","","Jealous","",""
"","","","","","html-slider-response","73","437042","0.0-73.0","1791","7","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>admiring</strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","74","444675","0.0-74.0","7631","{""Q0"":""Normal""}","","","Weird","",""
"","","","","","html-slider-response","75","446170","0.0-75.0","1495","7","","","Weird","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Normal</strong> is a good fit for the opposite side of the <strong>Weird</strong> scale?</p></div>","4"
"","","","","","survey-text","76","464227","0.0-76.0","18055","{""Q0"":""Uncreative""}","","","Creative","",""
"","","","","","html-slider-response","77","466786","0.0-77.0","2559","5","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uncreative</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","78","471827","0.0-78.0","5039","{""Q0"":""Proud""}","","","Humble","",""
"","","","","","html-slider-response","79","473123","0.0-79.0","1295","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Proud</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","80","479883","0.0-80.0","6759","{""Q0"":""Dumb""}","","","Wise","",""
"","","","","","html-slider-response","81","482499","0.0-81.0","2615","6","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dumb</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","82","505531","0.0-82.0","23031","{""Q0"":""Capitulating""}","","","Persistent","",""
"","","","","","html-slider-response","83","507475","0.0-83.0","1943","6","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Capitulating</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","84","516379","0.0-84.0","8903","{""Q0"":""Insincere""}","","","Sincere","",""
