"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","3280","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","11042","0.0-1.0","7750","{""Q0"":""5d8406ea27f4980001b3f559""}","","","","",""
"","","","","","survey-multi-choice","2","14892","0.0-2.0","3847","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","25222","0.0-3.0","10325","","","[{""page_index"":0,""viewing_time"":7270},{""page_index"":1,""viewing_time"":3054}]","","",""
"","","","","","instructions","4","28392","0.0-4.0","3168","","","[{""page_index"":0,""viewing_time"":3168}]","","",""
"","","","","","instructions","5","33945","0.0-5.0","5552","","","[{""page_index"":0,""viewing_time"":1325},{""page_index"":1,""viewing_time"":2720},{""page_index"":2,""viewing_time"":1506}]","","",""
"","","","","","survey-text","6","121562","0.0-6.0","87897","{""Q0"":""narcissistic""}","","","Humble","",""
"","","","","","html-slider-response","7","128029","0.0-7.0","6463","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>narcissistic</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","8","138973","0.0-8.0","10939","{""Q0"":""lax""}","","","Strict","",""
"","","","","","html-slider-response","9","144450","0.0-9.0","5474","5","","","Strict","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lax</strong> is a good fit for the opposite side of the <strong>Strict</strong> scale?</p></div>","4"
"","","","","","survey-text","10","167280","0.0-10.0","22825","{""Q0"":""dim""}","","","Clever","",""
"","","","","","html-slider-response","11","171905","0.0-11.0","4623","4","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dim</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","12","176385","0.0-12.0","4476","{""Q0"":""dull""}","","","Charismatic","",""
"","","","","","html-slider-response","13","179099","0.0-13.0","2910","4","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dull</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","14","203903","0.0-14.0","24799","{""Q0"":""difficult""}","","","Helpful","",""
"","","","","","html-slider-response","15","207610","0.0-15.0","3705","3","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>difficult</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","16","215376","0.0-16.0","7762","{""Q0"":""educated""}","","","Ignorant","",""
"","","","","","html-slider-response","17","220888","0.0-17.0","5509","5","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>educated</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","18","228496","0.0-18.0","7605","{""Q0"":""content""}","","","Ambitious","",""
"","","","","","html-slider-response","19","233977","0.0-19.0","5478","3","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>content</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","20","236526","0.0-20.0","2546","{""Q0"":""weak""}","","","Strong","",""
"","","","","","html-slider-response","21","240366","0.0-21.0","4038","6","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","22","263004","0.0-22.0","22634","{""Q0"":""clown""}","","","Serious","",""
"","","","","","html-slider-response","23","266442","0.0-23.0","3435","3","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>clown</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","24","271811","0.0-24.0","5366","{""Q0"":""submissive""}","","","Aggressive","",""
"","","","","","html-slider-response","25","274554","0.0-25.0","2742","7","","","Aggressive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>submissive</strong> is a good fit for the opposite side of the <strong>Aggressive</strong> scale?</p></div>","4"
"","","","","","survey-text","26","296659","0.0-26.0","22101","{""Q0"":""practical""}","","","Creative","",""
"","","","","","html-slider-response","27","301030","0.0-27.0","4568","2","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>practical</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","28","353266","0.0-28.0","52232","{""Q0"":""docile""}","","","Energetic","",""
"","","","","","html-slider-response","29","356815","0.0-29.0","3547","2","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>docile</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","30","364942","0.0-30.0","8227","{""Q0"":""ignorant""}","","","Well-educated","",""
"","","","","","html-slider-response","31","367790","0.0-31.0","2846","4","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ignorant</strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","32","376202","0.0-32.0","8409","{""Q0"":""gullible""}","","","Skeptical","",""
"","","","","","html-slider-response","33","379509","0.0-33.0","3305","5","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>gullible</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","34","388606","0.0-34.0","9095","{""Q0"":""supportive""}","","","Jealous","",""
"","","","","","html-slider-response","35","391893","0.0-35.0","3286","3","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>supportive</strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","36","399498","0.0-36.0","7600","{""Q0"":""irresponsible ""}","","","Responsible","",""
"","","","","","html-slider-response","37","401848","0.0-37.0","2348","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible </strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","38","411487","0.0-38.0","9636","{""Q0"":""contentious ""}","","","Agreeable","",""
"","","","","","html-slider-response","39","414798","0.0-39.0","3308","5","","","Agreeable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>contentious </strong> is a good fit for the opposite side of the <strong>Agreeable</strong> scale?</p></div>","4"
"","","","","","survey-text","40","447697","0.0-40.0","32895","{""Q0"":""dirty""}","","","Dignified","",""
"","","","","","html-slider-response","41","450897","0.0-41.0","3199","2","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dirty</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","42","463304","0.0-42.0","12404","{""Q0"":""crafted""}","","","Natural","",""
"","","","","","html-slider-response","43","465975","0.0-43.0","2668","2","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>crafted</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","44","479778","0.0-44.0","13800","{""Q0"":""unconventional""}","","","Traditional","",""
"","","","","","html-slider-response","45","483936","0.0-45.0","4156","5","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unconventional</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","46","489148","0.0-46.0","5209","{""Q0"":""dependent""}","","","Independent","",""
"","","","","","html-slider-response","47","493178","0.0-47.0","4030","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","48","504043","0.0-48.0","10861","{""Q0"":""agreeable""}","","","Rebellious","",""
"","","","","","html-slider-response","49","508472","0.0-49.0","4427","5","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>agreeable</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","50","512565","0.0-50.0","4089","{""Q0"":""boring""}","","","Enthusiastic","",""
"","","","","","html-slider-response","51","515363","0.0-51.0","2797","4","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>boring</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","52","521324","0.0-52.0","5957","{""Q0"":""orderly""}","","","Disorderly","",""
"","","","","","html-slider-response","53","534824","0.0-53.0","13499","5","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>orderly</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","54","545440","0.0-54.0","10612","{""Q0"":""transparent""}","","","Manipulative","",""
"","","","","","html-slider-response","55","548615","0.0-55.0","3174","4","","","Manipulative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>transparent</strong> is a good fit for the opposite side of the <strong>Manipulative</strong> scale?</p></div>","4"
"","","","","","survey-text","56","557757","0.0-56.0","9138","{""Q0"":""masculine ""}","","","Feminine","",""
"","","","","","html-slider-response","57","561784","0.0-57.0","4025","5","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>masculine </strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","58","568085","0.0-58.0","6297","{""Q0"":""impractical""}","","","Practical","",""
"","","","","","html-slider-response","59","571179","0.0-59.0","3092","5","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","60","575521","0.0-60.0","4338","{""Q0"":""agreeable""}","","","Bossy","",""
"","","","","","html-slider-response","61","578608","0.0-61.0","3086","4","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>agreeable</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","62","584521","0.0-62.0","5910","{""Q0"":""observant""}","","","Unobservant","",""
