"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1285","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4559","0.0-1.0","3270","{""Q0"":""612e8370912085e7d6783063""}","","","","",""
"","","","","","survey-multi-choice","2","6740","0.0-2.0","2179","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","16884","0.0-3.0","10142","","","[{""page_index"":0,""viewing_time"":7082},{""page_index"":1,""viewing_time"":3060}]","","",""
"","","","","","instructions","4","18472","0.0-4.0","1587","","","[{""page_index"":0,""viewing_time"":1587}]","","",""
"","","","","","instructions","5","23031","0.0-5.0","4558","","","[{""page_index"":0,""viewing_time"":1123},{""page_index"":1,""viewing_time"":1984},{""page_index"":2,""viewing_time"":1451}]","","",""
"","","","","","survey-text","6","47800","0.0-6.0","24754","{""Q0"":""uncreative""}","","","Creative","",""
"","","","","","html-slider-response","7","52137","0.0-7.0","4334","2","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncreative</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","8","61093","0.0-8.0","8953","{""Q0"":""Active""}","","","Passive","",""
"","","","","","html-slider-response","9","66718","0.0-9.0","5624","6","","","Passive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Active</strong> is a good fit for the opposite side of the <strong>Passive</strong> scale?</p></div>","4"
"","","","","","survey-text","10","101481","0.0-10.0","34761","{""Q0"":""braggy""}","","","Humble","",""
"","","","","","html-slider-response","11","104320","0.0-11.0","2837","1","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>braggy</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","12","123460","0.0-12.0","19138","{""Q0"":""incompetent""}","","","Competent","",""
"","","","","","html-slider-response","13","127850","0.0-13.0","4389","2","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>incompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","14","154470","0.0-14.0","26618","{""Q0"":""pushover""}","","","Bossy","",""
"","","","","","html-slider-response","15","156727","0.0-15.0","2256","3","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>pushover</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","16","202745","0.0-16.0","46016","{""Q0"":""calm""}","","","Anxious","",""
"","","","","","html-slider-response","17","208370","0.0-17.0","5624","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","18","216490","0.0-18.0","8118","{""Q0"":""intellegent""}","","","Ignorant","",""
"","","","","","html-slider-response","19","231665","0.0-19.0","15174","5","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>intellegent</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","20","264605","0.0-20.0","32939","{""Q0"":""deadpan""}","","","Enthusiastic","",""
"","","","","","html-slider-response","21","268354","0.0-21.0","3748","1","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>deadpan</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","22","297520","0.0-22.0","29164","{""Q0"":""untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","23","300360","0.0-23.0","2836","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","24","318942","0.0-24.0","18579","{""Q0"":""irresponsible ""}","","","Responsible","",""
"","","","","","html-slider-response","25","323917","0.0-25.0","4974","7","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible </strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","26","346506","0.0-26.0","22588","{""Q0"":""unintellectual ""}","","","Intellectual","",""
"","","","","","html-slider-response","27","351954","0.0-27.0","5446","7","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unintellectual </strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
