"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1436","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","8706","0.0-1.0","7264","{""Q0"":""62858e3a433a7a27305f1992""}","","","","",""
"","","","","","survey-multi-choice","2","13678","0.0-2.0","4968","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","47964","0.0-3.0","34283","","","[{""page_index"":0,""viewing_time"":26646},{""page_index"":1,""viewing_time"":7637}]","","",""
"","","","","","instructions","4","52521","0.0-4.0","4555","","","[{""page_index"":0,""viewing_time"":4555}]","","",""
"","","","","","instructions","5","71655","0.0-5.0","19133","","","[{""page_index"":0,""viewing_time"":7125},{""page_index"":1,""viewing_time"":7299},{""page_index"":2,""viewing_time"":4709}]","","",""
"","","","","","survey-text","6","132914","0.0-6.0","61252","{""Q0"":""unsociable""}","","","Sociable","",""
"","","","","","html-slider-response","7","147099","0.0-7.0","14182","6","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unsociable</strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
"","","","","","survey-text","8","192381","0.0-8.0","45278","{""Q0"":""feelings""}","","","Conscientious","",""
"","","","","","html-slider-response","9","198071","0.0-9.0","5688","4","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>feelings</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","250816","0.0-10.0","52741","{""Q0"":""nosey""}","","","Curious","",""
"","","","","","html-slider-response","11","255292","0.0-11.0","4474","3","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>nosey</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","12","305277","0.0-12.0","49981","{""Q0"":""positive""}","","","Critical","",""
"","","","","","html-slider-response","13","309674","0.0-13.0","4395","4","","","Critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>positive</strong> is a good fit for the opposite side of the <strong>Critical</strong> scale?</p></div>","4"
"","","","","","survey-text","14","381525","0.0-14.0","71847","{""Q0"":""sympathetic""}","","","Empathetic","",""
"","","","","","html-slider-response","15","386538","0.0-15.0","5011","5","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sympathetic</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","16","398686","0.0-16.0","12145","{""Q0"":""weak""}","","","Strong","",""
"","","","","","html-slider-response","17","410607","0.0-17.0","11919","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","18","427181","0.0-18.0","16571","{""Q0"":""kind""}","","","Mean","",""
"","","","","","html-slider-response","19","432679","0.0-19.0","5496","6","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>kind</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","20","454762","0.0-20.0","22080","{""Q0"":""cold""}","","","Humble","",""
"","","","","","html-slider-response","21","458523","0.0-21.0","3759","3","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>cold</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","22","479843","0.0-22.0","21316","{""Q0"":""lazy""}","","","Energetic","",""
"","","","","","html-slider-response","23","484202","0.0-23.0","4358","6","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","24","498897","0.0-24.0","14691","{""Q0"":""uneducated""}","","","Well-educated","",""
"","","","","","html-slider-response","25","502532","0.0-25.0","3633","7","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uneducated</strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","26","598045","0.0-26.0","95509","{""Q0"":""incompetent""}","","","Competent","",""
"","","","","","html-slider-response","27","602451","0.0-27.0","4404","7","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>incompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","28","648408","0.0-28.0","45954","{""Q0"":""dull""}","","","Charismatic","",""
"","","","","","html-slider-response","29","652733","0.0-29.0","4323","4","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dull</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","30","704186","0.0-30.0","51450","{""Q0"":""mild""}","","","Intense","",""
"","","","","","html-slider-response","31","708127","0.0-31.0","3939","4","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>mild</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","32","792182","0.0-32.0","84052","{""Q0"":""impartial""}","","","Prejudiced","",""
"","","","","","html-slider-response","33","800438","0.0-33.0","8253","5","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impartial</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","34","848060","0.0-34.0","47618","{""Q0"":""uncreative""}","","","Creative","",""
"","","","","","html-slider-response","35","857664","0.0-35.0","9602","3","","","Creative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uncreative</strong> is a good fit for the opposite side of the <strong>Creative</strong> scale?</p></div>","4"
"","","","","","survey-text","36","875542","0.0-36.0","17875","{""Q0"":""unnatural""}","","","Natural","",""
"","","","","","html-slider-response","37","879068","0.0-37.0","3524","6","","","Natural","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unnatural</strong> is a good fit for the opposite side of the <strong>Natural</strong> scale?</p></div>","4"
"","","","","","survey-text","38","928124","0.0-38.0","49051","{""Q0"":""masculine""}","","","Feminine","",""
"","","","","","html-slider-response","39","931587","0.0-39.0","3461","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","40","958154","0.0-40.0","26563","{""Q0"":""observant""}","","","Unobservant","",""
"","","","","","html-slider-response","41","971641","0.0-41.0","13485","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","42","1011067","0.0-42.0","39423","{""Q0"":""quiet""}","","","Bossy","",""
"","","","","","html-slider-response","43","1014838","0.0-43.0","3768","3","","","Bossy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>quiet</strong> is a good fit for the opposite side of the <strong>Bossy</strong> scale?</p></div>","4"
"","","","","","survey-text","44","1037939","0.0-44.0","23098","{""Q0"":""elderly""}","","","Youthful","",""
"","","","","","html-slider-response","45","1042405","0.0-45.0","4465","5","","","Youthful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>elderly</strong> is a good fit for the opposite side of the <strong>Youthful</strong> scale?</p></div>","4"
"","","","","","survey-text","46","1097796","0.0-46.0","55387","{""Q0"":""believe""}","","","Skeptical","",""
"","","","","","html-slider-response","47","1103340","0.0-47.0","5542","6","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>believe</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","48","1188538","0.0-48.0","85194","{""Q0"":""disobedient""}","","","Submissive","",""
"","","","","","html-slider-response","49","1194502","0.0-49.0","5962","6","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>disobedient</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","50","1222102","0.0-50.0","27596","{""Q0"":""irresponsible""}","","","Responsible","",""
"","","","","","html-slider-response","51","1225786","0.0-51.0","3682","6","","","Responsible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>irresponsible</strong> is a good fit for the opposite side of the <strong>Responsible</strong> scale?</p></div>","4"
"","","","","","survey-text","52","1280046","0.0-52.0","54257","{""Q0"":""untraditional""}","","","Traditional","",""
"","","","","","html-slider-response","53","1283837","0.0-53.0","3788","5","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untraditional</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","54","1331171","0.0-54.0","47330","{""Q0"":""unethical""}","","","Ethical","",""
"","","","","","html-slider-response","55","1334536","0.0-55.0","3363","7","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unethical</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","56","1440847","0.0-56.0","106308","{""Q0"":""quite""}","","","Outspoken","",""
"","","","","","html-slider-response","57","1444490","0.0-57.0","3640","5","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>quite</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","58","1542654","0.0-58.0","98159","{""Q0"":""proper""}","","","Prudish","",""
"","","","","","html-slider-response","59","1546481","0.0-59.0","3826","5","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>proper</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","60","1556590","0.0-60.0","10105","{""Q0"":""smart""}","","","Ignorant","",""
"","","","","","html-slider-response","61","1559963","0.0-61.0","3371","7","","","Ignorant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>smart</strong> is a good fit for the opposite side of the <strong>Ignorant</strong> scale?</p></div>","4"
"","","","","","survey-text","62","1578803","0.0-62.0","18837","{""Q0"":""stiff""}","","","Flexible","",""
"","","","","","html-slider-response","63","1586102","0.0-63.0","7296","4","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stiff</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","64","1604447","0.0-64.0","18341","{""Q0"":""impractical""}","","","Practical","",""
"","","","","","html-slider-response","65","1608023","0.0-65.0","3574","5","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","66","1620198","0.0-66.0","12171","{""Q0"":""unreasonable""}","","","Reasonable","",""
"","","","","","html-slider-response","67","1623765","0.0-67.0","3565","6","","","Reasonable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unreasonable</strong> is a good fit for the opposite side of the <strong>Reasonable</strong> scale?</p></div>","4"
"","","","","","survey-text","68","1634811","0.0-68.0","11042","{""Q0"":""relaxed""}","","","Anxious","",""
"","","","","","html-slider-response","69","1638324","0.0-69.0","3510","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>relaxed</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","70","1671720","0.0-70.0","33393","{""Q0"":""smart""}","","","Open-minded","",""
"","","","","","html-slider-response","71","1674964","0.0-71.0","3243","4","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>smart</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","72","1714873","0.0-72.0","39905","{""Q0"":""undignified""}","","","Dignified","",""
"","","","","","html-slider-response","73","1718548","0.0-73.0","3673","6","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>undignified</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
