"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1220","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","12740","0.0-1.0","11514","{""Q0"":""617390ea6b825a0eb8904f29""}","","","","",""
"","","","","","survey-multi-choice","2","16039","0.0-2.0","3297","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","98253","0.0-3.0","82215","","","[{""page_index"":0,""viewing_time"":76900},{""page_index"":1,""viewing_time"":5315}]","","",""
"","","","","","instructions","4","101086","0.0-4.0","2830","","","[{""page_index"":0,""viewing_time"":2830}]","","",""
"","","","","","instructions","5","109396","0.0-5.0","8307","","","[{""page_index"":0,""viewing_time"":1385},{""page_index"":1,""viewing_time"":4305},{""page_index"":2,""viewing_time"":2617}]","","",""
"","","","","","survey-text","6","136998","0.0-6.0","27596","{""Q0"":""accomodating""}","","","Abusive","",""
"","","","","","html-slider-response","7","140960","0.0-7.0","3959","3","","","Abusive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>accomodating</strong> is a good fit for the opposite side of the <strong>Abusive</strong> scale?</p></div>","4"
"","","","","","survey-text","8","147665","0.0-8.0","6701","{""Q0"":""lazy""}","","","Ambitious","",""
"","","","","","html-slider-response","9","151795","0.0-9.0","4127","6","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","168038","0.0-10.0","16240","{""Q0"":""impatient""}","","","Patient","",""
"","","","","","html-slider-response","11","173820","0.0-11.0","5781","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","12","228843","0.0-12.0","55020","{""Q0"":""uneducated""}","","","Well-educated","",""
"","","","","","html-slider-response","13","232333","0.0-13.0","3490","5","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>uneducated</strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","14","245697","0.0-14.0","13361","{""Q0"":""secretive""}","","","Charismatic","",""
