"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1220","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","10145","0.0-1.0","8922","{""Q0"":""63279085ec65a992cc521187""}","","","","",""
"","","","","","survey-multi-choice","2","12369","0.0-2.0","2223","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","44185","0.0-3.0","31814","","","[{""page_index"":0,""viewing_time"":16630},{""page_index"":1,""viewing_time"":15184}]","","",""
"","","","","","instructions","4","47481","0.0-4.0","3296","","","[{""page_index"":0,""viewing_time"":3295}]","","",""
"","","","","","instructions","5","55225","0.0-5.0","7744","","","[{""page_index"":0,""viewing_time"":1039},{""page_index"":1,""viewing_time"":4296},{""page_index"":2,""viewing_time"":2408}]","","",""
"","","","","","survey-text","6","78922","0.0-6.0","23692","{""Q0"":""immature ""}","","","Mature","",""
"","","","","","html-slider-response","7","84450","0.0-7.0","5527","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>immature </strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","8","104482","0.0-8.0","20030","{""Q0"":""submissive ""}","","","Combative","",""
"","","","","","html-slider-response","9","110105","0.0-9.0","5623","7","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>submissive </strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","10","117626","0.0-10.0","7519","{""Q0"":""untrustworthy ""}","","","Trustworthy","",""
"","","","","","html-slider-response","11","120306","0.0-11.0","2679","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untrustworthy </strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","12","126890","0.0-12.0","6583","{""Q0"":""weak""}","","","Strong","",""
"","","","","","html-slider-response","13","130042","0.0-13.0","3151","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","14","157737","0.0-14.0","27694","{""Q0"":""pessimistic ""}","","","Open-minded","",""
"","","","","","html-slider-response","15","160370","0.0-15.0","2632","6","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>pessimistic </strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","16","187362","0.0-16.0","26991","{""Q0"":""calm""}","","","Conscientious","",""
"","","","","","html-slider-response","17","191730","0.0-17.0","4367","5","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>calm</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","18","207690","0.0-18.0","15959","{""Q0"":""obedient ""}","","","Rebellious","",""
"","","","","","html-slider-response","19","210050","0.0-19.0","2359","7","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>obedient </strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","20","233834","0.0-20.0","23783","{""Q0"":""lazy ""}","","","Ambitious","",""
"","","","","","html-slider-response","21","236330","0.0-21.0","2495","7","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lazy </strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","22","245226","0.0-22.0","8895","{""Q0"":""loving""}","","","Cruel","",""
"","","","","","html-slider-response","23","247474","0.0-23.0","2247","7","","","Cruel","<div style=""width:500px;""> <p>How strongly do you feel that <strong>loving</strong> is a good fit for the opposite side of the <strong>Cruel</strong> scale?</p></div>","4"
"","","","","","survey-text","24","266010","0.0-24.0","18535","{""Q0"":""trusting ""}","","","Jealous","",""
"","","","","","html-slider-response","25","268618","0.0-25.0","2607","7","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>trusting </strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","26","278922","0.0-26.0","10303","{""Q0"":""orderly""}","","","Disorderly","",""
"","","","","","html-slider-response","27","281866","0.0-27.0","2943","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>orderly</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","28","289001","0.0-28.0","7135","{""Q0"":""antisocial ""}","","","Sociable","",""
"","","","","","html-slider-response","29","306698","0.0-29.0","17695","7","","","Sociable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>antisocial </strong> is a good fit for the opposite side of the <strong>Sociable</strong> scale?</p></div>","4"
"","","","","","survey-text","30","325618","0.0-30.0","18919","{""Q0"":""lethargic""}","","","Energetic","",""
"","","","","","html-slider-response","31","328274","0.0-31.0","2655","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lethargic</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","32","346626","0.0-32.0","18351","{""Q0"":""cold""}","","","Affectionate","",""
"","","","","","html-slider-response","33","349330","0.0-33.0","2703","7","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>cold</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","34","356730","0.0-34.0","7399","{""Q0"":""unhealthy ""}","","","Healthy","",""
"","","","","","html-slider-response","35","363825","0.0-35.0","7095","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unhealthy </strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","36","377617","0.0-36.0","13791","{""Q0"":""insincere ""}","","","Sincere","",""
"","","","","","html-slider-response","37","380785","0.0-37.0","3167","7","","","Sincere","<div style=""width:500px;""> <p>How strongly do you feel that <strong>insincere </strong> is a good fit for the opposite side of the <strong>Sincere</strong> scale?</p></div>","4"
