"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","40","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","3985","0.0-1.0","3941","{""Q0"":""648b61896bde60c2fef683a1""}","","","","",""
"","","","","","survey-multi-choice","2","5923","0.0-2.0","1935","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","7882","0.0-3.0","1956","","","[{""page_index"":0,""viewing_time"":1244},{""page_index"":1,""viewing_time"":711}]","","",""
"","","","","","instructions","4","9618","0.0-4.0","1734","","","[{""page_index"":0,""viewing_time"":1734}]","","",""
"","","","","","instructions","5","12874","0.0-5.0","3254","","","[{""page_index"":0,""viewing_time"":1734},{""page_index"":1,""viewing_time"":751},{""page_index"":2,""viewing_time"":769}]","","",""
"","","","","","survey-text","6","16690","0.0-6.0","3796","{""Q0"":""Immature""}","","","Mature","",""
"","","","","","html-slider-response","7","20774","0.0-7.0","4080","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Immature</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","8","32136","0.0-8.0","11347","{""Q0"":""Impatient""}","","","Patient","",""
"","","","","","html-slider-response","9","36384","0.0-9.0","4246","7","","","Patient","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impatient</strong> is a good fit for the opposite side of the <strong>Patient</strong> scale?</p></div>","4"
"","","","","","survey-text","10","54996","0.0-10.0","18598","{""Q0"":""Primitive""}","","","Wise","",""
"","","","","","html-slider-response","11","60429","0.0-11.0","5429","5","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Primitive</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","12","79488","0.0-12.0","19045","{""Q0"":""Uninterested""}","","","Enthusiastic","",""
"","","","","","html-slider-response","13","82452","0.0-13.0","2961","5","","","Enthusiastic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uninterested</strong> is a good fit for the opposite side of the <strong>Enthusiastic</strong> scale?</p></div>","4"
"","","","","","survey-text","14","87921","0.0-14.0","5454","{""Q0"":""Concieted""}","","","Humble","",""
"","","","","","html-slider-response","15","91636","0.0-15.0","3712","7","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Concieted</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","16","96409","0.0-16.0","4760","{""Q0"":""Unethical""}","","","Ethical","",""
"","","","","","html-slider-response","17","99300","0.0-17.0","2889","7","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unethical</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","18","106652","0.0-18.0","7339","{""Q0"":""Manipulative""}","","","Trustworthy","",""
"","","","","","html-slider-response","19","109000","0.0-19.0","2345","5","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Manipulative</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
