"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","893","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","4129","0.0-1.0","3229","{""Q0"":""5e8cf14c0bec230b335e060d""}","","","","",""
"","","","","","survey-multi-choice","2","6131","0.0-2.0","1999","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","18054","0.0-3.0","11919","","","[{""page_index"":0,""viewing_time"":9481},{""page_index"":1,""viewing_time"":2438}]","","",""
"","","","","","instructions","4","19825","0.0-4.0","1770","","","[{""page_index"":0,""viewing_time"":1770}]","","",""
"","","","","","instructions","5","25428","0.0-5.0","5603","","","[{""page_index"":0,""viewing_time"":1023},{""page_index"":1,""viewing_time"":2553},{""page_index"":2,""viewing_time"":2027}]","","",""
"","","","","","survey-text","6","39609","0.0-6.0","14174","{""Q0"":""sad""}","","","Happy","",""
"","","","","","html-slider-response","7","43620","0.0-7.0","4009","7","","","Happy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sad</strong> is a good fit for the opposite side of the <strong>Happy</strong> scale?</p></div>","4"
"","","","","","survey-text","8","69351","0.0-8.0","25728","{""Q0"":""stiff""}","","","Flexible","",""
"","","","","","html-slider-response","9","73819","0.0-9.0","4467","6","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stiff</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","10","80572","0.0-10.0","6750","{""Q0"":""unwilling""}","","","Helpful","",""
"","","","","","html-slider-response","11","84500","0.0-11.0","3926","6","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unwilling</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","12","104524","0.0-12.0","20021","{""Q0"":""willing""}","","","Combative","",""
"","","","","","html-slider-response","13","106952","0.0-13.0","2426","4","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>willing</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","14","124657","0.0-14.0","17702","{""Q0"":""unaffectionate""}","","","Affectionate","",""
"","","","","","html-slider-response","15","127209","0.0-15.0","2550","6","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unaffectionate</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","16","136103","0.0-16.0","8891","{""Q0"":""demanding""}","","","Reasonable","",""
"","","","","","html-slider-response","17","138987","0.0-17.0","2883","5","","","Reasonable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>demanding</strong> is a good fit for the opposite side of the <strong>Reasonable</strong> scale?</p></div>","4"
"","","","","","survey-text","18","146097","0.0-18.0","7107","{""Q0"":""offensive""}","","","Defensive","",""
"","","","","","html-slider-response","19","148314","0.0-19.0","2216","5","","","Defensive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>offensive</strong> is a good fit for the opposite side of the <strong>Defensive</strong> scale?</p></div>","4"
"","","","","","survey-text","20","165358","0.0-20.0","17042","{""Q0"":""messy""}","","","Articulate","",""
"","","","","","html-slider-response","21","166948","0.0-21.0","1588","3","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>messy</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","22","172251","0.0-22.0","5300","{""Q0"":""timid""}","","","Outspoken","",""
"","","","","","html-slider-response","23","173846","0.0-23.0","1593","6","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>timid</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","24","184819","0.0-24.0","10969","{""Q0"":""lackadaisical""}","","","Consistent","",""
"","","","","","html-slider-response","25","187380","0.0-25.0","2559","3","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>lackadaisical</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","26","194580","0.0-26.0","7198","{""Q0"":""careless""}","","","Determined","",""
"","","","","","html-slider-response","27","196714","0.0-27.0","2132","5","","","Determined","<div style=""width:500px;""> <p>How strongly do you feel that <strong>careless</strong> is a good fit for the opposite side of the <strong>Determined</strong> scale?</p></div>","4"
"","","","","","survey-text","28","201286","0.0-28.0","4571","{""Q0"":""stupid""}","","","Clever","",""
"","","","","","html-slider-response","29","202921","0.0-29.0","1634","5","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>stupid</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","30","212506","0.0-30.0","9581","{""Q0"":""flirtatious""}","","","Prudish","",""
