"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","2181","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6960","0.0-1.0","4754","{""Q0"":""5c7d7e86848d2a0016b3dd3e""}","","","","",""
"","","","","","survey-multi-choice","2","10027","0.0-2.0","3062","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","26942","0.0-3.0","16913","","","[{""page_index"":0,""viewing_time"":14254},{""page_index"":1,""viewing_time"":2658}]","","",""
"","","","","","instructions","4","29762","0.0-4.0","2814","","","[{""page_index"":0,""viewing_time"":2814}]","","",""
"","","","","","instructions","5","48560","0.0-5.0","18795","","","[{""page_index"":0,""viewing_time"":2092},{""page_index"":1,""viewing_time"":9265},{""page_index"":2,""viewing_time"":7438}]","","",""
"","","","","","survey-text","6","71930","0.0-6.0","23350","{""Q0"":""secure""}","","","Skeptical","",""
"","","","","","html-slider-response","7","79250","0.0-7.0","7315","7","","","Skeptical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>secure</strong> is a good fit for the opposite side of the <strong>Skeptical</strong> scale?</p></div>","4"
"","","","","","survey-text","8","88558","0.0-8.0","9292","{""Q0"":""mean""}","","","Thoughtful","",""
"","","","","","html-slider-response","9","93393","0.0-9.0","4832","7","","","Thoughtful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>mean</strong> is a good fit for the opposite side of the <strong>Thoughtful</strong> scale?</p></div>","4"
"","","","","","survey-text","10","106418","0.0-10.0","13008","{""Q0"":""dumb""}","","","Intellectual","",""
"","","","","","html-slider-response","11","109373","0.0-11.0","2949","7","","","Intellectual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dumb</strong> is a good fit for the opposite side of the <strong>Intellectual</strong> scale?</p></div>","4"
"","","","","","survey-text","12","137076","0.0-12.0","27680","{""Q0"":""selfish""}","","","Humble","",""
"","","","","","html-slider-response","13","140317","0.0-13.0","3237","6","","","Humble","<div style=""width:500px;""> <p>How strongly do you feel that <strong>selfish</strong> is a good fit for the opposite side of the <strong>Humble</strong> scale?</p></div>","4"
"","","","","","survey-text","14","152960","0.0-14.0","12627","{""Q0"":""sickly""}","","","Healthy","",""
"","","","","","html-slider-response","15","156013","0.0-15.0","3049","7","","","Healthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>sickly</strong> is a good fit for the opposite side of the <strong>Healthy</strong> scale?</p></div>","4"
"","","","","","survey-text","16","181014","0.0-16.0","24985","{""Q0"":""boring""}","","","Ambitious","",""
"","","","","","html-slider-response","17","183365","0.0-17.0","2346","5","","","Ambitious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>boring</strong> is a good fit for the opposite side of the <strong>Ambitious</strong> scale?</p></div>","4"
"","","","","","survey-text","18","193182","0.0-18.0","9798","{""Q0"":""helpful""}","","","Combative","",""
"","","","","","html-slider-response","19","195463","0.0-19.0","2278","6","","","Combative","<div style=""width:500px;""> <p>How strongly do you feel that <strong>helpful</strong> is a good fit for the opposite side of the <strong>Combative</strong> scale?</p></div>","4"
"","","","","","survey-text","20","205992","0.0-20.0","10514","{""Q0"":""secure""}","","","Self-critical","",""
"","","","","","html-slider-response","21","207881","0.0-21.0","1886","7","","","Self-critical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>secure</strong> is a good fit for the opposite side of the <strong>Self-critical</strong> scale?</p></div>","4"
"","","","","","survey-text","22","214242","0.0-22.0","6345","{""Q0"":""bad""}","","","Ethical","",""
"","","","","","html-slider-response","23","216358","0.0-23.0","2112","6","","","Ethical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>bad</strong> is a good fit for the opposite side of the <strong>Ethical</strong> scale?</p></div>","4"
"","","","","","survey-text","24","300645","0.0-24.0","84232","{""Q0"":""unaviable ""}","","","Flexible","",""
"","","","","","html-slider-response","25","304277","0.0-25.0","3626","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>unaviable </strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","26","321597","0.0-26.0","17292","{""Q0"":""strict""}","","","Compulsive","",""
"","","","","","html-slider-response","27","323542","0.0-27.0","1941","6","","","Compulsive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>strict</strong> is a good fit for the opposite side of the <strong>Compulsive</strong> scale?</p></div>","4"
"","","","","","survey-text","28","338472","0.0-28.0","14877","{""Q0"":""reserved""}","","","Outspoken","",""
"","","","","","html-slider-response","29","340628","0.0-29.0","2152","7","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>reserved</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","30","349368","0.0-30.0","8721","{""Q0"":""closed-minded""}","","","Open-minded","",""
"","","","","","html-slider-response","31","352460","0.0-31.0","3088","7","","","Open-minded","<div style=""width:500px;""> <p>How strongly do you feel that <strong>closed-minded</strong> is a good fit for the opposite side of the <strong>Open-minded</strong> scale?</p></div>","4"
"","","","","","survey-text","32","362279","0.0-32.0","9801","{""Q0"":""giveup""}","","","Persistent","",""
"","","","","","html-slider-response","33","364530","0.0-33.0","2245","7","","","Persistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>giveup</strong> is a good fit for the opposite side of the <strong>Persistent</strong> scale?</p></div>","4"
"","","","","","survey-text","34","375228","0.0-34.0","10682","{""Q0"":""child""}","","","Mature","",""
"","","","","","html-slider-response","35","377010","0.0-35.0","1779","7","","","Mature","<div style=""width:500px;""> <p>How strongly do you feel that <strong>child</strong> is a good fit for the opposite side of the <strong>Mature</strong> scale?</p></div>","4"
"","","","","","survey-text","36","386523","0.0-36.0","9484","{""Q0"":""ugly""}","","","Beautiful","",""
