"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1022","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","19760","0.0-1.0","18727","{""Q0"":""6105e4e2b57f170990f20593""}","","","","",""
"","","","","","survey-multi-choice","2","22338","0.0-2.0","2571","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","30237","0.0-3.0","7886","","","[{""page_index"":0,""viewing_time"":5027},{""page_index"":1,""viewing_time"":2858}]","","",""
"","","","","","instructions","4","44204","0.0-4.0","13966","","","[{""page_index"":0,""viewing_time"":13965}]","","",""
"","","","","","instructions","5","162712","0.0-5.0","118509","","","[{""page_index"":0,""viewing_time"":28099},{""page_index"":1,""viewing_time"":88722},{""page_index"":2,""viewing_time"":1688}]","","",""
"","","","","","survey-text","6","183580","0.0-6.0","20823","{""Q0"":""Cold""}","","","Empathetic","",""
"","","","","","html-slider-response","7","188994","0.0-7.0","5404","7","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cold</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","8","200233","0.0-8.0","11220","{""Q0"":""ugly""}","","","Beautiful","",""
"","","","","","html-slider-response","9","258290","0.0-9.0","58036","7","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>ugly</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","10","300211","0.0-10.0","41902","{""Q0"":""new""}","","","Traditional","",""
"","","","","","html-slider-response","11","361829","0.0-11.0","61619","4","","","Traditional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>new</strong> is a good fit for the opposite side of the <strong>Traditional</strong> scale?</p></div>","4"
"","","","","","survey-text","12","372641","0.0-12.0","10793","{""Q0"":""Ease""}","","","Intense","",""
"","","","","","html-slider-response","13","378313","0.0-13.0","5667","5","","","Intense","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ease</strong> is a good fit for the opposite side of the <strong>Intense</strong> scale?</p></div>","4"
"","","","","","survey-text","14","395077","0.0-14.0","16747","{""Q0"":""dumb""}","","","Clever","",""
"","","","","","html-slider-response","15","414456","0.0-15.0","19373","6","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>dumb</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","16","539859","0.0-16.0","125378","{""Q0"":""Kind""}","","","Mean","",""
"","","","","","html-slider-response","17","542617","0.0-17.0","2760","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Kind</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","18","547556","0.0-18.0","4922","{""Q0"":""Lazy""}","","","Consistent","",""
"","","","","","html-slider-response","19","550084","0.0-19.0","2521","6","","","Consistent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lazy</strong> is a good fit for the opposite side of the <strong>Consistent</strong> scale?</p></div>","4"
"","","","","","survey-text","20","561468","0.0-20.0","11366","{""Q0"":""Unreasonable""}","","","Reasonable","",""
"","","","","","html-slider-response","21","563869","0.0-21.0","2400","7","","","Reasonable","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unreasonable</strong> is a good fit for the opposite side of the <strong>Reasonable</strong> scale?</p></div>","4"
"","","","","","survey-text","22","569368","0.0-22.0","5492","{""Q0"":""Timid""}","","","Outspoken","",""
"","","","","","html-slider-response","23","571980","0.0-23.0","2606","7","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Timid</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","24","655294","0.0-24.0","83289","{""Q0"":""Wild""}","","","Prudish","",""
"","","","","","html-slider-response","25","657409","0.0-25.0","2109","6","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Wild</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","26","668321","0.0-26.0","10894","{""Q0"":""Unthinking""}","","","Conscientious","",""
"","","","","","html-slider-response","27","671188","0.0-27.0","2863","5","","","Conscientious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unthinking</strong> is a good fit for the opposite side of the <strong>Conscientious</strong> scale?</p></div>","4"
"","","","","","survey-text","28","677513","0.0-28.0","6309","{""Q0"":""Tired""}","","","Energetic","",""
"","","","","","html-slider-response","29","681744","0.0-29.0","4225","7","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Tired</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","30","690670","0.0-30.0","8919","{""Q0"":""Conservative""}","","","Rebellious","",""
