"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","989","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","3143","0.0-1.0","2151","{""Q0"":""63d8915c1adeaab48c7f2029""}","","","","",""
"","","","","","survey-multi-choice","2","5258","0.0-2.0","2115","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","20600","0.0-3.0","15341","","","[{""page_index"":0,""viewing_time"":9458},{""page_index"":1,""viewing_time"":5883}]","","",""
"","","","","","instructions","4","22265","0.0-4.0","1664","","","[{""page_index"":0,""viewing_time"":1664}]","","",""
"","","","","","instructions","5","29061","0.0-5.0","6795","","","[{""page_index"":0,""viewing_time"":1006},{""page_index"":1,""viewing_time"":3604},{""page_index"":2,""viewing_time"":2185}]","","",""
"","","","","","survey-text","6","81442","0.0-6.0","52377","{""Q0"":""Untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","7","92122","0.0-7.0","10677","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","8","110802","0.0-8.0","18678","{""Q0"":""Confident""}","","","Anxious","",""
"","","","","","html-slider-response","9","117069","0.0-9.0","6266","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Confident</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","10","147225","0.0-10.0","30155","{""Q0"":""Late""}","","","Punctual","",""
"","","","","","html-slider-response","11","153636","0.0-11.0","6410","6","","","Punctual","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Late</strong> is a good fit for the opposite side of the <strong>Punctual</strong> scale?</p></div>","4"
"","","","","","survey-text","12","167961","0.0-12.0","14322","{""Q0"":""Strict""}","","","Flexible","",""
"","","","","","html-slider-response","13","172801","0.0-13.0","4839","7","","","Flexible","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Strict</strong> is a good fit for the opposite side of the <strong>Flexible</strong> scale?</p></div>","4"
"","","","","","survey-text","14","210434","0.0-14.0","37632","{""Q0"":""Nonreligious""}","","","Religious","",""
"","","","","","html-slider-response","15","212664","0.0-15.0","2229","7","","","Religious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Nonreligious</strong> is a good fit for the opposite side of the <strong>Religious</strong> scale?</p></div>","4"
"","","","","","survey-text","16","233846","0.0-16.0","21180","{""Q0"":""Impulsive""}","","","Compulsive","",""
"","","","","","html-slider-response","17","239484","0.0-17.0","5637","7","","","Compulsive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impulsive</strong> is a good fit for the opposite side of the <strong>Compulsive</strong> scale?</p></div>","4"
"","","","","","survey-text","18","300551","0.0-18.0","61065","{""Q0"":""Cold""}","","","Emotional","",""
"","","","","","html-slider-response","19","304186","0.0-19.0","3635","7","","","Emotional","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cold</strong> is a good fit for the opposite side of the <strong>Emotional</strong> scale?</p></div>","4"
"","","","","","survey-text","20","348179","0.0-20.0","43989","{""Q0"":""Impractical""}","","","Practical","",""
"","","","","","html-slider-response","21","350722","0.0-21.0","2543","5","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","22","411140","0.0-22.0","60417","{""Q0"":""Reckless""}","","","Careful","",""
"","","","","","html-slider-response","23","413832","0.0-23.0","2691","6","","","Careful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Reckless</strong> is a good fit for the opposite side of the <strong>Careful</strong> scale?</p></div>","4"
"","","","","","survey-text","24","453594","0.0-24.0","39759","{""Q0"":""Afraid""}","","","Confident","",""
"","","","","","html-slider-response","25","459796","0.0-25.0","6203","5","","","Confident","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Afraid</strong> is a good fit for the opposite side of the <strong>Confident</strong> scale?</p></div>","4"
"","","","","","survey-text","26","486718","0.0-26.0","26919","{""Q0"":""Foolish""}","","","Wise","",""
"","","","","","html-slider-response","27","489191","0.0-27.0","2472","6","","","Wise","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Foolish</strong> is a good fit for the opposite side of the <strong>Wise</strong> scale?</p></div>","4"
"","","","","","survey-text","28","505287","0.0-28.0","16094","{""Q0"":""Incompetent""}","","","Competent","",""
"","","","","","html-slider-response","29","506462","0.0-29.0","1175","6","","","Competent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Incompetent</strong> is a good fit for the opposite side of the <strong>Competent</strong> scale?</p></div>","4"
"","","","","","survey-text","30","514075","0.0-30.0","7610","{""Q0"":""Quiet""}","","","Outspoken","",""
"","","","","","html-slider-response","31","515990","0.0-31.0","1914","7","","","Outspoken","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Quiet</strong> is a good fit for the opposite side of the <strong>Outspoken</strong> scale?</p></div>","4"
"","","","","","survey-text","32","541360","0.0-32.0","25369","{""Q0"":""Jolly""}","","","Serious","",""
"","","","","","html-slider-response","33","543475","0.0-33.0","2114","6","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Jolly</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","34","637749","0.0-34.0","94272","{""Q0"":""Bold""}","","","Prudish","",""
"","","","","","html-slider-response","35","642636","0.0-35.0","4885","5","","","Prudish","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Bold</strong> is a good fit for the opposite side of the <strong>Prudish</strong> scale?</p></div>","4"
"","","","","","survey-text","36","651964","0.0-36.0","9326","{""Q0"":""Lazy""}","","","Energetic","",""
