"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","view_history","trait","stimulus","slider_start"
"true","false","[]","[]","[]","preload","0","1516","0.0-0.0","","","","","","",""
"","","","","","survey-text","1","6145","0.0-1.0","4628","{""Q0"":""5d63179aa3b94d0001da4bb6""}","","","","",""
"","","","","","survey-multi-choice","2","8500","0.0-2.0","2354","{""Eng"":""Yes""}","[0]","","","",""
"","","","","","instructions","3","14804","0.0-3.0","6301","","","[{""page_index"":0,""viewing_time"":3466},{""page_index"":1,""viewing_time"":2835}]","","",""
"","","","","","instructions","4","16377","0.0-4.0","1573","","","[{""page_index"":0,""viewing_time"":1573}]","","",""
"","","","","","instructions","5","35329","0.0-5.0","18951","","","[{""page_index"":0,""viewing_time"":1166},{""page_index"":1,""viewing_time"":16669},{""page_index"":2,""viewing_time"":1115}]","","",""
"","","","","","survey-text","6","57855","0.0-6.0","22523","{""Q0"":""Apathy""}","","","Empathetic","",""
"","","","","","html-slider-response","7","62687","0.0-7.0","4830","7","","","Empathetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Apathy</strong> is a good fit for the opposite side of the <strong>Empathetic</strong> scale?</p></div>","4"
"","","","","","survey-text","8","68989","0.0-8.0","6300","{""Q0"":""pessimistic""}","","","Optimistic","",""
"","","","","","html-slider-response","9","71941","0.0-9.0","2951","7","","","Optimistic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>pessimistic</strong> is a good fit for the opposite side of the <strong>Optimistic</strong> scale?</p></div>","4"
"","","","","","survey-text","10","80237","0.0-10.0","8293","{""Q0"":""Ignorant""}","","","Well-educated","",""
"","","","","","html-slider-response","11","82716","0.0-11.0","2478","6","","","Well-educated","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ignorant</strong> is a good fit for the opposite side of the <strong>Well-educated</strong> scale?</p></div>","4"
"","","","","","survey-text","12","108352","0.0-12.0","25634","{""Q0"":""untrustworthy""}","","","Trustworthy","",""
"","","","","","html-slider-response","13","112007","0.0-13.0","3655","7","","","Trustworthy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>untrustworthy</strong> is a good fit for the opposite side of the <strong>Trustworthy</strong> scale?</p></div>","4"
"","","","","","survey-text","14","119681","0.0-14.0","7672","{""Q0"":""insensitive ""}","","","Sensitive","",""
"","","","","","html-slider-response","15","121221","0.0-15.0","1541","7","","","Sensitive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>insensitive </strong> is a good fit for the opposite side of the <strong>Sensitive</strong> scale?</p></div>","4"
"","","","","","survey-text","16","143313","0.0-16.0","22089","{""Q0"":""Compliant""}","","","Rebellious","",""
"","","","","","html-slider-response","17","145913","0.0-17.0","2598","6","","","Rebellious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Compliant</strong> is a good fit for the opposite side of the <strong>Rebellious</strong> scale?</p></div>","4"
"","","","","","survey-text","18","149975","0.0-18.0","4054","{""Q0"":""Weak""}","","","Strong","",""
"","","","","","html-slider-response","19","151539","0.0-19.0","1563","7","","","Strong","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Weak</strong> is a good fit for the opposite side of the <strong>Strong</strong> scale?</p></div>","4"
"","","","","","survey-text","20","170634","0.0-20.0","19093","{""Q0"":""Dull""}","","","Charismatic","",""
"","","","","","html-slider-response","21","173011","0.0-21.0","2376","5","","","Charismatic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dull</strong> is a good fit for the opposite side of the <strong>Charismatic</strong> scale?</p></div>","4"
"","","","","","survey-text","22","179355","0.0-22.0","6342","{""Q0"":""Impractical""}","","","Practical","",""
"","","","","","html-slider-response","23","181389","0.0-23.0","2033","7","","","Practical","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Impractical</strong> is a good fit for the opposite side of the <strong>Practical</strong> scale?</p></div>","4"
"","","","","","survey-text","24","202873","0.0-24.0","21481","{""Q0"":""proud""}","","","Jealous","",""
"","","","","","html-slider-response","25","205332","0.0-25.0","2459","6","","","Jealous","<div style=""width:500px;""> <p>How strongly do you feel that <strong>proud</strong> is a good fit for the opposite side of the <strong>Jealous</strong> scale?</p></div>","4"
"","","","","","survey-text","26","209178","0.0-26.0","3844","{""Q0"":""Kind""}","","","Mean","",""
"","","","","","html-slider-response","27","210569","0.0-27.0","1389","7","","","Mean","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Kind</strong> is a good fit for the opposite side of the <strong>Mean</strong> scale?</p></div>","4"
"","","","","","survey-text","28","217742","0.0-28.0","7170","{""Q0"":""Observant""}","","","Unobservant","",""
"","","","","","html-slider-response","29","219278","0.0-29.0","1536","7","","","Unobservant","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Observant</strong> is a good fit for the opposite side of the <strong>Unobservant</strong> scale?</p></div>","4"
"","","","","","survey-text","30","225354","0.0-30.0","6073","{""Q0"":""Unhelpful""}","","","Helpful","",""
"","","","","","html-slider-response","31","226715","0.0-31.0","1361","7","","","Helpful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unhelpful</strong> is a good fit for the opposite side of the <strong>Helpful</strong> scale?</p></div>","4"
"","","","","","survey-text","32","233747","0.0-32.0","7029","{""Q0"":""Undignified""}","","","Dignified","",""
"","","","","","html-slider-response","33","235037","0.0-33.0","1289","7","","","Dignified","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Undignified</strong> is a good fit for the opposite side of the <strong>Dignified</strong> scale?</p></div>","4"
"","","","","","survey-text","34","262358","0.0-34.0","27318","{""Q0"":""Uninterested""}","","","Curious","",""
"","","","","","html-slider-response","35","265112","0.0-35.0","2752","6","","","Curious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Uninterested</strong> is a good fit for the opposite side of the <strong>Curious</strong> scale?</p></div>","4"
"","","","","","survey-text","36","296316","0.0-36.0","31200","{""Q0"":""Happy""}","","","Grumpy","",""
"","","","","","html-slider-response","37","298352","0.0-37.0","2035","5","","","Grumpy","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Happy</strong> is a good fit for the opposite side of the <strong>Grumpy</strong> scale?</p></div>","4"
"","","","","","survey-text","38","301931","0.0-38.0","3577","{""Q0"":""Neat""}","","","Disorderly","",""
"","","","","","html-slider-response","39","303239","0.0-39.0","1307","7","","","Disorderly","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Neat</strong> is a good fit for the opposite side of the <strong>Disorderly</strong> scale?</p></div>","4"
"","","","","","survey-text","40","307431","0.0-40.0","4190","{""Q0"":""Dominant""}","","","Submissive","",""
"","","","","","html-slider-response","41","308693","0.0-41.0","1261","7","","","Submissive","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dominant</strong> is a good fit for the opposite side of the <strong>Submissive</strong> scale?</p></div>","4"
"","","","","","survey-text","42","315680","0.0-42.0","6985","{""Q0"":""Inarticulate""}","","","Articulate","",""
"","","","","","html-slider-response","43","317513","0.0-43.0","1832","7","","","Articulate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Inarticulate</strong> is a good fit for the opposite side of the <strong>Articulate</strong> scale?</p></div>","4"
"","","","","","survey-text","44","322156","0.0-44.0","4641","{""Q0"":""Dependent""}","","","Independent","",""
"","","","","","html-slider-response","45","323427","0.0-45.0","1269","7","","","Independent","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dependent</strong> is a good fit for the opposite side of the <strong>Independent</strong> scale?</p></div>","4"
"","","","","","survey-text","46","327005","0.0-46.0","3575","{""Q0"":""Ugly""}","","","Beautiful","",""
"","","","","","html-slider-response","47","328366","0.0-47.0","1359","7","","","Beautiful","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Ugly</strong> is a good fit for the opposite side of the <strong>Beautiful</strong> scale?</p></div>","4"
"","","","","","survey-text","48","333184","0.0-48.0","4816","{""Q0"":""Dumb""}","","","Clever","",""
"","","","","","html-slider-response","49","334741","0.0-49.0","1556","7","","","Clever","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Dumb</strong> is a good fit for the opposite side of the <strong>Clever</strong> scale?</p></div>","4"
"","","","","","survey-text","50","352732","0.0-50.0","17987","{""Q0"":""Flippant""}","","","Serious","",""
"","","","","","html-slider-response","51","354911","0.0-51.0","2178","6","","","Serious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Flippant</strong> is a good fit for the opposite side of the <strong>Serious</strong> scale?</p></div>","4"
"","","","","","survey-text","52","359126","0.0-52.0","4212","{""Q0"":""Tense""}","","","Easygoing","",""
"","","","","","html-slider-response","53","361296","0.0-53.0","2168","5","","","Easygoing","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Tense</strong> is a good fit for the opposite side of the <strong>Easygoing</strong> scale?</p></div>","4"
"","","","","","survey-text","54","379255","0.0-54.0","17958","{""Q0"":""Unconcerned""}","","","Anxious","",""
"","","","","","html-slider-response","55","380761","0.0-55.0","1504","6","","","Anxious","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unconcerned</strong> is a good fit for the opposite side of the <strong>Anxious</strong> scale?</p></div>","4"
"","","","","","survey-text","56","385896","0.0-56.0","5132","{""Q0"":""Lethargic""}","","","Energetic","",""
"","","","","","html-slider-response","57","387380","0.0-57.0","1484","6","","","Energetic","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Lethargic</strong> is a good fit for the opposite side of the <strong>Energetic</strong> scale?</p></div>","4"
"","","","","","survey-text","58","390583","0.0-58.0","3200","{""Q0"":""Cold""}","","","Affectionate","",""
"","","","","","html-slider-response","59","391911","0.0-59.0","1324","7","","","Affectionate","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Cold</strong> is a good fit for the opposite side of the <strong>Affectionate</strong> scale?</p></div>","4"
"","","","","","survey-text","60","395675","0.0-60.0","3762","{""Q0"":""Masculine""}","","","Feminine","",""
"","","","","","html-slider-response","61","397367","0.0-61.0","1690","7","","","Feminine","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Masculine</strong> is a good fit for the opposite side of the <strong>Feminine</strong> scale?</p></div>","4"
"","","","","","survey-text","62","419284","0.0-62.0","21916","{""Q0"":""Unbiased""}","","","Prejudiced","",""
"","","","","","html-slider-response","63","421622","0.0-63.0","2335","7","","","Prejudiced","<div style=""width:500px;""> <p>How strongly do you feel that <strong>Unbiased</strong> is a good fit for the opposite side of the <strong>Prejudiced</strong> scale?</p></div>","4"
"","","","","","survey-text","64","426172","0.0-64.0","4548","{""Q0"":""Unethical""}","","","Ethical","",""
