"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","view_history","question_order","trait1","trait2"
"62385","{""Q0"":""test""}","survey-text","0","62387","0.0-0.0","","","",""
"16629","","instructions","1","79020","0.0-1.0","[{""page_index"":0,""viewing_time"":1595},{""page_index"":1,""viewing_time"":6917},{""page_index"":2,""viewing_time"":3550},{""page_index"":3,""viewing_time"":2850},{""page_index"":4,""viewing_time"":1717}]","","",""
"1365","","instructions","2","80386","0.0-2.0","[{""page_index"":0,""viewing_time"":1365}]","","",""
"3615","","instructions","3","84003","0.0-3.0","[{""page_index"":0,""viewing_time"":3615}]","","",""
"4782","{""Q0"":1}","survey-likert","4","88787","0.0-4.0","","[0]","trustworthy","cringe"
"4728","{""Q0"":""""}","survey-likert","5","93520","0.0-5.0","","[0]","mean","youthful"
"6512","{""Q0"":1}","survey-likert","6","100037","0.0-6.0","","[0]","energetic","old"
"1928","{""age"":""21""}","survey-text","7","101970","0.0-7.0","","","",""
"3064","{""race"":""Native Hawaiian or Other Pacific Islander""}","survey-multi-choice","8","105037","0.0-8.0","","[0]","",""
"4646","{""hispanic"":""I do not wish to provide this information"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""No schooling completed""}","survey-multi-choice","9","109688","0.0-9.0","","[0,1,2,3]","",""
