"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","view_history","question_order","trait1","trait2"
"816","{""Q0"":""test""}","survey-text","0","818","0.0-0.0","","","",""
"1763","","instructions","1","2583","0.0-1.0","[{""page_index"":0,""viewing_time"":746},{""page_index"":1,""viewing_time"":166},{""page_index"":2,""viewing_time"":134},{""page_index"":3,""viewing_time"":284},{""page_index"":4,""viewing_time"":433}]","","",""
"449","","instructions","2","3032","0.0-2.0","[{""page_index"":0,""viewing_time"":449}]","","",""
"2333","","instructions","3","5366","0.0-3.0","[{""page_index"":0,""viewing_time"":2333}]","","",""
"4565","{""Q0"":4}","survey-likert","4","9934","0.0-4.0","","[0]","cringe","trustworthy"
"6743","{""Q0"":2}","survey-likert","5","16685","0.0-5.0","","[0]","old","energetic"
"3427","{""Q0"":1}","survey-likert","6","20118","0.0-6.0","","[0]","youthful","mean"
"940","{""age"":""fdas""}","survey-text","7","21066","0.0-7.0","","","",""
"2399","{""race"":""Black or African-American""}","survey-multi-choice","8","23467","0.0-8.0","","[0]","",""
"7160","{""hispanic"":""Hispanic or Latino"",""gender"":""Not otherwise specified"",""sexOrientation"":""I do not with to provide this information"",""education"":""Bachelor's degree""}","survey-multi-choice","9","30634","0.0-9.0","","[0,1,2,3]","",""
